LSOA_CODE,AvgPrice,MEAN_PTAL_2023,Population,Area_km2,MeanSentiment,SentimentSD,ReviewCount,NearestStation_m,StationsWithin500m,NearestRail_m,StreetLength_m,StreetDensity_m_per_m2,StreetSegments,LandUse_Diversity,LandUse_Area
E01000001,837500.0,3.0,1615.0,0.129913,0.427,0.312,1505.0,37.20475761910418,29,224.63815485326222,2099.0980490673314,0.016163651424687855,43,4,38011.19925487462
E01000002,850000.0,3.0,1493.0,0.228503,0.524,0.188,5819.0,195.17680834643238,30,144.0611574190803,3258.5163952816715,0.014265501745479397,55,5,88486.28424291025
E01000003,540000.0,3.0,1573.0,0.059076,0.317,0.127,3.0,120.97731349993059,28,189.82912798262765,578.8785655714419,0.00980252712715752,11,3,28201.764815433973
E01000005,530000.0,3.0,1090.0,0.189645,0.675,0.1,1067.0,51.625448907909636,35,26.831724013977375,3449.6176775116587,0.018196377580364083,70,4,128388.32634463931
E01000006,241000.0,5.0,1612.0,0.146578,0.6074999999999999,0.127,77.0,387.0546387072425,10,153.35579701816764,2332.4825431999625,0.015917414554652315,26,1,118840.25057009584
E01000007,310000.0,3.0,1535.0,0.200151,0.485,0.283,3438.0,206.00162301756612,25,89.31058873658726,3038.139042638067,0.015183562610225219,53,6,112372.44676678929
E01000008,530000.0,2.0,1444.0,0.216965,0.6074999999999999,0.127,77.0,205.46338409867835,6,367.80451418748993,1477.094499838953,0.006809971932680377,23,5,183648.3552525938
E01000009,235000.0,3.0,1561.0,0.127998,0.639,0.127,933.0,112.22755261364948,21,191.19546660884245,2302.993067046027,0.017997503652187354,44,3,101238.98986755543
E01000010,194000.0,3.0,1452.0,0.352169,0.589,0.139,4740.0,121.04387511099303,24,320.7167388818776,4199.123693813319,0.01192701527285926,69,5,200586.40915956927
E01000011,530000.0,3.0,1443.0,0.091657,0.0,0.127,3.0,121.96846986081756,22,142.21092591409865,1502.9939818358355,0.016402760406433275,16,3,87658.63836167085
E01000012,242500.0,4.0,1396.0,0.143815,0.6074999999999999,0.127,77.0,211.219255907097,7,36.59815471962675,1498.9195778299204,0.010425552892969068,28,4,102162.73331082829
