LSOA_CODE,Education_HighLevel_pct,MeanPTAL,Population,Area_km2,MeanSentiment,SentimentSD,ReviewCount,NearestStation_m,StationsWithin500m,NearestRail_m,StreetLength_m,StreetDensity_m_per_m2,StreetSegments,LandUse_Diversity,LandUse_Area
E01000001,77.6,74.8180601783017,1615.0,0.1298653144352724,0.427,0.312,1505.0,37.20475761910418,29,224.63815485326222,2099.0980490673314,0.016163651424687855,43,4,38011.19925487462
E01000002,79.2,85.32489842736243,1493.0,0.22841978230394952,0.524,0.188,5819.0,195.17680834643238,30,144.0611574190803,3258.5163952816715,0.014265501745479397,55,5,88486.28424291025
E01000003,56.8,53.411382948394795,1573.0,0.0590542046107525,0.317,0.17438772041763342,3.0,120.97731349993059,28,189.82912798262765,578.8785655714419,0.00980252712715752,11,3,28201.764815433973
E01000005,34.5,82.42891172711114,1090.0,0.18957770949308025,0.675,0.1,1067.0,51.625448907909636,35,26.831724013977375,3449.6176775116587,0.018196377580364083,70,4,128388.32634463931
E01000006,32.9,24.153971080768297,1612.0,0.14653699571952064,0.5341375741254142,0.1351569353536292,1313.3470150631285,387.0546387072425,10,153.35579701816764,2332.4825431999625,0.015917414554652315,26,1,118840.25057009584
E01000007,32.3,32.603954237848924,1535.0,0.20009399270628767,0.485,0.283,3438.0,206.00162301756612,25,89.31058873658726,3038.139042638067,0.015183562610225219,53,6,112372.44676678929
E01000008,24.2,8.391131601399604,1444.0,0.21690139372162856,0.5138340408144568,0.10354225445674595,152.54138750436397,205.46338409867835,6,367.80451418748993,1477.094499838953,0.006809971932680377,23,5,183648.3552525938
E01000009,35.0,37.753209235215536,1561.0,0.12795992747248802,0.639,0.0953559964544054,933.0,112.22755261364948,21,191.19546660884245,2302.993067046027,0.017997503652187354,44,3,101238.98986755543
E01000010,44.9,14.192123879378638,1452.0,0.35206827506699956,0.589,0.139,4740.0,121.04387511099303,24,320.7167388818776,4199.123693813319,0.01192701527285926,69,5,200586.40915956927
E01000011,29.6,31.701426240148617,1443.0,0.09163228152544745,0.0,0.05465382340967396,3.0,121.96846986081756,22,142.21092591409865,1502.9939818358355,0.016402760406433275,16,3,87658.63836167085
E01000012,33.1,18.288953901559083,1396.0,0.14377469757792583,0.5873350153127771,0.2011512944198921,1029.4086559833436,211.219255907097,7,36.59815471962675,1498.9195778299204,0.010425552892969068,28,4,102162.73331082829
E01000013,16.9,13.59295171152074,1524.0,0.20782995947010677,0.661,0.205,232.0,30.362194858056345,19,171.73852656630368,2550.144823547985,0.012270351425171059,33,2,183522.83689535133
E01000014,14.3,8.088113653206602,1538.0,0.3412192234005372,0.599,0.19687879311058762,2.0,281.78623888876353,9,576.4109447283435,2903.181781935932,0.008508249326053933,35,2,321761.0695709344
E01000015,17.8,8.895151845471048,1561.0,0.2806295709386315,0.609,0.018,387.0,341.85450928693797,4,290.1077458612802,2820.6782191338434,0.010051324599657427,29,4,259206.26708079426
E01000016,14.5,6.978437867432125,1639.0,0.19877511463118464,0.6709956980044481,0.13495953557315932,565.2100155777551,223.11974290171355,10,868.574151150103,2413.9011065467857,0.012143682465833965,25,3,198510.61791953974
E01000017,19.7,8.91669836592075,1586.0,0.1583718570186008,0.457,0.009,13.0,99.65376954201541,10,857.8036177781797,2327.0392692596056,0.014693738749484177,32,1,158369.44626099974
E01000018,16.9,8.411974954221128,1524.0,0.1739806195304424,0.5782842656121518,0.14151358676604942,648.0196987000414,301.57240700663425,9,582.183002479519,2131.439569865524,0.01225097472541371,28,2,173976.50306426952
E01000019,20.1,4.75087869572087,1486.0,0.18307698711353945,0.599,0.096,19.0,186.94060426892662,11,947.1587198454117,2429.364668532674,0.013212723200610782,37,4,155977.28036261085
E01000020,20.6,7.045604483015399,1610.0,0.18723702292661074,0.4414409476762626,0.09895997466737566,68.0269020918724,181.79808737656256,14,1207.0967582771643,2792.5677771527876,0.014914721959686475,42,4,169490.74994229295
E01000021,22.4,6.001601250165671,1547.0,0.17015277065346618,0.0,0.13859778629398825,1.0,74.62875592012203,10,1388.4279013034343,2270.106676531793,0.01340379908758522,28,5,162044.62524991625
E01000022,18.4,7.850317297161726,1424.0,0.12826299555040324,0.6146468882592964,0.096,157.4967603825643,252.6568529992914,14,1411.294193681084,2260.2558046449517,0.017622192726512064,33,1,124297.41563536102
