PC,ExplainedVarianceRatio,CumulativeExplainedVariance,Eigenvalue
PC1,0.26202647597081785,0.26202647597081785,3.9312302038139753
PC2,0.15626135251752274,0.41828782848834056,2.344417091554227
PC3,0.08743306814728576,0.5057208966356264,1.3117739993229376
PC4,0.08250060033665955,0.5882214969722859,1.2377713003031887
PC5,0.06698037590938731,0.6552018728816732,1.004918590238656
PC6,0.06134244607597942,0.7165443189576526,0.9203317179924123
PC7,0.05926842857812605,0.7758127475357787,0.8892148615732621
PC8,0.04646911583911433,0.822281863374893,0.6971844774632697
PC9,0.04614138694569095,0.8684232503205839,0.6922675021090997
PC10,0.04109970079205433,0.9095229511126381,0.6166261807048674
PC11,0.03812971823131345,0.9476526693439515,0.5720669997887922
PC12,0.023609570412365704,0.9712622397563172,0.35421861840595714
PC13,0.018252974785962446,0.9895152145422796,0.2738526537143602
PC14,0.006619795055391828,0.9961350095976714,0.09931797223313063
PC15,0.0038649904023281743,0.9999999999999996,0.057987144050190696
