,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
Education_HighLevel_pct,-0.25715269958453385,0.38275686126085573,-0.06788731202140474,-0.5708307159195024,0.35082270258684045,-0.16882996701632905,0.10358438049446893,-0.024943329034070455,0.06472167736501484,0.5195729773660659,0.11576510195662722,-0.07050531161244306,-0.040849896968090535,0.0005706874056498388,0.002577450205109297
MeanPTAL,-0.5233143583647637,0.6319607649763712,-0.019614110628660527,-0.16086692992059543,-0.053284139598622486,0.03345541065470725,0.10496799746627175,0.2424309588404116,-0.2143276089415377,-0.1870226258133496,0.12437332192796129,-0.07196254409836408,0.3516085534546084,0.03498252895688278,-0.023532139569674645
Population,0.05282602686543504,0.1043671908011232,0.1345881405006681,0.6310637754615988,0.2802999971156922,0.34733766567042895,0.5563862303697443,0.12467943157797519,0.01973167895569228,0.20111703828832503,0.034409619592759,-0.06144142068942236,0.004874073353743199,-0.0039781219502091755,0.0038991740110494813
Area_km2,0.868849993261433,0.23789520034152814,-0.03849735712303895,-0.12046351194582329,-0.020394412706454673,-0.11301661381378557,0.11349173773570508,0.20501873156620012,-0.11546858403151822,0.007398213902269698,-0.2293411967572391,0.06343301331717495,0.023506682720628048,0.0648074829058592,0.17280288719367354
MeanSentiment,-0.00946371196396676,0.021939372943863375,0.7943642378309753,-0.1311330580450917,-0.007032039595386393,-0.09491264558019293,-0.02995588738688617,0.3069054533794433,0.48954646604344026,-0.08400403234295269,0.02022580986387975,0.009656789138836275,0.008113570895113782,0.00195305717305438,-0.0002477192931575494
SentimentSD,-0.007043614359375376,0.013147734258186933,-0.7909451451922431,0.1377199461164017,0.09060421895341736,-0.04147286288825624,-0.09352394039088724,0.3391206475581654,0.46166892854078423,-0.06525761647469665,0.06344957071982874,-0.017115700934004986,0.004874253030293785,0.003050792850106331,0.001091627985329378
ReviewCount,0.07153601780369141,0.45046572016974823,0.05983574700472425,-0.04915941505965886,0.10291641995637531,0.6787101346636275,-0.5141505310813475,0.1277716581746965,-0.04498087649758309,0.11464602304943718,-0.06975749020392763,0.10714541913956559,-0.05175678185715812,0.007978679705653347,-0.0026380012450638044
NearestStation_m,0.4732694384458393,-0.21763794005652365,0.020759309650817456,-0.2817402736633306,0.604680363583934,0.10305312438163025,0.051453740838182896,0.05659406602134598,-0.14821352450010228,-0.39403124293451336,0.26161773662194343,-0.08303800057156788,-0.11973211798836982,0.006432235068994045,-0.0005934818558871899
StationsWithin500m,-0.6054558429627829,0.5141337847356781,-0.004321969866417909,0.0280437775735895,-0.3075305219107893,-0.08089549132295074,0.09330723202900795,0.26239048251323616,-0.17397637901513882,-0.10393979519580968,-0.001132473014745251,-0.15985826260700806,-0.350921219015617,0.006825152505639511,0.0017014412279588236
NearestRail_m,0.4770291957869221,-0.29665122859787996,0.11694433001138123,0.33795906413518967,-0.08830511266120498,-0.2504724016868163,-0.35171530770485204,0.28930160421512163,-0.24735617480906946,0.25533511825058874,0.3845819581207505,-0.06050378354382001,0.028159051229642847,0.009461176026336707,0.00012172790724969298
StreetLength_m,0.6905496597098929,0.5699190821121137,0.027810032387573954,0.20116982277779688,0.06178523236500139,-0.16317117007049262,-0.08270966144788787,-0.21232920254158708,0.10272950436181882,-0.026874221774282055,-0.05789096932977297,-0.10221325399408593,-0.026178888207516883,0.20464120210101694,-0.08542831931042856
StreetDensity_m_per_m2,-0.6268557426636844,0.3419830579640512,0.042506861839181447,0.2861577723851849,0.3204546023502079,-0.308406901264733,-0.049536534073958596,-0.018098210562372267,-0.06530538784919189,-0.06936168022340865,0.07742545250807395,0.432558867972793,-0.05477184235445524,0.02497768972223843,0.015145388805835104
StreetSegments,0.36412692873142516,0.773927905704342,0.047634152204272966,0.24393223956001656,0.06347992052732827,-0.13451517587882436,-0.16309997311326277,-0.26323655915904365,0.11035304778552178,-0.0949008912094656,0.09937482859161793,-0.13802450100390817,0.02666404398051975,-0.18811503960174153,0.05157254639486845
LandUse_Diversity,0.5471033410369075,0.23302978452697057,-0.07550495056194899,-0.21015767431000856,-0.4499908840875564,0.21252841166106057,0.2821427670745748,-0.11966779030970448,0.11630615952612407,-0.007738177012812857,0.4360777117750576,0.22117187535199967,-0.04828614092963623,0.011635877051211885,5.865156369595977e-05
LandUse_Area,0.8417020053020624,0.1809708223719497,-0.04816281983354006,-0.11961626058995294,0.011279092271984358,-0.14496232072940965,0.14306540768761608,0.26442457540901365,-0.14021254997622232,0.029520315900811143,-0.2331966445688316,0.15089966312449932,-0.014438332765591698,-0.12489681451477012,-0.13172741664437515
