Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Camden,Regent's Park Office,Park,51.5284194,-0.1512811,4.6,0.6187738319238026,0.06666666666666667,0.4666666666666667,0.4666666666666667,"Aesthetics, General","amazing (27), beautiful (18), parking (18), good (9), excellent (9), great (9), safe (6)",189
Camden,Park Deckchairs,Park,51.5288684,-0.1502969,2.1,0.7860877970854442,0.0,0.2,0.8,"Maintenance, Aesthetics, Atmosphere, General, Accessibility, Noise","tidy (33), good (21), shouting (18), messy (18), parking (15), noisy (12), dead (9), dark (9), safe (9), disappointing (9), lovely (9), terrible (9), calm (9), near (9), walking (6), relaxing (3)",55
Camden,Queen Mary's Rose Gardens,Tourist Attraction,51.52754350000001,-0.1517503,4.8,0.7041970650355022,0.0,0.4,0.6,"Maintenance, Aesthetics, Atmosphere, Accessibility, Comfort, Traffic, Cleanliness","maintained (27), beautiful (27), parking (24), near (18), enjoyable (18), safe (9), new (9), clean (9), serene (9), relaxing (7), good (3), flow (3), walking (3)",4980
Camden,Fitzroy Square Garden,Tourist Attraction,51.5229733,-0.1400888,4.2,0.530407840013504,0.2,0.6666666666666666,0.13333333333333333,"Maintenance, Aesthetics, Atmosphere, General, Accessibility, Noise, Traffic","traffic (27), walking (19), great (18), beautiful (9), central (9), cars (9), calm (9), relaxing (9), busy (9), tidy (6), safe (3), parking (3)",595
Camden,Euston Square Gardens,Park,51.5270631,-0.1324874,3.9,0.5458549320697784,0.0,0.8,0.2,"Aesthetics, Atmosphere, General, Accessibility","good (27), lovely (9), poor (9), safe (6), tidy (6), crowded (6), noisy (3), near (3), amazing (3)",483
Camden,Park Square,Park,51.5244239,-0.1468308,4.5,0.6189382096131643,0.06666666666666667,0.5333333333333333,0.4,"Maintenance, Atmosphere, Aesthetics, Accessibility, General, Noise, Cleanliness","beautiful (15), good (12), calm (9), peaceful (9), accessible (9), tidy (3), walking (3), parking (3)",173
Camden,Clarence Square Gardens,Park,51.5277684,-0.1424873,5.0,0.45286688208580017,0.0,1.0,0.0,"Maintenance, General","parking (9), improved (9), new (9), bad (3)",1
Camden,Harrington House Garden,Park,51.5299559,-0.1403084,5.0,0.5638994574546814,0.0,1.0,0.0,,,1
Camden,Margaret Hearn Gardens,Park,51.5312303,-0.1436704,4.5,0.554715633392334,0.0,1.0,0.0,"Atmosphere, Noise, Traffic, Aesthetics","peaceful (9), beautiful (9), flow (3)",2
Camden,Munster Square Gardens,Park,51.5264427,-0.142883,5.0,0.5301298201084137,0.0,0.5,0.5,"Maintenance, General","old (9), improved (9), parking (6), bad (3), messy (3)",2
Camden,Regent's Place Plaza,Park,51.52512749999999,-0.1397003,4.6,0.6043327351411184,0.0,0.5,0.5,"Atmosphere, Comfort, General","good (9), relaxing (9), spacious (9), lovely (3)",7
Camden,Harrington Square Gardens,Park,51.53312909999999,-0.1390327,4.0,0.6368550658226013,0.0,0.0,1.0,"Atmosphere, Traffic, Aesthetics","busy (9), lovely (6), parking (3), peaceful (3)",1
Camden,English Gardens,Park,51.5253836,-0.1472662,4.8,0.6919337073961894,0.0,0.13333333333333333,0.8666666666666667,"Maintenance, Aesthetics, Atmosphere, General, Accessibility, Noise, Traffic, Cleanliness","parking (21), great (18), quiet (18), peaceful (12), pretty (12), relaxing (12), walking (10), wonderful (9), good (9), maintained (9), excellent (9), central (9), calm (9), lovely (9), safe (6), stunning (6), secure (3), flow (3), tidy (3)",523
