Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Croydon,Exchange Square,Park,51.3722583,-0.1018307,3.6,0.64194655418396,0.0,0.3333333333333333,0.6666666666666666,"Maintenance, Atmosphere, Aesthetics, General, Noise, Cleanliness","old (18), quiet (9), vibrant (9), amazing (9), good (9), empty (9), stunning (9), great (6), wonderful (6), clean (6), safe (3), fantastic (3)",16
Croydon,Queen's Gardens,Park,51.3720487,-0.09757120000000001,3.8,0.6575955033302308,0.0,0.4,0.6,"Maintenance, Atmosphere, Aesthetics, General, Comfort, Safety, Cleanliness","safe (30), lovely (18), modern (9), parking (9), pleasant (9), old (9), broken (9), empty (9), security (9), maintained (9), great (9), bad (9), cars (3), tidy (3), good (3)",647
Croydon,Wandle Park,Park,51.3747017,-0.111377,4.2,0.5853269914786021,0.0,0.5333333333333333,0.4666666666666667,"Aesthetics, General, Comfort, Traffic, Cleanliness","good (27), walking (21), parking (18), great (18), perfect (16), safe (15), clean (15), pretty (9), spacious (9), lovely (9), neglected (9), beautiful (9), noisy (3), relaxing (3)",2332
Croydon,Fairfield Gardens,Park,51.372952,-0.09500849999999998,5.0,0.0,0.0,0.0,0.0,,,1
Croydon,"St John's Memorial Garden, Croydon",Park,51.37207770000001,-0.1063904,4.7,0.7037005623181661,0.0,0.0,1.0,Maintenance,old (18),3
Croydon,Cotelands,Park,51.37139060000001,-0.08901529999999999,4.0,0.0,0.0,0.0,0.0,,,1
Croydon,Park Hill Park,Park,51.3691292,-0.09176010000000001,4.5,0.623558767636617,0.0,0.5333333333333333,0.4666666666666667,"Atmosphere, Aesthetics, General, Comfort, Noise, Traffic, Cleanliness","parking (27), great (27), beautiful (24), spacious (12), amazing (12), disappointing (9), pleasant (9), walking (6), quiet (3), clean (3), flow (3), lovely (3)",1471
Croydon,Park Hill Park Walled Garden,Park,51.3682417,-0.0918393,4.3,0.4681822392675612,0.1111111111111111,0.8888888888888888,0.0,"Atmosphere, Aesthetics, General, Comfort, Noise, Traffic","perfect (18), parking (17), bustling (9), safe (9), serene (9), inviting (9), peaceful (9), quiet (9), relaxing (3), flow (3), charming (3), neglected (3), beautiful (3), tidy (3), good (3)",8
Croydon,Wellesley Road,Transit Station,51.3755296,-0.09749259999999998,4.2,0.3988005568583806,0.5,0.5,0.0,"Maintenance, General, Accessibility","great (9), new (9), good (9), convenient (9), safe (6), poor (6)",6
Croydon,Centrale,Transit Station,51.3758217,-0.1037781,4.4,0.4287096401055654,0.5333333333333333,0.4666666666666667,0.0,"Maintenance, Atmosphere, General, Accessibility, Traffic, Safety, Cleanliness","clean (27), empty (18), safe (9), new (9), modern (9), bad (9), security (9), parking (9), poor (6), tidy (3), central (3)",12
Croydon,Fairfield Halls,Point Of Interest,51.37212779999999,-0.0954416,4.3,0.6606636742750803,0.0,0.4,0.6,"Maintenance, General, Comfort, Noise, Cleanliness","good (27), great (27), music (18), spacious (9), old (9), spotless (9), clean (9), lighting (3), poor (3), dead (3), dark (3), easy (3)",1678
Croydon,Centrale Shopping Centre,Shopping Mall,51.3752416,-0.1020895,4.0,0.6280499140421549,0.13333333333333333,0.26666666666666666,0.6,"Maintenance, Accessibility, General, Comfort, Traffic, Safety, Cleanliness","great (36), good (30), clean (27), maintained (18), safe (9), spacious (9), perfect (9), easy (9), comfortable (9), inviting (9), convenient (9), enjoyable (9), tidy (9), security (9), parking (9)",9294
Croydon,Whitgift Centre,Shopping Mall,51.37525460000001,-0.1001299,3.6,0.5704911748568217,0.0,0.8,0.2,"Maintenance, Atmosphere, General, Cleanliness","neglected (25), empty (18), good (15), vibrant (9), old (9), walking (4), buzzing (3), safe (3), messy (3)",10989
Croydon,Royal College of Nursing,Point Of Interest,51.3772076,-0.0960005,4.5,0.4964150587717692,0.0,1.0,0.0,,,2
Croydon,Skipton Building Society - Croydon,Finance,51.37385140000001,-0.0985014,5.0,0.7119845151901245,0.0,0.5,0.5,General,good (9),3
Croydon,Croydon College,University,51.3735491,-0.09511109999999998,3.7,0.6723828395207723,0.0,0.5333333333333333,0.4666666666666667,"Maintenance, General","good (15), tidy (9), messy (9), improved (9), fantastic (9), poor (3), safe (3)",217
Croydon,Nuffield Health Croydon Central Fitness & Wellbeing Gym,Gym,51.3729927,-0.1008902,3.1,0.5579022467136383,0.2,0.4,0.4,"Maintenance, Accessibility, General, Comfort, Safety, Cleanliness","good (33), central (18), great (18), broken (18), clean (12), tidy (12), messy (9), horrible (9), filthy (9), outdated (9), dirty (9), comfortable (9), poor (9), bad (9), safe (3)",158
Croydon,West Croydon Station,Transit Station,51.3788016,-0.1020889,2.2,0.5525436103343964,0.0,0.6,0.4,"Maintenance, Accessibility, General, Comfort, Cleanliness","good (12), busy (10), clean (9), noisy (9), far (9), uncomfortable (9), messy (9), new (9), tidy (6), cars (6), walking (6), parking (3), calm (3), cozy (3), easy (3)",17
Croydon,West Croydon,Transit Station,51.37839639999999,-0.1027261,3.8,0.6250411649545033,0.06666666666666667,0.5333333333333333,0.4,"Maintenance, Atmosphere, General, Traffic, Cleanliness","busy (18), horrible (18), good (12), new (9), bad (9), old (9), neat (9), messy (6), clean (6), walking (3), tidy (3)",283
Croydon,East Croydon,Transit Station,51.3750493,-0.09269780000000001,3.9,0.5071931262811025,0.0,1.0,0.0,"Maintenance, Atmosphere, General, Accessibility, Traffic, Cleanliness","busy (30), tidy (21), messy (18), good (12), safe (9), convenient (9), clean (9), perfect (3), roomy (3), noisy (3)",544
Croydon,East Croydon Station (Stop E6),Transit Station,51.374638,-0.09294959999999998,3.6,0.6157750070095063,0.06666666666666667,0.5333333333333333,0.4,"Maintenance, Atmosphere, General, Accessibility, Comfort, Traffic","busy (12), good (12), difficult (9), pleasant (9), messy (6), noisy (3), near (3)",145
Croydon,Church Street,Transit Station,51.3737496,-0.1043653,4.2,0.5473578770955404,0.06666666666666667,0.5333333333333333,0.4,"Atmosphere, Traffic, Accessibility, General","near (9), great (9), busy (9), easy (9), safe (3)",19
