Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Enfield,Aldersbrook Avenue Recreation Ground,Park,51.65869679999999,-0.075011,4.5,0.5735476851463318,0.0,0.6,0.4,"Maintenance, Atmosphere, Aesthetics, General, Traffic, Safety","safe (18), lovely (12), modern (9), fantastic (9), excellent (9), parking (9), good (9), perfect (9), busy (9), noisy (6), tidy (3)",196
Enfield,Town Park,Park,51.6496331,-0.0857231,4.5,0.6076386074225107,0.0,0.5333333333333333,0.4666666666666667,"Maintenance, Aesthetics, Atmosphere, General, Accessibility, Traffic, Safety, Cleanliness","parking (36), good (27), clean (27), safe (15), lovely (12), beautiful (9), busy (9), great (6), relaxing (3), walking (3), old (3), tidy (3), updated (3), near (3)",708
Enfield,The Millennium Fountain,Park,51.6536899,-0.08789459999999999,4.6,0.6983190596103668,0.0,0.4,0.6,"Maintenance, Atmosphere, Aesthetics, General, Cleanliness","lovely (24), old (18), relaxing (12), safe (12), good (9), new (9), rubbish (9), clean (9), stunning (9), walking (6), tidy (3), parking (3)",82
Enfield,The Livia Memorial Garden,Park,51.653547,-0.09047759999999999,5.0,0.4419354895750682,0.5,0.5,0.0,"Atmosphere, Aesthetics, Noise, Traffic","safe (12), walking (9), beautiful (9), peaceful (9), noisy (3), vehicle (3)",2
Enfield,Crawford Circle,Park,51.6550105,-0.07180939999999998,5.0,0.5437673595216539,0.2222222222222222,0.4444444444444444,0.3333333333333333,General,great (9),4
Enfield,Enfield ay allotments,Park,51.6545879,-0.0689844,5.0,0.0,0.0,0.0,0.0,,,2
Enfield,Lloyds Bank,Bank,51.6524256,-0.08041240000000001,3.4,0.7461021661758422,0.0,0.0,1.0,"Maintenance, General, Accessibility","far (18), tidy (12), perfect (9), updated (9), messy (7), safe (6), improved (3), active (3), noisy (3)",98
Enfield,Enfield County Upper School,School,51.65430569999999,-0.0832719,3.1,0.48301414450009666,0.3333333333333333,0.6,0.06666666666666667,"General, Cleanliness","good (18), great (12), rubbish (9), bad (9), tidy (6), messy (3), lovely (3)",19
Enfield,Palace Gardens Shopping Centre,Shopping Mall,51.6511338,-0.0836375,4.1,0.5732138693332672,0.0,0.6,0.4,"Maintenance, Aesthetics, General, Safety, Cleanliness","great (18), clean (18), good (9), security (9), lovely (9), parking (6), safe (6), walking (6), noisy (3), cars (3)",2416
Enfield,Nationwide Building Society,Bank,51.6523861,-0.08485820000000001,4.5,0.7777270634969076,0.0,0.13333333333333333,0.8666666666666667,"Maintenance, General","fantastic (18), excellent (18), messy (12), amazing (9), good (6), old (3), safe (3), noisy (3)",33
Enfield,HSBC Enfield,Bank,51.65193250000001,-0.08103970000000002,4.0,0.9096296509106954,0.0,0.0,1.0,"Aesthetics, General, Accessibility","great (18), wonderful (9), amazing (9), easy (9), tidy (6), safe (6), messy (3), peaceful (3)",85
Enfield,Barclays Bank,Bank,51.65242369999999,-0.08191329999999998,3.3,0.9080608924229939,0.0,0.0,1.0,"Aesthetics, General","messy (33), bad (9), good (9), excellent (9), amazing (9), lovely (6), safe (3), improved (3), noisy (3)",82
Enfield,Enfield Town Library,Library,51.65169239999999,-0.0862059,4.4,0.6586849610010783,0.0,0.2,0.8,"Maintenance, Traffic, General, Cleanliness","clean (21), amazing (15), safe (9), messy (9), good (9), modern (9), parking (9), roomy (3), lovely (3), noisy (3), cars (3)",232
Enfield,"Champneys City Spa, Enfield",Beauty Salon,51.6517814,-0.08199980000000001,4.6,0.6539618174235026,0.0,0.4,0.6,"Maintenance, Atmosphere, General, Aesthetics","amazing (36), lovely (18), relaxing (18), great (18), good (9), safe (9), dead (9), horrible (9), hectic (9), dark (6), tidy (6), noisy (6), lighting (3), messy (3)",376
Enfield,Jark (Tottenham) Ltd,Point Of Interest,51.65242809999999,-0.08008729999999999,2.8,0.7073872884114584,0.0,0.2,0.8,"Maintenance, Accessibility, General","excellent (9), messy (9), easy (9), good (9), great (9), tidy (6), noisy (6), parking (3), safe (3), dead (3), dark (3), near (3), bad (3)",58
Enfield,The Dr Sergis Academy,Point Of Interest,51.6522397,-0.0724521,5.0,0.8397932966550191,0.0,0.0,1.0,"Maintenance, General","good (18), improved (18), excellent (18), amazing (9), great (9), messy (6), wonderful (6), safe (3), tidy (3), fantastic (3)",24
Enfield,Enfield Town,Transit Station,51.65208370000001,-0.07933299999999999,3.4,0.49951919515927634,0.13333333333333333,0.8,0.06666666666666667,"Maintenance, Traffic, General, Cleanliness","good (12), parking (9), noisy (6), clean (6), busy (3)",7
