Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Haringey,Haringey Council,Point Of Interest,51.597523,-0.1104665,1.4,0.7653547982374828,0.2,0.0,0.8,"Maintenance, Atmosphere, Aesthetics, Accessibility, General, Traffic, Cleanliness","parking (21), worst (18), noisy (12), dirty (9), difficult (9), filthy (9), rubbish (9), tidy (6), messy (6), safe (6), pedestrian (3), near (3), cars (3)",580
Haringey,Bedale House,Point Of Interest,51.5902623,-0.1209389,3.9,0.6326312184333801,0.0,0.6,0.4,"Maintenance, Aesthetics, General, Noise, Cleanliness","music (9), old (9), clean (9), good (9), safe (6), lovely (6), poor (6), noisy (3)",10
Haringey,Willoughby Methodist Church,Church,51.5880607,-0.103882,4.7,0.5348414952556292,0.4166666666666667,0.08333333333333333,0.5,"Maintenance, General","old (18), good (9)",7
Haringey,Saint Mary's Church of England Infant School,School,51.5872001,-0.1148153,5.0,0.8572410146395365,0.0,0.0,1.0,"Maintenance, Aesthetics, General","great (9), new (9), lovely (9), roomy (3), safe (3)",1
Haringey,St Ignatius,Point Of Interest,51.59439869999999,-0.1135949,2.5,0.39650440878338283,0.5555555555555556,0.4444444444444444,0.0,"Aesthetics, Accessibility, General","good (9), lovely (3), difficult (1)",4
Haringey,St. Paul's Catholic Primary School,Primary School,51.59726010000001,-0.1150147,4.9,0.6565388103326162,0.0,0.5333333333333333,0.4666666666666667,"Accessibility, General","good (18), great (9), near (3), safe (3)",12
Haringey,Levenes Solicitors,Point Of Interest,51.59813339999999,-0.1111055,4.5,0.7075880924860637,0.2,0.0,0.8,"Maintenance, Aesthetics, General","messy (20), tidy (12), safe (9), bad (9), fantastic (9), great (9), excellent (9), updated (6), cars (3), wonderful (3)",109
Haringey,Barclays Bank,Bank,51.5925367,-0.1056277,2.4,0.5468323091665904,0.13333333333333333,0.6666666666666666,0.2,"Maintenance, Atmosphere, Aesthetics, Traffic, Cleanliness","messy (12), rubbish (9), busy (9), lovely (9), new (9), tidy (6), good (3)",124
Haringey,The Co-operative Bank - Wood Green,Bank,51.59544869999999,-0.1094393,3.4,0.7130063196023305,0.0,0.3333333333333333,0.6666666666666666,"Maintenance, General","messy (17), new (12), old (9), good (9), improved (9), great (9), cozy (6), tidy (6), walking (3), noisy (3), neat (3), near (3), easy (1)",30
Haringey,The Decorium,Point Of Interest,51.5954,-0.1159,4.3,0.6159413595994313,0.0,0.6666666666666666,0.3333333333333333,"Maintenance, Aesthetics, Accessibility, General, Comfort, Traffic, Safety, Cleanliness","parking (39), great (27), beautiful (18), lovely (12), central (9), comfortable (9), lighting (9), easy (9), tidy (9), spacious (9), good (9), safe (9), poor (6), cars (3), clean (3), walking (3)",851
Haringey,Turnpike Lane,Subway Station,51.5903983,-0.1028194,3.9,0.4835697333017985,0.2,0.6,0.2,"Maintenance, Atmosphere, Accessibility, General, Traffic, Safety, Cleanliness","busy (21), clean (18), tidy (12), near (12), safe (9), amazing (9), bad (9), dusty (9), maintained (9), secure (9), dark (9), easy (9), good (3), noisy (3), calm (3), cars (3), cozy (3), lovely (3)",177
Haringey,Wood Green,Subway Station,51.5974392,-0.1097711,4.1,0.4497082710266113,0.26666666666666666,0.5333333333333333,0.2,"Maintenance, Atmosphere, Accessibility, Traffic, Safety, Cleanliness","busy (18), vibrant (9), safe (9), clean (9), easy (9), walking (3), good (3), tidy (3), noisy (3)",211
Haringey,Hornsey,Transit Station,51.5864268,-0.1121376,4.2,0.656602167420917,0.3333333333333333,0.0,0.6666666666666666,"General, Cleanliness","clean (9), wonderful (6), safe (3), noisy (3), fantastic (3)",5
Haringey,Turnpike Lane,Transit Station,51.59021670000001,-0.1031962,4.2,0.5970076322555542,0.2222222222222222,0.4444444444444444,0.3333333333333333,,old (3),9
Haringey,Wightman Road (Stop E),Transit Station,51.58885999999999,-0.111244,5.0,0.5743043422698975,0.0,1.0,0.0,,,1
Haringey,Wightman Road (Stop H),Transit Station,51.588657,-0.110978,2.0,0.0,0.0,0.0,0.0,,,1
Haringey,Tottenham Lane (Stop D),Transit Station,51.58806209999999,-0.1139429,4.4,0.692312017083168,0.16666666666666666,0.0,0.8333333333333334,Aesthetics,"beautiful (9), busy (3)",5
Haringey,Tottenham Lane (Stop J),Bus Station,51.58784319999999,-0.1138409,4.5,0.390734260280927,0.5,0.5,0.0,,,2
Haringey,Wood Green High Road (Stop N),Bus Station,51.58988289999999,-0.1052951,1.0,0.0,0.0,0.0,0.0,,,1
Haringey,Brampton Park Road (Stop KA),Transit Station,51.5931273,-0.1066594,3.0,0.9138355255126953,0.0,0.0,1.0,General,"bad (9), tidy (3), busy (3), safe (3)",2
Haringey,Brampton Park Road (Stop K),Transit Station,51.5929501,-0.1063856,5.0,0.47623348236083984,0.0,1.0,0.0,,busy (3),1
Haringey,Brampton Park Road (Stop L),Bus Station,51.59221959999999,-0.1055641,4.0,0.0,0.0,0.0,0.0,,,1
Haringey,Wood Green Shopping City (Stop J),Bus Station,51.594097,-0.108168,4.4,0.3472333649794261,1.0,0.0,0.0,,"busy (3), tidy (3)",5
Haringey,Hornsey,Train Station,51.5864553,-0.1120732,4.1,0.528554105758667,0.0,0.8,0.2,"Maintenance, Traffic, General, Accessibility","old (18), great (9), easy (9), tidy (9), good (9), central (9), fantastic (9), noisy (6), safe (6), upgraded (3), busy (3), pedestrian (3)",35
Haringey,Wood Green High Street,Shopping Mall,51.5946727,-0.1094888,3.9,0.6226060112317403,0.0,0.4666666666666667,0.5333333333333333,"Maintenance, Atmosphere, Accessibility, General, Traffic","great (18), easy (9), good (9), new (9), modern (9), busy (9), tidy (3)",24
