Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Islington,Highbury Fields,Park,51.5492907,-0.1028664,4.5,0.5838651994864146,0.0,0.6666666666666666,0.3333333333333333,"Maintenance, Atmosphere, Aesthetics, Accessibility, General, Noise, Traffic, Cleanliness","beautiful (27), relaxing (19), good (18), safe (15), parking (15), maintained (15), busy (9), great (9), lovely (9), quiet (9), peaceful (9), active (6), near (3), walking (3)",3215
Islington,Freightliners Farm,Tourist Attraction,51.54777499999999,-0.111466,4.5,0.6953846693038941,0.0,0.4,0.6,"Aesthetics, Accessibility, General, Traffic, Cleanliness","lovely (24), far (21), beautiful (9), fantastic (9), great (9), excellent (9), clean (9), safe (6), tidy (6), flow (3)",464
Islington,Islington Green,Park,51.5361933,-0.1030897,4.2,0.6149460097153981,0.0,0.4,0.6,"Atmosphere, Aesthetics, Accessibility, General, Noise, Traffic","safe (15), lively (9), music (9), perfect (9), beautiful (9), amazing (9), great (9), quiet (9), near (9), busy (9), lovely (9), parking (6), relaxing (6), serene (6), good (6), dead (3), dark (3), calm (3)",1106
Islington,Arlington Square garden,Park,51.5360459,-0.09255299999999998,4.6,0.5870313783486684,0.0,0.6666666666666666,0.3333333333333333,"Maintenance, Atmosphere, Aesthetics, General, Noise, Traffic, Cleanliness","quiet (18), good (18), tidy (12), pretty (9), maintained (9), beautiful (9), parking (6), fantastic (6), lovely (6), flow (4)",168
Islington,Culpeper Community Garden,Tourist Attraction,51.5348313,-0.1095818,4.6,0.776421602567037,0.0,0.2,0.8,"Maintenance, Atmosphere, Aesthetics, General, Accessibility, Noise, Cleanliness","lovely (27), beautiful (21), peaceful (12), maintained (9), perfect (9), wonderful (9), great (9), fantastic (9), quiet (3), difficult (3)",414
Islington,Paradise Park Football Pitch,Park,51.5481077,-0.1115038,4.5,0.5298849682013194,0.0,0.8,0.2,"Atmosphere, Noise, General, Cleanliness","good (12), clean (9), peaceful (9), noisy (6), great (6), parking (3), roomy (3)",312
Islington,St Mary's Church Garden,Park,51.5381291,-0.101546,4.4,0.5881769061088562,0.13333333333333333,0.2,0.6666666666666666,"Maintenance, Atmosphere, Aesthetics, Accessibility, General, Noise, Comfort","peaceful (18), safe (15), beautiful (9), pleasant (9), worst (9), new (9), damaged (9), great (9), parking (6), far (6), lovely (3), tidy (3), messy (3), noisy (3), walking (3)",185
Islington,Battishill Street Gardens,Park,51.54022430000001,-0.1038389,4.0,0.5499388178189596,0.0,1.0,0.0,"Accessibility, General","accessible (9), good (9)",2
Islington,Canonbury Square garden,Park,51.543663,-0.1003846,4.3,0.5564911862214407,0.06666666666666667,0.6,0.3333333333333333,"Maintenance, Atmosphere, Aesthetics, Noise, Traffic, Cleanliness","relaxing (12), lovely (12), maintained (9), beautiful (9), pretty (9), peaceful (9), quiet (9), flow (3), safe (3), clean (3)",86
Islington,Compton Terrace Gardens,Park,51.5443449,-0.1030684,4.4,0.6145927349726359,0.0,0.4,0.6,"Maintenance, Atmosphere, Aesthetics, Accessibility, General, Comfort, Noise, Traffic, Cleanliness","relaxing (26), pleasant (18), beautiful (18), busy (9), great (9), flow (9), near (9), maintained (9), quiet (9), walking (6), safe (3), lovely (3), good (3)",40
Islington,Canonbury Gardens,Park,51.54138349999999,-0.0974232,4.7,0.5474496980508169,0.2,0.4,0.4,"Maintenance, Atmosphere, Traffic, Aesthetics","lovely (15), walking (12), old (9), beautiful (9), relaxing (7)",16
Islington,Astey's Row Rock Garden,Park,51.5397522,-0.09827500000000002,4.8,0.603950039545695,0.2,0.4,0.4,"Maintenance, Atmosphere, Aesthetics, Accessibility, Noise, Comfort, Traffic","walking (33), new (18), pretty (9), safe (9), quiet (9), pleasant (9), easy (9), lovely (9), parking (3)",8
Islington,Pleasant Place Garden,Park,51.53935029999999,-0.0988471,4.0,0.47860081990559894,0.0,1.0,0.0,"Comfort, Traffic","pleasant (9), flow (3)",1
Islington,Astey's Row Rock Gardens - New River Path,Park,51.54021770000001,-0.0977571,1.0,0.7187354763348898,0.0,0.0,1.0,"Safety, Accessibility","dangerous (27), safe (9), accessible (9), parking (6)",1
Islington,New River Walk and Garden,Park,51.5423873,-0.0973093,4.8,0.7149779796600342,0.0,0.1111111111111111,0.8888888888888888,"Maintenance, Aesthetics, Atmosphere, Accessibility","new (27), beautiful (9), pretty (9), walking (6), near (3), safe (3), calm (3)",12
Islington,The Duck Pond,Park,51.54252169999999,-0.09699909999999998,4.5,0.4196831186612447,0.0,1.0,0.0,"Atmosphere, Noise, Accessibility","easy (9), peaceful (9)",2
