Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Kensington and Chelsea,Holland Park,Park,51.50322519999999,-0.2036668,4.7,0.7296562393506368,0.0,0.3333333333333333,0.6666666666666666,"Maintenance, Atmosphere, Aesthetics, General, Accessibility, Noise, Traffic, Cleanliness","parking (36), beautiful (27), maintained (18), great (18), safe (15), lovely (12), walking (10), neat (9), clean (9), perfect (9), relaxing (9), serene (9), near (9), good (9), fantastic (9), peaceful (9), calm (9), amazing (9), noisy (3), charming (2), appealing (1)",14833
Kensington and Chelsea,Kensington Gardens,Park,51.506987,-0.179165,4.7,0.7116017540295919,0.0,0.2,0.8,"Aesthetics, Accessibility, Traffic, General","beautiful (36), walking (21), safe (12), far (9), walkable (9), scenic (9), flow (9), ugly (6), amazing (6), peaceful (3)",28414
Kensington and Chelsea,Kyoto Garden,Tourist Attraction,51.50299219999999,-0.2046902,4.7,0.7882434010505677,0.0,0.06666666666666667,0.9333333333333333,"Maintenance, Atmosphere, Aesthetics, General, Noise, Comfort","peaceful (21), serene (18), relaxing (18), beautiful (15), new (9), perfect (9), calm (9), quiet (9), scenic (9), good (9), pleasant (9), amazing (9), safe (6), charming (3), walking (3), parking (3), tidy (3), lovely (3)",11552
Kensington and Chelsea,Lexham Gardens (private gardens),Park,51.49610740000001,-0.1903148,4.5,0.597329173485438,0.0,0.3333333333333333,0.6666666666666666,"Maintenance, Aesthetics, Accessibility, Comfort, Traffic","parking (18), beautiful (12), lovely (12), near (9), old (9), comfortable (9), charming (9), walking (6), repaired (3), tidy (3), lively (3), noisy (3), relaxing (3)",58
Kensington and Chelsea,Kensington Palace Green,Park,51.5040152,-0.1890772,4.6,0.6195546746253967,0.0,0.4666666666666667,0.5333333333333333,"Aesthetics, Atmosphere, Safety, Traffic","beautiful (27), lovely (21), safe (15), crowded (9), empty (9), walking (6), flow (3), lively (3), tidy (3), parking (3)",236
Kensington and Chelsea,"St George's Church, Campden Hill",Tourist Attraction,51.5068625,-0.1998823,4.6,0.7326112866401673,0.0,0.2,0.8,"Maintenance, Aesthetics, Noise, General","beautiful (18), good (9), improved (9), amazing (9), music (9), fantastic (6), safe (3), easy (3), messy (3)",36
Kensington and Chelsea,Alec Clifton-Taylor Memorial Gardens,Park,51.5019952,-0.1926393,4.0,0.5934341748555502,0.0,0.3333333333333333,0.6666666666666666,"Atmosphere, Comfort, Traffic","pleasant (9), busy (9)",1
Kensington and Chelsea,Saint Mary Abbots Gardens,Park,51.5021115,-0.1930533,4.5,0.5583878795305888,0.0,0.7333333333333333,0.26666666666666666,"Atmosphere, Aesthetics, General, Noise, Traffic","busy (27), quiet (15), good (9), beautiful (9), peaceful (9), great (9), lovely (9), fantastic (9), perfect (7), safe (3), wonderful (3), lighting (3)",64
Kensington and Chelsea,Jardin Du Jasmin,Park,51.503189,-0.1919787,5.0,0.0,0.0,0.0,0.0,,,1
Kensington and Chelsea,Diana Princess of Wales Memorial Garden,Park,51.50570279999999,-0.1868544,4.7,0.6349704424540202,0.0,0.4,0.6,"Maintenance, Atmosphere, Aesthetics, Accessibility, Comfort, Noise, Traffic, Cleanliness","beautiful (27), lovely (27), serene (24), peaceful (12), near (9), inviting (9), maintained (9), quiet (9), walking (6), safe (6), flow (3), messy (3), calm (3)",580
Kensington and Chelsea,Hyde park,Park,51.5005285,-0.1825722,5.0,0.0,0.0,0.0,0.0,,,2
Kensington and Chelsea,Holland Park Earls Court Gate,Park,51.49913,-0.1987634,5.0,0.6994380394617716,0.0,0.06666666666666667,0.9333333333333333,"Aesthetics, Atmosphere, General, Noise, Traffic","beautiful (27), calm (15), great (9), peaceful (9), parking (6), flow (3), serene (3)",7
Kensington and Chelsea,Round Pond,Park,51.505638,-0.1833178,4.6,0.7032202879587809,0.0,0.4,0.6,"Atmosphere, Aesthetics, Accessibility, General, Noise, Traffic, Cleanliness","beautiful (36), walking (24), lovely (24), relaxing (12), peaceful (12), wonderful (9), near (9), serene (9), vibrant (9), scenic (9), clean (9), safe (6), calm (5), parking (3), flow (3), charming (3)",327
Kensington and Chelsea,West Albert Lawn,Park,51.5023056,-0.1795947,4.6,0.5345488667488099,0.2,0.4,0.4,"Aesthetics, Atmosphere, Accessibility, Noise, Traffic","beautiful (18), parking (9), calm (9), peaceful (9), busy (9), flow (6), walking (6), elegant (3), safe (3), noisy (3)",14
Kensington and Chelsea,My Lovely Lawn London,General Contractor,51.4948708,-0.1876377,4.9,0.6967402040958405,0.2,0.2,0.6,"Maintenance, Aesthetics, General, Accessibility, Cleanliness","great (36), new (18), lovely (18), connected (9), amazing (9), bad (9), safe (9), muddy (9), messy (3), tidy (3), roomy (3), good (3)",122
Kensington and Chelsea,Tibetian peace garden,Park,51.4954005,-0.1851385,1.0,0.3420810053745906,1.0,0.0,0.0,,peaceful (3),2
Kensington and Chelsea,Diana Memorial Playground,Park,51.5087072,-0.1878374,4.7,0.7063725312550863,0.0,0.4,0.6,"Maintenance, Atmosphere, General, Accessibility, Noise, Traffic, Safety, Cleanliness","safe (30), good (21), busy (18), great (18), music (12), neat (9), bad (9), clean (9), maintained (9), amazing (9), accessible (9), walking (9), noisy (6), relaxing (6), parking (6), wonderful (3), dead (3), dark (3), crowded (1)",4711
Kensington and Chelsea,Edwardes Square Garden,Park,51.4972556,-0.2007999,4.8,0.6826349521676699,0.0,0.25,0.75,"Maintenance, Atmosphere, Aesthetics, Accessibility, General, Comfort","beautiful (24), spacious (9), near (9), attractive (9), amazing (9), charming (9), wonderful (9), noisy (3), peaceful (3)",5
Kensington and Chelsea,High Street Kensington,Subway Station,51.5008834,-0.1926463,4.3,0.5829178313414256,0.0,0.6,0.4,"Accessibility, Comfort, General, Cleanliness","great (27), pleasant (9), clean (9), central (9), fantastic (9), far (9), noisy (3), safe (3)",200
Kensington and Chelsea,Palace Gardens Terrace / Notting Hill Gate (Stop K),Transit Station,51.509094,-0.193949,3.7,0.37630726397037506,0.5,0.5,0.0,General,"good (9), busy (3), safe (3)",3
Kensington and Chelsea,Notting Hill Gate Station,Transit Station,51.50917620000001,-0.1958562,4.0,0.0,0.0,0.0,0.0,,,2
Kensington and Chelsea,Notting Hill Gate,Subway Station,51.5092063,-0.1962355,4.4,0.695854107538859,0.0,0.4,0.6,"Maintenance, Atmosphere, Aesthetics, Accessibility, General, Noise, Traffic, Cleanliness","beautiful (27), easy (18), busy (18), vibrant (18), lovely (18), far (12), safe (12), central (9), pretty (9), clean (9), fantastic (9), attractive (9), stunning (9), music (9), great (9), cozy (3), messy (3), good (3), old (3)",292
Kensington and Chelsea,Gloucester Road station,Transit Station,51.4947409,-0.1828317,4.0,0.52200980981191,0.26666666666666666,0.5333333333333333,0.2,"Maintenance, Aesthetics, Atmosphere, Accessibility, General, Noise, Traffic, Cleanliness","good (12), convenient (9), traffic (9), lovely (9), clean (9), amazing (9), busy (9), new (9), noisy (3)",38
Kensington and Chelsea,Gloucester Road,Subway Station,51.49440480000001,-0.1827321,4.3,0.5875028093655904,0.0,0.7333333333333333,0.26666666666666666,"Maintenance, Safety, General, Accessibility","accessible (45), perfect (16), great (9), good (9), easy (9), surveillance (9), near (6), safe (6), lighting (3), new (3), difficult (3), bad (2), busy (2)",292
Kensington and Chelsea,Queensway station,Transit Station,51.5104222,-0.1878425,2.8,0.5582698086897532,0.0,0.8,0.2,Accessibility,"convenient (9), central (9), parking (6), safe (6), noisy (6), walking (3), near (3), busy (1)",5
Kensington and Chelsea,High Street Kensington,Transit Station,51.50101419999999,-0.1929941,3.0,0.8549891710281372,0.0,0.0,1.0,General,"worst (9), safe (3)",2
