Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Lambeth,Joy Garden,Park,51.45502459999999,-0.122485,5.0,0.0,0.0,0.0,0.0,,,1
Lambeth,Windmill Gardens,Park,51.45357019999999,-0.1237387,4.4,0.6370469907919566,0.0,0.6,0.4,"Atmosphere, Noise, General, Aesthetics","quiet (18), great (18), pretty (9), lovely (9), beautiful (9), safe (6), parking (3), walking (3)",172
Lambeth,Brixton Orchard,Park,51.45913669999999,-0.1166224,4.6,0.7620421051979065,0.0,0.2,0.8,"Aesthetics, General","excellent (18), safe (9), gorgeous (9), great (9), messy (6)",12
Lambeth,Kepler Park,Park,51.46150100000001,-0.1261975,5.0,0.0,0.0,0.0,0.0,,,1
Lambeth,"Trinity Gardens, South View Drive, London, E18 1PA",Park,51.46158680000001,-0.1189846,4.4,0.49023858706156415,0.0,1.0,0.0,"Atmosphere, Noise, General, Aesthetics","peaceful (18), lovely (9), great (9), neat (3), near (3), new (3)",8
Lambeth,Solon New Road Park,Park,51.46198339999999,-0.1265892,4.0,0.5830577909946442,0.0,0.5,0.5,"Maintenance, Cleanliness","maintained (9), safe (6), parking (3), updated (3), noisy (3)",4
Lambeth,Windrush Square,Park,51.4605013,-0.1152446,4.8,0.47620596885681155,0.0,1.0,0.0,"Aesthetics, Traffic, Cleanliness","lovely (9), safe (3), clean (3), parking (3), lively (2)",13
Lambeth,Rush Common,Park,51.4511973,-0.1215021,4.1,0.484646071990331,0.4,0.2,0.4,"Aesthetics, Accessibility, Noise, Traffic, Safety, Cleanliness","walking (15), dirty (9), protected (9), beautiful (9), traffic (9), parking (5), tidy (3), good (3)",168
Lambeth,Cato Road Pocket Park,Park,51.462675,-0.1298859,4.0,0.0,0.0,0.0,0.0,,,1
Lambeth,Tulse Hill Nature Garden,Park,51.4513391,-0.1154215,4.0,0.5598446428775787,0.0,0.6666666666666666,0.3333333333333333,Comfort,"pleasant (9), welcoming (9), safe (3), lovely (3)",8
Lambeth,Rattray Parklet,Park,51.4572555,-0.1109141,4.6,0.6804654717445373,0.2,0.0,0.8,"Maintenance, Atmosphere, Aesthetics, Accessibility, General, Comfort, Traffic, Cleanliness","lovely (30), great (27), parking (27), relaxing (18), new (18), good (12), safe (9), amazing (9), central (9), difficult (9), neglected (9), far (9), beautiful (9), pleasant (9), lively (6), cars (3), noisy (3), messy (3), walking (1)",21
