Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Lewisham,Mountsfield Park,Park,51.44741759999999,-0.009556499999999999,4.5,0.6788549025853475,0.0,0.2,0.8,"Maintenance, Atmosphere, Aesthetics, General, Accessibility, Noise, Traffic, Cleanliness","parking (66), safe (21), walking (18), lovely (18), amazing (18), good (18), clean (12), maintained (9), great (9), traffic (9), relaxing (6), quiet (3), tidy (3), far (3), peaceful (3), bikes (3), dead (3), dark (3)",1718
Lewisham,Culverley Green,Park,51.4414969,-0.0125806,5.0,0.5809693535168966,0.0,0.6666666666666666,0.3333333333333333,Maintenance,"new (9), improved (6)",2
Lewisham,Glendale Managed Services Ltd,Park,51.44691520000001,-0.006169200000000001,2.3,0.7382981379826864,0.0,0.3333333333333333,0.6666666666666666,"Maintenance, General","new (9), terrible (6), amazing (6), damaged (3), messy (3), awful (3)",3
Lewisham,Prendergast Playing Fields,Park,51.4343658,-0.0067927,4.2,0.5512444853782654,0.2,0.3333333333333333,0.4666666666666667,"General, Cleanliness","amazing (9), good (9), tidy (9)",13
Lewisham,Mann Sales and Letting Agents Catford,Real Estate Agency,51.4465005,-0.0185833,4.7,0.7637655893961589,0.0,0.2,0.8,"Maintenance, Safety, General, Accessibility","new (27), easy (18), messy (15), secure (9), excellent (9), fantastic (9), perfect (7), updated (7), lovely (3), great (3), safe (3), noisy (3)",218
Lewisham,Catford Delivery Office,Post Office,51.43830000000001,-0.0199,3.0,0.7513860901196797,0.0,0.2,0.8,"General, Accessibility","worst (18), noisy (12), tidy (9), inaccessible (9), good (6), messy (6), cars (3), shouting (3), roomy (3), safe (3)",112
Lewisham,GWhiz Removals / Shipping,Moving Company,51.43568399999999,-0.018785,4.8,0.7279776970545451,0.2,0.0,0.8,"Maintenance, Aesthetics, General, Noise, Comfort, Traffic, Safety","messy (24), new (18), tidy (12), updated (12), good (12), traffic (9), amazing (9), lovely (9), pleasant (9), excellent (9), damaged (3), safe (3)",51
Lewisham,Reeds Rains Estate Agents Catford,Real Estate Agency,51.446667,-0.0184666,4.7,0.7820231517155966,0.0,0.13333333333333333,0.8666666666666667,"Maintenance, Atmosphere, General, Accessibility, Safety","amazing (18), excellent (9), fantastic (9), tidy (9), horrible (9), perfect (9), accessible (9), new (9), secure (3), safe (3)",97
Lewisham,Kaleidoscope,Health,51.4495951,-0.0175064,3.4,0.7361244797706604,0.0,0.2,0.8,"Maintenance, Atmosphere, General, Accessibility, Comfort, Cleanliness","safe (18), good (15), terrible (9), great (9), fantastic (9), wonderful (9), comfortable (9), calm (9), easy (9), neglected (7), tidy (6), messy (3), neat (3), near (3), new (3), lively (3)",27
Lewisham,Rushey Green Dental Practice,Health,51.4476696,-0.017515,4.7,0.7905270000298817,0.0,0.2,0.8,"Maintenance, Aesthetics, General, Comfort, Cleanliness","clean (36), pleasant (21), comfortable (18), modern (18), lovely (9), amazing (9), welcoming (9), tidy (6), safe (6), messy (3), repaired (3), walking (3)",411
Lewisham,Unique Frontline Protection Ltd,Point Of Interest,51.4449274,-0.006503,2.8,0.6053767204284668,0.0,0.5,0.5,Safety,"security (18), noisy (6), dead (3), dark (3)",9
Lewisham,Lewisham Adoption,Point Of Interest,51.4446258,-0.0210375,1.0,0.0,0.0,0.0,0.0,,,1
Lewisham,Catford Bus Garage (Stop BN),Transit Station,51.434666,-0.017761,4.4,0.6049839893976847,0.13333333333333333,0.4666666666666667,0.4,"Aesthetics, General","beautiful (9), great (9), fantastic (9), good (9), busy (6), ugly (2)",8
Lewisham,Sangley Road / St Fillans Road (Stop J),Transit Station,51.44235569999999,-0.0106002,4.0,0.47292715311050415,0.0,1.0,0.0,,busy (3),1
Lewisham,Sandhurst Road / St Fillans Road (Stop X),Transit Station,51.4420548,-0.009508599999999999,2.3,0.55668376882871,0.3333333333333333,0.3333333333333333,0.3333333333333333,General,"busy (15), good (9), safe (3)",3
Lewisham,Holy Cross School (Stop Y),Transit Station,51.442928,-0.013835,4.0,0.5272124409675598,0.0,1.0,0.0,General,"good (9), busy (3)",2
Lewisham,Holy Cross School (Stop H),Transit Station,51.443283,-0.015359,3.0,0.319188396135966,1.0,0.0,0.0,,,1
Lewisham,Brownhill Road / St Fillans Road (Stop B),Transit Station,51.44505179999999,-0.0105572,2.0,0.0,0.0,0.0,0.0,,,1
Lewisham,Laleham Road (Stop C),Transit Station,51.44530499999999,-0.012422,1.0,0.0,0.0,0.0,0.0,,,1
