Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
City of London,Postman's Park,Park,51.516767,-0.09771500000000002,4.6,0.6477250615755717,0.0,0.2,0.8,"Atmosphere, Aesthetics, General, Comfort, Noise, Traffic, Cleanliness","quiet (27), safe (24), lovely (21), beautiful (21), parking (15), spacious (9), pleasant (9), tidy (9), scenic (9), peaceful (9), amazing (9), wonderful (3), good (3), walking (3), flow (3)",1191
City of London,St Ethelburga's Centre for Reconciliation and Peace Venue,Tourist Attraction,51.5155664,-0.0820783,4.8,0.8403936684131622,0.06666666666666667,0.0,0.9333333333333333,"Maintenance, Aesthetics, General, Accessibility, Comfort, Cleanliness","beautiful (21), good (21), perfect (21), great (18), gorgeous (9), amazing (9), easy (9), comfortable (9), lovely (9), tidy (9), pleasant (9), maintained (9), safe (6), fantastic (6), noisy (3), roomy (3), messy (3)",279
City of London,St Dunstan in the East Church Garden,Tourist Attraction,51.509715,-0.0824601,4.7,0.6077404578526815,0.2,0.26666666666666666,0.5333333333333333,"Maintenance, Aesthetics, Atmosphere, General, Noise, Traffic","beautiful (27), peaceful (27), amazing (18), loud (9), quiet (9), busy (9), old (9), empty (9), stunning (9), walking (7), tidy (3), lively (3), lovely (3), sketchy (3), safe (3)",6931
City of London,Whittington Garden,Park,51.510914,-0.092166,4.3,0.5044208774964015,0.2,0.4666666666666667,0.3333333333333333,"Maintenance, Aesthetics, Atmosphere, Accessibility, Noise, Comfort, Traffic, Cleanliness","maintained (18), pleasant (15), safe (9), lovely (9), old (9), busy (9), noisy (9), parking (3), near (3)",95
City of London,Girdlers’ Hall Garden,Park,51.5170926,-0.0908962,5.0,0.4952147255341212,0.0,1.0,0.0,General,good (9),2
City of London,Cleary Garden,Park,51.5118167,-0.09537699999999999,4.5,0.5174071967601777,0.2,0.6,0.2,"Aesthetics, Atmosphere, Noise, Traffic, Cleanliness","lovely (18), quiet (15), rubbish (9), busy (9), calm (3), walking (3), parking (3), relaxing (3), peaceful (3)",100
City of London,Carter Lane Gardens,Park,51.5131492,-0.09844769999999999,4.4,0.6695803125699361,0.0,0.13333333333333333,0.8666666666666667,"Maintenance, Aesthetics, Accessibility, Comfort, Traffic, Cleanliness","pleasant (18), maintained (15), beautiful (12), lovely (9), near (9), walking (9), safe (9), damaged (9), stunning (9), relaxing (3), difficult (3)",102
City of London,St Mary Staining,Park,51.5166532,-0.0948099,4.2,0.5109410509467125,0.3333333333333333,0.25,0.4166666666666667,"Maintenance, Atmosphere, Aesthetics, General, Accessibility, Noise","great (18), new (9), modern (9), far (9), attractive (9), peaceful (9), parking (6), damaged (3), safe (3)",5
City of London,Coleman Street Garden,Park,51.5169933,-0.08984059999999999,5.0,0.47876085837682086,0.0,1.0,0.0,,,2
City of London,Festival Gardens,Park,51.5131903,-0.0966108,4.6,0.677242656548818,0.0,0.26666666666666666,0.7333333333333333,"Maintenance, Atmosphere, Aesthetics, Accessibility, General, Noise, Traffic","safe (27), perfect (27), busy (18), great (15), lovely (15), relaxing (9), peaceful (9), stunning (9), quiet (9), easy (9), old (9), attractive (2)",199
City of London,Smithfield Rotunda Garden,Park,51.5185929,-0.101076,4.2,0.521696392695109,0.13333333333333333,0.5333333333333333,0.3333333333333333,"Maintenance, Aesthetics, Atmosphere, Accessibility, General, Comfort, Traffic, Safety, Cleanliness","parking (12), peaceful (9), accessible (9), beautiful (9), excellent (9), wonderful (9), safe (9), fantastic (9), spotless (9), old (9), pleasant (9), dark (9), comfortable (9), relaxing (7), lively (3), near (3), noisy (3), lovely (3), busy (3)",103
City of London,HAC Grounds,Park,51.5223334,-0.08877579999999999,4.8,0.6946429232756297,0.0,0.2,0.8,"Safety, Accessibility, General, Aesthetics","lovely (27), great (18), good (9), pretty (9), beautiful (9), central (9), messy (3), secure (3), noisy (3), near (3)",71
City of London,Tate Community Garden,Museum,51.50799010000001,-0.09776540000000002,4.5,0.5259145955244701,0.2,0.4666666666666667,0.3333333333333333,"Maintenance, Aesthetics, General, Accessibility, Comfort, Traffic, Safety","good (18), welcoming (9), wonderful (9), near (9), modern (9), lovely (9), sketchy (9), dark (9), walking (6), amazing (6), safe (3), lively (2)",24
City of London,Barbican Conservatory,Tourist Attraction,51.520003,-0.09316210000000003,4.5,0.7119312703609466,0.0,0.4,0.6,"Aesthetics, Atmosphere, Noise, General","safe (21), lovely (19), stunning (18), pretty (18), good (12), peaceful (9), serene (6), beautiful (3), tidy (3), noisy (3), relaxing (3), dead (3), dark (3), calm (3)",925
City of London,Saint Botolph-without-Bishopsgate Gardens,Park,51.5164985,-0.0820472,4.5,0.6175440271695455,0.0,0.6,0.4,"Maintenance, Aesthetics, Atmosphere, Accessibility, General, Comfort, Cleanliness","good (18), lovely (12), relaxing (12), beautiful (9), great (9), pleasant (9), maintained (9), dirty (9), safe (6), near (3)",121
City of London,Christchurch Greyfriars Church Garden,Tourist Attraction,51.5158369,-0.09960479999999998,4.6,0.6312110741933187,0.0,0.6,0.4,"Maintenance, Aesthetics, Atmosphere, Noise, Traffic","lovely (36), old (27), beautiful (18), quiet (18), flow (6), tidy (3), relaxing (3), safe (3)",194
City of London,St Mary Aldermanbury Garden,Park,51.5164443,-0.09308380000000001,4.5,0.44027914603551227,0.5333333333333333,0.26666666666666666,0.2,"Maintenance, Atmosphere, Accessibility, General, Comfort, Noise, Traffic, Safety","great (27), central (9), far (9), pleasant (9), lovely (9), good (9), peaceful (9), old (9), police (9), busy (9), near (6), parking (6), tidy (3), lighting (3), walking (3), wonderful (3), shouting (3), safe (3)",86
City of London,St Michael's Church : Paternoster Royal,Church,51.51118719999999,-0.09223680000000001,5.0,0.6663428028424581,0.0,0.2,0.8,"Maintenance, Aesthetics","beautiful (27), lovely (18), modern (9), messy (3), peaceful (3), safe (3)",25
City of London,All Hallows-On-The Wall,Tourist Attraction,51.51662820000001,-0.08439959999999999,4.6,0.6465005338191986,0.2,0.2,0.6,"Maintenance, Atmosphere, Aesthetics, General, Accessibility, Noise, Comfort","quiet (9), welcoming (9), beautiful (9), old (9), excellent (9), wonderful (6), great (6), peaceful (3), good (3), fantastic (3), far (3)",40
City of London,One New Change,Shopping Mall,51.513924,-0.0954749,4.2,0.6088914811611176,0.0,0.6,0.4,"Maintenance, Aesthetics, Atmosphere, General, Accessibility, Noise","new (36), safe (27), modern (18), great (18), stunning (18), central (12), fantastic (9), perfect (9), lively (9), music (9), wonderful (9), old (9), dead (6), dark (6), tidy (3)",6957
City of London,PureGym London Moorgate,Gym,51.5168885,-0.0879668,3.6,0.4949447810649872,0.0,1.0,0.0,"Maintenance, Atmosphere, Aesthetics, General, Noise, Traffic, Cleanliness","safe (33), clean (21), good (18), noisy (12), bad (9), dirty (9), tidy (9), quiet (9), busy (9), pretty (9), poor (9), filthy (9)",327
City of London,Liverpool Street,Transit Station,51.51875159999999,-0.08143740000000001,4.3,0.6455716768900553,0.06666666666666667,0.2,0.7333333333333333,"Maintenance, Atmosphere, Aesthetics, Accessibility, General, Comfort, Noise, Traffic","safe (27), busy (21), excellent (18), central (18), pretty (18), connected (18), modern (9), easy (9), spacious (9), near (9), convenient (9), vibrant (9), bustling (9), great (9), accessible (9), good (9), crowded (9), flow (9), quiet (9)",3128
City of London,Cannon Street,Subway Station,51.5110809,-0.09035030000000001,4.2,0.6040058414141337,0.2,0.2,0.6,"Atmosphere, Aesthetics, Accessibility, General, Cleanliness","pretty (45), easy (27), safe (18), clean (18), central (9), good (9), rubbish (9), spotless (9), great (9), lovely (9), crowded (7), noisy (6), tidy (6), near (3)",96
City of London,Saint Dunstan in the East Church Tower,Transit Station,51.50979100000001,-0.0827674,4.7,0.5520656257867813,0.0,0.5,0.5,"Maintenance, Aesthetics","beautiful (9), old (9)",3
City of London,Bank Station,Transit Station,51.5132819,-0.0895555,5.0,0.0,0.0,0.0,0.0,,,1
City of London,St. Paul's Station,Transit Station,51.5150966,-0.09730350000000001,3.9,0.5770873208840688,0.4,0.2,0.4,"Maintenance, Accessibility, General","good (27), modern (18), accessible (9), great (9), far (6), messy (6), safe (3)",24
City of London,Bank Station,Transit Station,51.51338800000001,-0.0889145,3.9,0.6828021923700969,0.0,0.26666666666666666,0.7333333333333333,"Maintenance, Atmosphere, Accessibility, General, Comfort, Traffic, Cleanliness","busy (27), clean (27), tidy (21), central (18), great (18), upgraded (12), spacious (9), safe (6), lovely (6), walking (3), lighting (3), cars (3), noisy (3)",529
