Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Merton,Dundonald Recreation Ground,Park,51.4152002,-0.2104137,4.6,0.6403734922409058,0.0,0.26666666666666666,0.7333333333333333,"Maintenance, Aesthetics, Atmosphere, General, Noise, Traffic, Cleanliness","lovely (18), parking (11), walking (9), old (9), good (9), great (9), beautiful (9), maintained (9), perfect (7), quiet (6)",495
Merton,Joseph Hood Recreation Ground,Park,51.4038962,-0.2175636,4.4,0.7828432599703471,0.0,0.0,1.0,"Maintenance, Aesthetics, Accessibility, General, Cleanliness","great (18), parking (12), far (9), near (9), stunning (9), clean (9), new (9), cars (6), dead (3), dark (3), lovely (3), old (2)",345
Merton,Mostyn Gardens,Park,51.4033321,-0.2032283,4.4,0.5895592053731282,0.0,0.5333333333333333,0.4666666666666667,"Maintenance, Aesthetics, General, Accessibility, Safety, Cleanliness","parking (18), maintained (9), great (9), lovely (9), good (9), convenient (9), old (9), beautiful (9), safe (6), walking (3), bikes (2)",370
Merton,Dundonald Playground,Park,51.4159197,-0.2085816,4.4,0.681641431649526,0.06666666666666667,0.13333333333333333,0.8,"Maintenance, Atmosphere, General, Noise, Traffic, Safety, Cleanliness","old (36), good (24), safe (12), clean (9), busy (9), dangerous (9), quiet (6), tidy (6), parking (3), messy (3), walking (3)",272
Merton,John Innes Recreation Ground,Park,51.4082865,-0.2100169,4.4,0.5289080500602722,0.2,0.4,0.4,"Aesthetics, General, Accessibility","great (18), parking (18), beautiful (18), accessible (9), poor (9), good (7)",27
Merton,John Innes Park,Park,51.4092883,-0.2069545,4.5,0.6565422862768173,0.0,0.5,0.5,"Atmosphere, Noise, General, Aesthetics","great (9), peaceful (9), beautiful (9), wonderful (6), relaxing (5), parking (3), walking (3), fantastic (3)",11
Merton,Church Lane Playing Fields,Park,51.4111296,-0.202551,3.8,0.5821487764517467,0.06666666666666667,0.7333333333333333,0.2,"Maintenance, Atmosphere, Aesthetics, Accessibility, General, Noise, Traffic","lovely (15), noisy (12), peaceful (9), safe (9), perfect (9), busy (9), updated (9), parking (6), tidy (3), near (3), messy (3), old (3)",33
Merton,Wimbledon Guild Community Garden,Park,51.416505,-0.2064493,5.0,0.3494943082332611,1.0,0.0,0.0,,,2
Merton,Bushey Road Nature Reserve,Park,51.40714740000001,-0.2230337,3.0,0.46195347441567314,0.5555555555555556,0.1111111111111111,0.3333333333333333,"Maintenance, Atmosphere, Accessibility, Noise, Traffic","noisy (12), easy (9), busy (9), new (9), cars (3), parking (3), near (3), flow (3)",3
Merton,Nursery Road Playing Field,Park,51.4116569,-0.1968007,4.0,0.577437291542689,0.06666666666666667,0.6,0.3333333333333333,"Atmosphere, Aesthetics, Accessibility, Noise, Traffic","noisy (12), difficult (9), peaceful (9), empty (9), far (9), walking (9), lovely (6), safe (6), tidy (3), good (3)",23
Merton,Rutlish School,School,51.4092382,-0.2082339,3.8,0.8326472004254659,0.0,0.06666666666666667,0.9333333333333333,"Maintenance, Safety, General, Aesthetics","good (27), terrible (9), threatening (9), great (9), excellent (9), noisy (9), new (9), safe (6), lovely (3), broken (2)",37
Merton,Hallmark Kew House Luxury Care Home,Health,51.4183143,-0.2112618,4.7,0.8588409026463827,0.0,0.0,1.0,"Aesthetics, Atmosphere, Accessibility, General, Comfort, Safety","safe (27), excellent (18), wonderful (12), difficult (9), beautiful (9), fantastic (9), welcoming (9), secure (9), lovely (9), calm (9), great (9), amazing (3), lively (3), messy (3)",40
Merton,Wimbledon College of Arts,University,51.4137412,-0.2117781,4.4,0.568778936068217,0.2,0.4,0.4,"Atmosphere, Noise, Accessibility, General","good (9), near (9), great (9), amazing (6), quiet (3)",42
Merton,David Lloyd Raynes Park,Gym,51.40598839999999,-0.2225384,4.3,0.650427766640981,0.0,0.2,0.8,"Maintenance, Atmosphere, Aesthetics, General, Accessibility, Comfort, Noise, Traffic, Safety, Cleanliness","safe (63), parking (48), old (39), good (33), messy (24), tidy (24), bikes (24), maintained (18), great (18), welcoming (18), near (12), noisy (12), fantastic (9), cozy (9), spacious (9), enjoyable (9), walking (9), ugly (9), damaged (9), broken (9), poor (9), quiet (9), clean (9), tight (9), disappointing (9), pretty (9), excellent (9), cars (6), risky (3), screaming (3), dusty (3), easy (3)",1408
Merton,Surya Hot Yoga,Gym,51.4159218,-0.214692,4.7,0.8464656909306844,0.0,0.0,1.0,"Maintenance, Atmosphere, General, Accessibility, Comfort, Traffic, Safety, Cleanliness","safe (33), flow (18), calm (18), far (18), excellent (9), clean (9), tidy (9), messy (9), new (9), fantastic (9), welcoming (9), spotless (9), dead (6), dark (6), amazing (6), noisy (3), peaceful (3)",212
Merton,Tennison Property,Real Estate Agency,51.40913579999999,-0.2136201,4.8,0.7121578772862752,0.06666666666666667,0.13333333333333333,0.8,"Atmosphere, Safety, General, Accessibility","great (45), excellent (18), amazing (9), easy (9), good (9), secure (9), safe (6)",67
Merton,Shofar Christian Church London,Church,51.40802410000001,-0.2167689,5.0,0.5066078106562296,0.0,1.0,0.0,"Atmosphere, Noise, Aesthetics","peaceful (9), lovely (6)",5
Merton,Julia's Kitchen,Point Of Interest,51.4114037,-0.210535,4.9,0.8563504934310913,0.0,0.0,1.0,"Maintenance, Aesthetics, General, Comfort, Cleanliness","great (27), amazing (15), perfect (12), tidy (12), safe (9), comfortable (9), neat (9), welcoming (9), excellent (9), good (9), beautiful (3)",8
Merton,Earth Medicines,Health,51.4137126,-0.2135689,5.0,0.6893114248911539,0.0,0.3333333333333333,0.6666666666666666,General,"great (6), lovely (3)",1
Merton,Bhujwalla & Co,Accounting,51.4114887,-0.2080562,5.0,0.0,0.0,0.0,0.0,,,1
Merton,"Reflect Productions - Performing Arts, Merton Park",Point Of Interest,51.4089965,-0.2013972,4.8,0.7752227266629537,0.0,0.0,1.0,"Maintenance, Aesthetics, Accessibility, General, Comfort","old (21), great (21), wonderful (18), amazing (18), stunning (9), comfortable (9), tidy (6), lovely (6), near (3), safe (3), good (3), noisy (3), messy (3)",25
Merton,MBM Music,Point Of Interest,51.4077642,-0.2014041,5.0,0.7833065211772918,0.2,0.0,0.8,"Maintenance, Aesthetics, Accessibility, General, Noise","fantastic (36), music (30), great (27), easy (9), lovely (9), excellent (9), perfect (3)",11
Merton,Dundonald Road,Transit Station,51.4176329,-0.2075832,4.2,0.4830513000488281,0.2,0.6666666666666666,0.13333333333333333,"Maintenance, General","good (9), new (9), safe (6), poor (6), noisy (3), walking (3)",15
Merton,Hall School Wimbledon (Senior School),Bus Station,51.4149757,-0.2213072,3.2,0.6300011525551478,0.08333333333333333,0.25,0.6666666666666666,General,"horrible (9), great (9), safe (3), lovely (1)",12
Merton,Wimbledon Chase Station,Transit Station,51.40942030000001,-0.2138017,4.5,0.0,0.0,0.0,0.0,,,2
Merton,The Nelson Health Centre (Stop MU),Transit Station,51.410439,-0.210608,3.0,0.44801783561706543,0.0,1.0,0.0,,"safe (3), busy (3)",1
Merton,The Nelson Health Centre (Stop MF),Transit Station,51.4105257,-0.2100471,4.7,0.5330087244510651,0.0,1.0,0.0,Maintenance,"busy (3), tidy (3), empty (3)",3
Merton,Wimbledon Chase Station (Stop MH),Bus Station,51.40924810000001,-0.2136828,3.0,0.5071037775940366,0.3333333333333333,0.3333333333333333,0.3333333333333333,General,"great (9), noisy (3), safe (3), busy (3)",3
Merton,Wimbledon Chase,Train Station,51.4095243,-0.214012,3.6,0.6187083383401235,0.0,0.4,0.6,"Maintenance, Atmosphere, Accessibility, Noise, Traffic, Cleanliness","clean (27), central (18), empty (18), new (18), noisy (15), quiet (9), accessible (9), maintained (9), busy (9), tidy (6), safe (6), lively (3)",21
Merton,Mostyn Road,Transit Station,51.40956809999999,-0.20541,3.7,0.5298720002174377,0.0,1.0,0.0,"Atmosphere, Noise",peaceful (9),3
Merton,Wilton Crescent (Stop MV),Transit Station,51.41258999999999,-0.206655,2.5,0.5480603178342184,0.0,1.0,0.0,General,"great (9), tidy (6)",2
Merton,Raynes Park Community Church,Church,51.4103459,-0.2208653,5.0,0.0,0.0,0.0,0.0,,,2
Merton,Wimbledon Congregational Church,Church,51.4167467,-0.2080333,5.0,0.0,0.0,0.0,0.0,,,2
Merton,"St Andrew's Church, Wimbledon",Church,51.416804,-0.2043081,4.7,0.6636321822802226,0.0,0.4666666666666667,0.5333333333333333,"Aesthetics, Noise, General, Traffic","great (18), lovely (15), amazing (9), excellent (9), parking (9), fantastic (9), music (9), good (9), messy (3), safe (3)",36
Merton,Dundonald Church,Church,51.4104898,-0.2218594,4.9,0.7567750295003255,0.0,0.06666666666666667,0.9333333333333333,"Aesthetics, Accessibility, General, Comfort, Noise, Traffic","good (24), welcoming (18), parking (9), easy (9), excellent (9), lovely (9), great (9), music (9)",57
Merton,"St Mary's Church, Merton Park",Church,51.4101873,-0.2023207,4.6,0.5098799924055736,0.0,0.8666666666666667,0.13333333333333333,"Maintenance, Aesthetics, Atmosphere, General, Noise, Comfort, Traffic","lovely (18), great (15), beautiful (9), old (9), parking (9), peaceful (9), pleasant (9), tidy (3), safe (3), roomy (3)",47
Merton,Merton Park Baptist Church,Church,51.40807119999999,-0.2167677,4.8,0.5326260328292847,0.16666666666666666,0.5,0.3333333333333333,"Aesthetics, Traffic, Cleanliness","parking (9), clean (9), lovely (9)",9
Merton,"St James, Merton",Church,51.4037437,-0.2124598,4.7,0.5384791910648346,0.2,0.6,0.2,"Aesthetics, Comfort, General, Cleanliness","beautiful (9), welcoming (9), fantastic (9), excellent (9), clean (6), far (3), flow (3), bad (3), messy (3)",7
Merton,런던 윔블던 한인교회,Church,51.40372049999999,-0.212446,4.6,0.5570687539875507,0.4166666666666667,0.08333333333333333,0.5,"Comfort, General, Accessibility","great (18), safe (9), welcoming (9), difficult (9), lovely (3)",7
Merton,Martin Way Methodist Church,Church,51.4029001,-0.2085272,4.6,0.5966069062550863,0.0,0.5333333333333333,0.4666666666666667,"Maintenance, Atmosphere, Aesthetics, Accessibility, General, Comfort, Traffic","lovely (18), spacious (9), cars (9), easy (9), old (9), great (9), new (9), busy (9), parking (6), roomy (3), safe (3)",18
Merton,St John Fisher Catholic Church,Church,51.4018619,-0.2163501,4.5,0.5946043153603872,0.2,0.2,0.6,"Maintenance, Noise, General, Comfort","great (18), modern (18), safe (9), excellent (9), music (9), welcoming (9), tidy (3), good (3)",53
Merton,Wimbledon & Wandsworth Roofing,Roofing Contractor,51.4152089,-0.1999779,5.0,0.6662484486897786,0.0,0.4666666666666667,0.5333333333333333,"Aesthetics, General, Cleanliness","excellent (18), good (9), perfect (9), great (9), repaired (6), noisy (6), messy (5), damaged (3), tidy (3), clean (3), safe (3), dead (3), dark (3)",34
Merton,Parking - Kingston Road,Parking,51.41018649999999,-0.210099,1.0,0.7288501063982645,0.0,0.0,1.0,Traffic,"parking (18), cars (9), poor (3), tidy (3)",1
Merton,Joseph Hood Recreation Ground,Parking,51.4046334,-0.2160239,4.4,0.600689007838567,0.2,0.4666666666666667,0.3333333333333333,"Maintenance, Aesthetics, General","amazing (15), improved (9), appealing (9), good (9), lovely (9), cars (6), walking (3), parking (3)",32
Merton,National Trust - Morden Hall Park,Park,51.4027293,-0.1859361,4.6,0.6252553701400757,0.0,0.6,0.4,"Atmosphere, Aesthetics, General, Noise, Traffic","parking (42), busy (18), lovely (15), walking (9), wonderful (9), safe (9), amazing (9), quiet (9), beautiful (9), scenic (9), great (6), peaceful (3), flow (3), noisy (3), cars (3)",5684
Merton,Abbey Recreation Ground,Park,51.41209920000001,-0.1935892,4.3,0.6393415570259094,0.0,0.4,0.6,"Maintenance, Accessibility, General, Traffic, Cleanliness","good (24), walking (18), parking (16), safe (9), maintained (9), great (9), easy (9), relaxing (3), noisy (3)",221
Merton,Gogo Deco LTD,Painter,51.4017402,-0.1917067,5.0,0.7683994637595283,0.0,0.3333333333333333,0.6666666666666666,Cleanliness,"clean (18), tidy (18), noisy (3)",3
Merton,Morden Leisure Centre,Gym,51.394884,-0.2049515,4.2,0.6113131860891978,0.2,0.26666666666666666,0.5333333333333333,"Maintenance, Atmosphere, Accessibility, General, Comfort, Noise, Traffic, Safety, Cleanliness","clean (27), parking (27), safe (24), new (18), far (18), roomy (15), horrible (15), cars (12), good (12), tidy (9), noisy (9), crowded (9), difficult (9), old (9), modern (9), spacious (9), fantastic (9), messy (9), loud (9), screaming (9), worst (9), bad (3)",1061
Merton,The Stable Yard (National Trust),Park,51.4024377,-0.1886082,4.5,0.6328243454297383,0.0,0.2,0.8,"Atmosphere, Aesthetics, General, Noise, Traffic, Cleanliness","lovely (51), walking (27), clean (18), busy (12), muddy (9), peaceful (9), beautiful (9), good (9), safe (6), great (3), parking (3), lively (3)",473
Merton,Cottenham Park,Park,51.414115,-0.2362757,4.5,0.6393063366413116,0.2,0.2,0.6,General,"great (27), good (18), parking (9), messy (3), safe (3), lovely (3)",239
Merton,South Park Gardens,Park,51.4222798,-0.1984674,4.6,0.7093902389208476,0.0,0.2,0.8,"Aesthetics, Atmosphere, General, Comfort, Noise, Traffic, Cleanliness","parking (27), great (27), lovely (18), beautiful (15), walking (12), good (9), safe (9), busy (9), clean (9), spacious (9), pretty (9), quiet (9), peaceful (9), perfect (9), rubbish (9), flow (3)",1033
Merton,Cannon Hill Common,Tourist Attraction,51.4012313,-0.2188124,4.6,0.5381018201510112,0.2,0.6,0.2,"Aesthetics, Atmosphere, General, Comfort, Noise","lovely (18), pleasant (9), great (9), calm (9), quiet (9), wonderful (9), safe (6), parking (6), walking (6), tidy (3), cars (3), busy (3)",549
Merton,Morden Road,Transit Station,51.4088386,-0.1929738,3.9,0.5681380013624827,0.2,0.2,0.6,"Accessibility, General","convenient (9), good (9), safe (9), walking (6), poor (6), busy (3)",20
Merton,Ursuline High School,Secondary School,51.41513519999999,-0.2222256,4.4,0.6513668715953826,0.0,0.6,0.4,General,"good (27), great (18), safe (3)",21
Merton,Lloyds Bank,Bank,51.42082990000001,-0.2050615,3.7,0.5705333570639293,0.3333333333333333,0.06666666666666667,0.6,"Maintenance, General","good (9), awful (9), messy (3)",62
Merton,NHS South West London,Health,51.41937699999999,-0.2001604,3.3,0.5316173036893209,0.0,1.0,0.0,,,4
Merton,Savills,Real Estate Agency,51.42400199999999,-0.2159174,4.7,0.7377134641011556,0.0,0.2,0.8,"Maintenance, Atmosphere, Aesthetics, Accessibility, General","great (18), lovely (9), calm (9), updated (9), good (9), worst (9), far (6), messy (3)",108
Merton,Merton Boiler Repair & Heating Services,General Contractor,51.4151779,-0.1903751,5.0,0.5604382356007894,0.0,0.6666666666666666,0.3333333333333333,General,amazing (3),2
Merton,TWM Solicitors,Accounting,51.42073180000001,-0.2042219,4.7,0.7679256041844685,0.0,0.2,0.8,"Maintenance, Atmosphere, Aesthetics, General, Accessibility, Safety","lovely (9), amazing (9), good (9), fantastic (9), great (9), near (9), tidy (6), safe (6), messy (3), lively (3)",22
Merton,Saint George's Road Car Park,Transit Station,51.4203725,-0.2083013,1.5,0.7157045324643453,0.0,0.26666666666666666,0.7333333333333333,"Maintenance, Accessibility, Traffic, Safety, Cleanliness","parking (54), dirty (18), rubbish (18), cars (12), convenient (9), damaged (9), dark (9), good (3), vehicle (3), walking (3), clean (3)",13
Merton,Queens Road Car Park,Transit Station,51.4219086,-0.2033521,2.0,0.7009135584036509,0.0,0.5,0.5,,"noisy (6), busy (3)",5
Merton,Wimbledon,Subway Station,51.4213546,-0.206649,4.1,0.5672307014465332,0.0,0.6,0.4,"Maintenance, Atmosphere, Accessibility, General, Noise, Traffic, Cleanliness","busy (21), good (12), easy (9), shouting (9), poor (9), clean (9), amazing (9), repaired (3), noisy (3), parking (3)",101
Merton,Wimbledon,Transit Station,51.4213642,-0.2066348,3.9,0.5112813989321391,0.4,0.2,0.4,"Maintenance, Atmosphere, Accessibility, General, Noise, Traffic","good (30), tidy (9), messy (9), convenient (9), wonderful (9), busy (9), vehicle (9), traffic (9), awful (9), noisy (3), grimy (3)",376
Merton,Morden,Subway Station,51.4022497,-0.1947067,3.8,0.622476855913798,0.0,0.4,0.6,"Maintenance, Accessibility, General, Traffic, Cleanliness","good (18), disappointing (9), old (9), clean (9), tidy (9), rubbish (9), improved (9), safe (6), convenient (3), flow (3)",167
Merton,Raynes Park,Transit Station,51.40882449999999,-0.2301812999999999,3.8,0.5782996515432993,0.0,0.8,0.2,"Safety, Comfort, Accessibility, General","accessible (18), safe (14), noisy (9), dangerous (9), worst (9), pleasant (9), tidy (3), near (3)",68
Merton,South Wimbledon,Subway Station,51.41533549999999,-0.1921526,4.1,0.5671371261278788,0.0,0.8,0.2,"Maintenance, Atmosphere, Accessibility, Traffic, Cleanliness","easy (18), updated (18), safe (12), clean (9), busy (9), connected (9), central (9), noisy (3), tidy (3)",77
Merton,St James Church,Transit Station,51.4036085,-0.2132035,5.0,0.0,0.0,0.0,0.0,,,1
Merton,Wimbledon Quarter,Shopping Mall,51.4214084,-0.2049002,4.0,0.5245757420857747,0.2,0.5333333333333333,0.26666666666666666,"Maintenance, Atmosphere, Aesthetics, Accessibility, Noise, Comfort, Traffic, Cleanliness","parking (15), quiet (9), inviting (9), beautiful (9), clean (9), modern (9), difficult (9), pretty (9), cars (6), tidy (6), safe (3), damaged (3), new (3)",5259
Merton,Love Wimbledon,Tourist Attraction,51.4202574,-0.2090389,4.6,0.713441264629364,0.06666666666666667,0.2,0.7333333333333333,"Safety, Cleanliness, Accessibility, General","great (27), safe (12), tidy (12), amazing (9), wonderful (9), clean (9), near (6), good (3), lovely (3), difficult (3)",16
Merton,Wimbledon Museum,Museum,51.4233354,-0.2166459,4.5,0.6802734275658925,0.0,0.4,0.6,"Atmosphere, General","amazing (18), wonderful (9), neat (3), near (3), new (3), tidy (3), pretty (3)",68
Merton,The Baitul Futuh Mosque,Mosque,51.39624679999999,-0.198971,4.8,0.9302995284398397,0.0,0.0,1.0,"Aesthetics, Atmosphere, General, Comfort, Noise","beautiful (45), welcoming (33), peaceful (15), great (9), fantastic (9), wonderful (9), stunning (9), messy (6), safe (3)",2314
Merton,Raynes Park Mural,Tourist Attraction,51.4100056,-0.2275219,4.7,0.5011444687843323,0.0,1.0,0.0,"Maintenance, Traffic","new (9), pedestrian (9), parking (3)",3
Merton,Merton Heritage & Local Studies Centre,Library,51.401462,-0.1963648,3.5,0.8563039302825928,0.0,0.0,1.0,Aesthetics,pretty (9),4
Merton,Cherry Wood,Natural Feature,51.39779619999999,-0.214202,5.0,0.0,0.0,0.0,0.0,,,1
Merton,The Pickle,Natural Feature,51.4134116,-0.1804673,4.5,0.33960357308387756,0.6666666666666666,0.3333333333333333,0.0,,good (3),2
Merton,Rushmere Pond,Natural Feature,51.4250024,-0.2243213,4.7,0.6198942999045054,0.06666666666666667,0.2,0.7333333333333333,"Maintenance, Aesthetics, Atmosphere, Accessibility, General, Comfort, Traffic, Safety","great (33), near (18), safe (18), parking (12), lovely (9), walking (9), amazing (9), serene (9), inviting (9), vibrant (9), charming (9), relaxing (3), tidy (3), good (3)",16
Merton,Lantern Methodist Church Raynes Park,Church,51.41070610000001,-0.2288537,4.6,0.6121975059310595,0.0,0.25,0.75,"Aesthetics, Comfort, General","good (18), great (9), beautiful (9), welcoming (6), safe (3)",11
Merton,The Salvation Army Morden,Church,51.4015393,-0.1984155,4.6,0.8054006430837843,0.0,0.0,1.0,,,5
Merton,"Sacred Heart Church, Wimbledon",Church,51.4175465,-0.2195849,4.8,0.796504271030426,0.0,0.06666666666666667,0.9333333333333333,"Maintenance, Atmosphere, Aesthetics, General, Accessibility, Noise","good (48), lovely (27), beautiful (24), amazing (9), new (9), quiet (9), modern (9), fantastic (9), excellent (9), near (9), tidy (6), lively (6), cozy (3), active (1)",222
