Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Sutton,Manor Park,Park,51.362763,-0.1900936,4.4,0.637166174252828,0.0,0.3333333333333333,0.6666666666666666,"Maintenance, Atmosphere, Aesthetics, Accessibility, General, Comfort, Noise, Traffic, Cleanliness","lovely (27), maintained (27), parking (24), pleasant (18), great (18), safe (15), peaceful (9), perfect (9), relaxing (9), quiet (9), beautiful (9), walking (6), clean (6), flow (3), near (3), tidy (3)",1183
Sutton,Dr George Rice Community Garden,Park,51.36219310000001,-0.1960734,5.0,0.0,0.0,0.0,0.0,,,1
Sutton,Lenham Road Community Garden,Park,51.3650147,-0.1914867,5.0,0.0,0.0,0.0,0.0,,,1
Sutton,High St by Sutton Green,Park,51.36868639999999,-0.1949419,5.0,0.5069807569185892,0.0,1.0,0.0,"Maintenance, General","good (9), relaxing (3), walking (3)",1
Sutton,Devonshire Avenue Nature Area,Park,51.3542816,-0.1881261,4.1,0.4737540304660797,0.2,0.7333333333333333,0.06666666666666667,"Maintenance, Atmosphere, Aesthetics, General, Noise","updated (9), lovely (9), peaceful (9), good (9)",22
Sutton,Collingwood Road Recreation Ground,Park,51.36846999999999,-0.2039058,4.0,0.622584879398346,0.2,0.2,0.6,"Maintenance, Safety, Traffic","police (9), old (9), cyclists (7), parking (6), dead (3), dark (3), pedestrian (3), noisy (3), busy (3)",45
Sutton,Leaders Letting & Estate Agents Sutton,Real Estate Agency,51.3594064,-0.1916331,4.5,0.7651149372259776,0.0,0.2,0.8,"Safety, Atmosphere, General, Accessibility","easy (18), fantastic (9), secure (9), great (9), messy (3), dead (3), dark (3)",352
Sutton,Personnel Today Awards,Point Of Interest,51.3622178,-0.1930424,5.0,0.0,0.0,0.0,0.0,,,2
Sutton,Omniplex Cinema Sutton,Movie Theater,51.3645925,-0.1951364,4.4,0.6996131579081217,0.0,0.0,1.0,"Maintenance, Aesthetics, Accessibility, General, Comfort, Traffic, Cleanliness","good (30), great (27), modern (18), comfortable (18), parking (18), pleasant (12), clean (9), maintained (9), safe (9), convenient (9), spacious (9), pretty (9), fantastic (9), old (9), tidy (6)",2233
Sutton,Sutton,Transit Station,51.3597332,-0.1908287,3.9,0.642013414700826,0.0,0.26666666666666666,0.7333333333333333,"Maintenance, Aesthetics, Accessibility, General, Cleanliness","good (33), pretty (27), lovely (21), clean (21), central (18), tidy (15), neat (9), maintained (9), safe (9), new (9), easy (9), busy (3), dead (3), dark (3)",134
Sutton,Road Transport Media,Point Of Interest,51.3622021,-0.1941805,4.0,0.0,0.0,0.0,0.0,,,1
Sutton,Bright Horizons Sutton Day Nursery and Preschool,School,51.3617183,-0.198777,4.6,0.7415908634662628,0.0,0.2,0.8,"Aesthetics, Traffic, Accessibility, General","lovely (18), wonderful (18), tidy (12), great (9), far (9), pretty (9), fantastic (9), good (9), safe (6), flow (5), noisy (3), amazing (3), messy (3), roomy (3)",14
Sutton,Sutton Grammar School,School,51.3651922,-0.1897443,4.3,0.6371981918811798,0.13333333333333333,0.3333333333333333,0.5333333333333333,"Comfort, General, Accessibility","spacious (9), amazing (9), safe (6), lovely (4), good (3), far (2)",91
Sutton,Rush Hair Sutton,Hair Care,51.36005309999999,-0.1914694,4.3,0.7428331057230632,0.0,0.2,0.8,"Maintenance, Aesthetics, Atmosphere, General, Comfort","lovely (36), amazing (27), messy (15), new (9), welcoming (9), beautiful (9), great (9), tidy (9), calm (9), good (9), stunning (6), safe (6)",224
Sutton,Barclays Bank,Bank,51.3611722,-0.1922802,3.9,0.7399700005849202,0.0,0.26666666666666666,0.7333333333333333,"Aesthetics, General","messy (20), excellent (9), wonderful (6), fantastic (3)",158
Sutton,Sutton Civic Centre (Stop V),Transit Station,51.3620171,-0.1943841,4.5,0.5656296014785767,0.0,1.0,0.0,Accessibility,convenient (9),4
