Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Tower Hamlets,London Museum Docklands,Museum,51.5075598,-0.0238525,4.6,0.7772769570350647,0.0,0.2,0.8,"Maintenance, Aesthetics, Atmosphere, General, Accessibility, Cleanliness","amazing (27), easy (18), safe (15), lovely (10), tidy (9), old (9), great (9), clean (9), walking (6), messy (3), roomy (3)",6888
Tower Hamlets,Poplar Fire Station,Fire Station,51.510938,-0.014634,4.7,0.6421674539645513,0.0,0.5,0.5,General,"good (18), tidy (3), messy (3)",11
Tower Hamlets,William Hill,Point Of Interest,51.51339609999999,-0.0155474,3.6,0.5317678928375245,0.26666666666666666,0.4666666666666667,0.26666666666666666,Aesthetics,"gorgeous (9), tidy (3), old (2)",9
Tower Hamlets,William Hill,Point Of Interest,51.5214996,-0.0191117,3.0,0.7574866546524895,0.0,0.0,1.0,General,"poor (15), tidy (6), messy (3), noisy (3)",10
Tower Hamlets,"New City College, Tower Hamlets",University,51.50870109999999,-0.0177573,3.1,0.6350279132525126,0.4,0.0,0.6,"Maintenance, Atmosphere, Accessibility, General, Comfort, Safety, Cleanliness","good (27), noisy (15), new (9), maintained (9), far (9), security (9), tidy (9), empty (9), enjoyable (9), clean (9), messy (6), walking (3)",152
Tower Hamlets,St Paul's Way Secondary School,Secondary School,51.51873149999999,-0.0239535,3.6,0.5376758674780527,0.2,0.4666666666666667,0.3333333333333333,"Maintenance, General","good (27), improved (9), tidy (6), great (6), dead (3), dark (3), safe (3), ugly (3)",27
Tower Hamlets,Langdon Park School,Secondary School,51.51480429999999,-0.0122427,3.8,0.42175305684407555,0.5333333333333333,0.4666666666666667,0.0,General,"good (15), great (9), tidy (6), noisy (3), poor (3), messy (2)",13
Tower Hamlets,Langdon Park,Park,51.5163301,-0.0133953,4.3,0.5705929021040599,0.0,0.6,0.4,"Aesthetics, Comfort, Noise, Accessibility","parking (32), pleasant (9), near (9), lovely (9), connected (9), safe (6), walking (6), good (3), bikes (3), lighting (3), cars (3)",366
Tower Hamlets,China Health Spa,Spa,51.50775660000001,-0.0215666,3.3,0.5627638300259908,0.0,0.6666666666666666,0.3333333333333333,"Maintenance, Atmosphere, Aesthetics, General, Comfort, Safety, Cleanliness","messy (39), good (27), relaxing (27), tidy (21), great (18), noisy (18), uncomfortable (18), disappointing (18), old (18), updated (9), terrible (9), pretty (9), horrible (9), unpleasant (9), dangerous (9), clean (9), lovely (6), dead (3), dark (3), safe (3), roomy (3)",60
Tower Hamlets,Citi Quays,Real Estate Agency,51.50873559999999,-0.0127846,1.9,0.5957014103730519,0.0,0.4,0.6,"Maintenance, Aesthetics, General, Accessibility, Traffic, Safety, Cleanliness","tidy (51), broken (39), bad (36), clean (30), repaired (24), noisy (18), poor (18), good (18), security (9), awful (9), bikes (9), filthy (9), roomy (9), pretty (9), new (9), dark (9), connected (9), difficult (9), easy (3), safe (3), lighting (3), lively (3), calm (3), cars (3), cozy (3)",29
