Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Wandsworth,Bramford Community Gardens,Park,51.461652,-0.187019,4.0,0.5367693384488423,0.0,1.0,0.0,"Traffic, Cleanliness","walking (33), safe (15), tidy (9), parking (9), dead (3), dark (3)",10
Wandsworth,Wandsworth Common,Park,51.4563274,-0.1785586,4.6,0.7179198344548543,0.0,0.26666666666666666,0.7333333333333333,"Maintenance, Atmosphere, Aesthetics, Accessibility, General, Noise, Traffic, Cleanliness","walking (24), good (21), beautiful (18), easy (12), lovely (12), safe (12), parking (9), peaceful (9), maintained (9), relaxing (9), clean (9), great (9), far (9), dead (3), dark (3), convenient (3), lively (3), tidy (3), connected (1)",160
Wandsworth,Harrington Porter,Park,51.4531936,-0.1745382,5.0,0.7701554576555888,0.0,0.13333333333333333,0.8666666666666667,"Aesthetics, General","excellent (18), fantastic (18), beautiful (9), great (9), perfect (9), tidy (6), safe (3), roomy (3)",35
Wandsworth,Garratt Lane Old Burial Ground,Park,51.45561510000001,-0.1915499000000001,4.1,0.7259132385253906,0.0,0.2,0.8,"Maintenance, Atmosphere, Aesthetics, Comfort, Noise, Cleanliness","lovely (12), pleasant (9), maintained (9), quiet (9), safe (6), clean (3), calm (3), relaxing (3), ugly (3)",35
Wandsworth,PropertyJam,Park,51.4501406,-0.1866131,5.0,0.7639792395962609,0.0,0.3333333333333333,0.6666666666666666,General,"good (18), great (18), messy (12), fantastic (9), jammed (6), roomy (3), lighting (3), repaired (3), lively (2)",4
Wandsworth,Wandsworth Common,Park,51.45316469999999,-0.169008,4.5,0.7089829206466675,0.0,0.4,0.6,"Aesthetics, Accessibility, General, Comfort, Traffic","lovely (30), great (18), amazing (18), beautiful (18), pleasant (9), good (9), easy (9), parking (9), congested (9), pretty (9), walking (9), stunning (9), safe (3), messy (3)",2821
Wandsworth,Sterling Landscapes Ltd,Park,51.461505,-0.193698,5.0,0.7075432116786639,0.0,0.5,0.5,"Maintenance, Cleanliness, Accessibility, General","fantastic (18), easy (18), tidy (12), new (9), good (9), safe (3)",6
Wandsworth,Savills Wandsworth Estate Agents,Real Estate Agency,51.4576374,-0.1838081,5.0,0.7566111226876576,0.0,0.26666666666666666,0.7333333333333333,"Maintenance, Atmosphere, General, Cleanliness","tidy (9), great (9), fantastic (9), new (9), maintained (9), perfect (7), dead (3), dark (3), messy (3)",195
Wandsworth,Cineworld Wandsworth,Movie Theater,51.45393780000001,-0.1933645,4.3,0.6892174204190572,0.0,0.3333333333333333,0.6666666666666666,"Maintenance, Atmosphere, General, Accessibility, Noise, Comfort, Traffic, Cleanliness","good (27), excellent (18), awful (18), parking (12), clean (12), great (12), tidy (9), quiet (9), broken (9), uncomfortable (9), old (9), noisy (6), cars (3), safe (3), near (2)",2828
Wandsworth,William Hill,Point Of Interest,51.46026229999999,-0.1776821,2.4,0.4926430950562159,0.3333333333333333,0.4666666666666667,0.2,Atmosphere,"empty (9), noisy (3), tidy (3), calm (3)",7
