Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Barking and Dagenham,Parsloes Park,Park,51.5446422,0.1324525,4.2,0.793790336449941,0.0,0.0,1.0,"Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","parking (29), good (24), beautiful (18), peaceful (18), new (18), walking (12), lovely (12), spacious (9), maintained (9), modern (9), clean (9), perfect (9), amazing (9), old (9), safe (6)",1393
Barking and Dagenham,Mayesbrook Park,Park,51.5421626,0.1102173,4.4,0.643704875310262,0.0,0.6,0.4,"Safety, Noise, Cleanliness, Atmosphere, Traffic, General","parking (27), safe (12), peaceful (9), vibrant (9), perfect (9), clean (9), busy (9), crowded (9), serene (6), quiet (6), calm (3)",2468
Barking and Dagenham,Goresbrook Park,Park,51.5371892,0.1423582,4.2,0.6256940484046936,0.2,0.2,0.6,"Accessibility, Cleanliness, Maintenance, Aesthetics, General","accessible (36), good (9), new (9), excellent (9), clean (9), beautiful (9), parking (8), safe (6), lovely (3)",539
Barking and Dagenham,Parsloes Park Lake,Park,51.542405,0.1293616,4.5,0.623466165860494,0.0,0.4,0.6,"Cleanliness, General","good (21), parking (12), clean (6), safe (3)",12
Barking and Dagenham,Wykeham Green Open Space,Park,51.5433926,0.124094,5.0,0.0,0.0,0.0,0.0,,,1
Barking and Dagenham,Forest of Thanks at Parsloes Park,Park,51.5459043,0.1264387,5.0,0.5291197995344797,0.0,1.0,0.0,"Accessibility, Safety, Maintenance, Aesthetics, General","safe (21), stunning (15), parking (12), good (9), great (9), near (3), tidy (3)",3
Barking and Dagenham,The Squatts Local Nature Reserve,Park,51.54644909999999,0.1304577,1.0,0.3392925262451172,1.0,0.0,0.0,Maintenance,"old (9), parking (3), safe (3)",1
Barking and Dagenham,Castle Green Recreation Ground,Park,51.53316539999999,0.1212154,4.2,0.6315310200055441,0.0,0.2,0.8,"Maintenance, Cleanliness, Traffic, General","good (9), walking (9), maintained (6), rubbish (6), great (3), parking (3), safe (3)",38
Barking and Dagenham,Scrattons Farm Eco Park,Park,51.52985499999999,0.1345513,4.0,0.0,0.0,0.0,0.0,,,1
Barking and Dagenham,Thomas Arnold Community Garden,Park,51.53753270000001,0.1460966,5.0,0.5483412245909373,0.0,1.0,0.0,"Maintenance, Cleanliness, Aesthetics, General","beautiful (9), maintained (9), great (9), walking (3)",3
Barking and Dagenham,Heathway Gardens,Park,51.54003220000001,0.1474913,3.0,0.45688124001026154,0.16666666666666666,0.8333333333333334,0.0,,tidy (3),2
