Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Bexley,Town Park (King George's Playing Fields),Park,51.4583466,0.1414979,3.4,0.40165555477142334,0.5555555555555556,0.4444444444444444,0.0,"Cleanliness, Aesthetics, Safety","safe (12), clean (12), parking (9), messy (9), tidy (9), lovely (9), police (9), beautiful (6), neat (2), near (2), new (2)",10
Bexley,Palmar Gardens,Park,51.4637571,0.1431165,4.3,0.46396190524101255,0.4,0.4,0.2,"Noise, Maintenance, Atmosphere, Safety","quiet (21), walking (3), relaxing (3), safe (3)",15
Bexley,Hall Place & Gardens,Tourist Attraction,51.4471009,0.160306,4.6,0.7596235970656077,0.0,0.26666666666666666,0.7333333333333333,"Accessibility, Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","wonderful (27), great (27), fantastic (18), relaxing (18), beautiful (15), safe (15), lovely (15), walking (10), stunning (9), vibrant (9), busy (9), crowded (9), bad (9), accessible (9), peaceful (9), renovated (9), enjoyable (9), old (9), clean (6), roomy (6), tidy (3), dark (3), dead (3), cars (3), parking (3), flow (3)",3450
Bexley,Danson Park Adventures,Park,51.4543412,0.1218903,4.5,0.6995180090268452,0.0,0.3333333333333333,0.6666666666666666,"Accessibility, Noise, Comfort, Maintenance, General","great (27), old (18), welcoming (9), buzzing (9), good (9), amazing (9), safe (3), neat (3), near (3), new (3), bad (3), busy (3), parking (3), pretty (3), walking (3), easy (3)",95
Bexley,Gravel Hill Green,Park,51.450939,0.1460885,4.0,0.4970894753932953,0.0,1.0,0.0,"Traffic, Aesthetics, General","walking (10), great (9), good (9), lovely (3), parking (3)",3
Bexley,The Warren,Park,51.4504342,0.1465049,5.0,0.4978623588879903,0.0,1.0,0.0,Aesthetics,lovely (9),2
Bexley,Martens Grove Park,Park,51.4570313,0.1610661,4.4,0.5535696307818095,0.0,0.8,0.2,"Accessibility, Noise, Cleanliness, Atmosphere, Maintenance, Traffic, Aesthetics, General","good (54), parking (50), quiet (18), walking (18), bad (9), noisy (9), great (9), clean (9), lovely (9), old (9), safe (6), perfect (3), near (3), cars (3)",249
Bexley,Russell Park,Park,51.46204040000001,0.1498741,4.1,0.6285923441251119,0.0,0.6,0.4,"Maintenance, Atmosphere, Traffic, General","great (27), good (21), busy (12), walking (9), old (9), noisy (6), lovely (6), parking (6), lively (3), safe (3)",240
Bexley,"Hall Place, North Park",Park,51.45051039999999,0.1606821,4.3,0.6083113332589467,0.0,0.6,0.4,"Cleanliness, Traffic, Aesthetics, General","beautiful (45), good (18), walking (16), lovely (12), neglected (9), safe (3), flow (3), noisy (3)",44
Bexley,London Butterfly Gardens,Park,51.44883269999999,0.1605195,5.0,0.8393235524495443,0.0,0.0,1.0,"Noise, Comfort, Atmosphere, Maintenance, Aesthetics, Traffic, General","walking (30), beautiful (27), lovely (18), calm (18), great (18), good (12), safe (12), wonderful (9), renovated (9), relaxing (9), enjoyable (9), old (9), amazing (9), parking (6), stunning (6), noisy (3), tidy (3)",87
Bexley,Hall Place,Park,51.447917,0.1593297,4.3,0.710237177213033,0.0,0.2,0.8,"Accessibility, Maintenance, Traffic, Aesthetics, General","beautiful (27), parking (27), good (18), great (12), lovely (9), safe (6), walking (3), tidy (3), near (3)",15
Bexley,Jambs Owls,Park,51.4481024,0.1618907,4.8,0.7589392145474751,0.0,0.2,0.8,"Maintenance, Aesthetics, General","wonderful (18), great (18), fantastic (9), excellent (9), lovely (9), safe (3), updated (3)",111
Bexley,The Golden Acre,Park,51.44198040000001,0.1445238,4.4,0.6000572959582011,0.0,0.4666666666666667,0.5333333333333333,"Cleanliness, Aesthetics, Accessibility, General","good (21), beautiful (9), excellent (9), great (9), tidy (3), parking (3), near (3), lovely (3)",61
Bexley,The Green,Park,51.46923149999999,0.1471659,4.2,0.5567243218421936,0.26666666666666666,0.3333333333333333,0.4,"Aesthetics, Safety","beautiful (18), dangerous (9), walking (6), safe (3), lovely (3)",17
Bexley,Yorkshire Building Society,Finance,51.4567373,0.1448785,5.0,0.6134504556655884,0.0,0.6,0.4,"Maintenance, Comfort, Accessibility, General","old (27), good (18), far (9), welcoming (9), pleasant (9), great (9), modern (9), fantastic (9), amazing (3)",5
Bexley,Ladbrokes,Point Of Interest,51.456872,0.1419555,3.0,0.4619700064261754,0.25,0.75,0.0,Aesthetics,"lovely (6), safe (6), tidy (3)",6
Bexley,Ladbrokes,Point Of Interest,51.4659336,0.1457313,3.6,0.6030797561009725,0.5,0.0,0.5,General,excellent (9),5
