Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Bromley,Martins Hill Open Space,Park,51.40504000000001,0.009833000000000001,4.5,0.5111817638079326,0.13333333333333333,0.7333333333333333,0.13333333333333333,"Safety, Noise, Cleanliness, Atmosphere, Maintenance, Aesthetics, General","lovely (24), beautiful (18), tidy (12), rubbish (9), maintained (9), quiet (9), good (9), clean (9), safe (9), parking (6), relaxing (3), walking (3)",36
Bromley,Queens Gardens,Park,51.4044,0.017935,4.4,0.6439156254132589,0.0,0.06666666666666667,0.9333333333333333,"Accessibility, Noise, Atmosphere, Aesthetics, Traffic, General","safe (18), peaceful (12), beautiful (12), parking (9), busy (9), central (9), pretty (9), lovely (9), good (9), tidy (6), walking (3), flow (3), relaxing (3), lively (2)",396
Bromley,College Green,Park,51.4081578,0.0133303,4.3,0.5411529203255971,0.13333333333333333,0.6666666666666666,0.2,"Safety, Noise, Atmosphere, Maintenance, Traffic, Aesthetics, General","lovely (21), good (18), calm (9), relaxing (9), safe (9), modern (9), walking (6), quiet (3), parking (3)",49
Bromley,Queensmead Recreation Ground,Park,51.40403000000001,0.00692,4.4,0.6088012595971425,0.0,0.4,0.6,"Maintenance, Traffic, Aesthetics, General","walking (21), good (18), safe (15), parking (12), beautiful (9), old (9), plain (9), great (9), tidy (3), messy (3), dark (3), dead (3)",325
Bromley,Widmore Recreation Ground,Park,51.40465080000001,0.03387400000000001,4.1,0.5969083607196808,0.0,0.3333333333333333,0.6666666666666666,"Safety, Comfort, Maintenance, Aesthetics, General","pleasant (18), parking (15), safe (12), updated (9), great (9), pretty (9), old (3)",63
Bromley,Kingswood Glen,Park,51.39572099999999,2.2e-05,4.3,0.614153383175532,0.06666666666666667,0.5333333333333333,0.4,"Accessibility, Comfort, Cleanliness, Maintenance, Aesthetics, Traffic","walking (12), beautiful (9), accessible (9), maintained (9), pleasant (9), pedestrian (9), lovely (7), tidy (3), safe (2)",11
Bromley,King's Meadow,Park,51.419412,0.020362,4.4,0.7182910799980163,0.0,0.3333333333333333,0.6666666666666666,"Accessibility, Safety, Noise, Maintenance, Aesthetics, Traffic, General","parking (36), lovely (30), great (27), safe (12), new (9), beautiful (9), walking (9), near (9), pedestrian (9), music (3), tidy (3), noisy (3)",187
Bromley,Havelock Recreation Ground,Park,51.3971671,0.0324978,4.2,0.6767859975496928,0.0,0.2,0.8,"Noise, Comfort, Atmosphere, Aesthetics, General","great (18), peaceful (9), lovely (9), poor (9), wonderful (9), spacious (9), fantastic (9), tidy (3), walking (3), noisy (3), parking (3), safe (3)",97
Bromley,Halls Farm House Nursery,Park,51.418981,0.023572,4.0,0.563157339890798,0.3333333333333333,0.4666666666666667,0.2,"Noise, General, Atmosphere, Safety","great (18), loud (9), music (9), police (9), safe (9), terrible (9), calm (1)",10
Bromley,Shaftesbury Park,Park,51.420875,0.009771000000000002,4.2,0.7244427680969239,0.0,0.2,0.8,"Maintenance, Cleanliness, General","great (18), amazing (9), parking (9), good (9), clean (9), old (3), safe (3), tidy (3), lovely (1)",202
