Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Croydon,Ruskin Square,Park,51.37692990000001,-0.1036916,4.2,0.596562401453654,0.0,0.4666666666666667,0.5333333333333333,"Safety, Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Traffic, General","good (18), clean (9), quiet (9), busy (9), pleasant (9), security (9), amazing (9), roomy (3)",102
Croydon,Exchange Square,Park,51.3722583,-0.1018307,3.6,0.6323513170083364,0.0,0.3333333333333333,0.6666666666666666,"Noise, Cleanliness, Atmosphere, Maintenance, Aesthetics, General","old (18), quiet (9), vibrant (9), amazing (9), good (9), empty (9), great (6), clean (6), wonderful (6), stunning (6), safe (3), fantastic (3)",16
Croydon,King George's Field,Park,51.38692289999999,-0.09012589999999998,3.8,0.644398566087087,0.0,0.4666666666666667,0.5333333333333333,"General, Maintenance, Aesthetics, Safety","parking (30), safe (18), lovely (9), perfect (9), great (9), new (9), old (3), walking (3), messy (3)",83
Croydon,Dartnell Road Wayside Amenity Area,Park,51.3848058,-0.08147839999999999,4.3,0.5095065757632256,0.25,0.5,0.25,"Maintenance, Traffic, Aesthetics","lovely (12), safe (9), flow (6), renovated (6), parking (3)",25
Croydon,Nu-Look LTD,Laundry,51.3620836,-0.0946264,4.7,0.788183597723643,0.0,0.2,0.8,"Cleanliness, General","great (18), good (12), clean (12), amazing (9), safe (3), lovely (3)",12
Croydon,Bensham Manor Allotments,Park,51.3917306,-0.1007783,4.7,0.5907401839892069,0.0,0.6,0.4,General,"great (27), amazing (9), safe (6), noisy (3), relaxing (3)",44
Croydon,Wandle Park,Park,51.3747017,-0.111377,4.2,0.5128836035728455,0.2,0.4,0.4,"Accessibility, Comfort, Cleanliness, Atmosphere, Aesthetics, General","parking (24), good (18), great (18), clean (15), beautiful (9), vibrant (9), perfect (9), pretty (9), spacious (9), walking (3), safe (3), convenient (3), tidy (3), noisy (3)",2383
Croydon,Whitehorse Road Recreation Ground,Park,51.3896941,-0.0961698,3.7,0.5472817222277323,0.0,0.7333333333333333,0.26666666666666666,"Safety, Atmosphere, Maintenance, Aesthetics, Traffic, General","empty (18), new (18), parking (18), safe (12), noisy (12), lovely (9), busy (9), dangerous (9), good (9), improved (9), tidy (3), lively (3), walking (3), messy (3)",137
Croydon,Queen's Gardens,Park,51.3720487,-0.09757120000000001,3.8,0.6012427091598511,0.3333333333333333,0.13333333333333333,0.5333333333333333,"Comfort, Cleanliness, Maintenance, Aesthetics, General","great (18), parking (9), lovely (9), maintained (9), modern (9), pleasant (9), bad (9), good (6), safe (6), tidy (3), cars (3)",653
Croydon,Park Hill Park,Park,51.3691292,-0.09176010000000001,4.5,0.5926086843013764,0.0,0.6,0.4,"Safety, Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","parking (69), safe (33), old (18), quiet (9), pedestrian (9), serene (9), maintained (9), enjoyable (9), modern (9), peaceful (9), welcoming (9), vibrant (9), lovely (9), great (9), beautiful (6), tidy (6), noisy (3), walking (3)",1516
