Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Ealing,Ealing Common,Park,51.5103027,-0.2938762,4.3,0.6506136536598206,0.2,0.4,0.4,"Noise, Atmosphere, Maintenance, Aesthetics, Traffic, General","beautiful (24), walking (18), good (18), parking (9), quiet (9), old (9), perfect (9), safe (6), noisy (3), relaxing (3), messy (3), great (3)",1771
Ealing,Drayton Green,Park,51.5152675,-0.3267999,4.2,0.5990840633710225,0.0,0.6,0.4,"Maintenance, Cleanliness, Traffic, General","good (18), parking (15), maintained (9), old (9), great (9), walking (9), clean (6), tidy (3), poor (3), safe (3)",213
Ealing,Ealing Green,Park,51.5109402,-0.3058258,4.4,0.5641984721024831,0.2,0.5333333333333333,0.26666666666666666,"Accessibility, Noise, Cleanliness, Atmosphere, Traffic, General","walking (18), far (18), good (12), busy (12), parking (12), great (9), safe (9), music (9), clean (9), tidy (9), noisy (6), near (3), lovely (3), cars (3), bikes (3), easy (3)",120
Ealing,Northfield Allotments,Park,51.50785370000001,-0.3190584000000001,4.6,0.577250216404597,0.2,0.2,0.6,"Noise, Atmosphere, Maintenance, Traffic, Aesthetics, General","great (9), busy (9), peaceful (9), lovely (6), wonderful (6), beautiful (3), messy (3), safe (3), dangerous (3), fantastic (3)",71
Ealing,Copley Wood,Park,51.5202316,-0.329531,4.0,0.48903082609176635,0.2,0.8,0.0,"Aesthetics, Maintenance, Cleanliness, Traffic","dirty (9), maintained (9), lovely (9), flow (3), parking (3)",13
Ealing,Framfield Allotments,Park,51.51622059999999,-0.33388,4.5,0.5776627679665883,0.13333333333333333,0.6,0.26666666666666666,"Noise, Atmosphere, Traffic, General","peaceful (9), good (9), lovely (6), flow (3), amazing (3)",22
Ealing,Walpole Park,Park,51.5092692,-0.3097607,4.6,0.6654897610346476,0.0,0.2,0.8,"Accessibility, Atmosphere, Traffic, Aesthetics, General","lovely (27), parking (24), charming (18), serene (9), busy (9), great (9), walking (9), near (3), safe (3)",3874
Ealing,Lammas Park,Park,51.50368389999999,-0.3117071999999999,4.5,0.6131852746009827,0.06666666666666667,0.4,0.5333333333333333,"Safety, Maintenance, Aesthetics, Traffic, General","great (36), parking (24), worst (9), lovely (9), new (9), good (9), beautiful (9), dangerous (6), safe (6), walking (3), noisy (3)",1374
Ealing,Ealing Park,Park,51.5107547,-0.3078921000000001,4.7,0.0,0.0,0.0,0.0,,,3
Ealing,Longfield Walk,Park,51.5163363,-0.3094864,4.1,0.5225695744156837,0.0,1.0,0.0,Traffic,walking (15),7
Ealing,Tortoise Green,Park,51.51691899999999,-0.3088948999999999,4.4,0.5878679503997167,0.25,0.25,0.5,General,"wonderful (9), parking (3), lovely (3), relaxing (3)",20
Ealing,Haven Green,Park,51.5157454,-0.3038076,4.3,0.6252199292182923,0.0,0.4666666666666667,0.5333333333333333,"Safety, Comfort, Cleanliness, Atmosphere, Maintenance, Traffic, Aesthetics, General","busy (18), clean (15), lovely (9), pretty (9), tidy (9), spacious (9), maintained (9), security (9), good (9), walking (7), safe (6), parking (6), new (3), noisy (3)",125
Ealing,Lammas Enclosure Forest School,Park,51.506745,-0.3090579,4.1,0.5570636515816053,0.25,0.5,0.25,"Aesthetics, General","worst (9), lovely (9), parking (3), good (3), safe (3)",8
Ealing,Dean Gardens,Park,51.5102048,-0.320419,3.9,0.5471482912699381,0.0,0.6666666666666666,0.3333333333333333,"Safety, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","busy (18), safe (12), old (9), unsafe (9), lovely (9), tidy (9), maintained (9), great (9), parking (6), poor (3)",212
Ealing,I Like Growing,Park,51.5181293,-0.3183228,5.0,0.0,0.0,0.0,0.0,,,1
Ealing,The Bowery Gardens,Park,51.509063,-0.3203879,5.0,0.43300044536590576,0.0,1.0,0.0,,,2
Ealing,Lammas Park Play Centre Tippitoes Ealing,Park,51.5043835,-0.3118078,4.4,0.5712893942991892,0.0,0.5333333333333333,0.4666666666666667,"Accessibility, Cleanliness, Maintenance, Aesthetics, General","great (18), lovely (15), tidy (15), messy (15), safe (12), dirty (9), filthy (9), isolated (9), good (9), clean (3), dark (3), dead (3), flow (3), far (3)",99
Ealing,Chapel,Church,51.51135739999999,-0.3317137999999999,5.0,0.6490926742553711,0.0,0.0,1.0,Aesthetics,beautiful (9),3
Ealing,University of West London,University,51.5065331,-0.3039291,4.0,0.5828684608141581,0.3333333333333333,0.26666666666666666,0.4,"Accessibility, Noise, Cleanliness, Atmosphere, Aesthetics, Traffic, General","walking (21), safe (15), near (12), messy (9), clean (9), perfect (9), vibrant (9), lovely (6), good (3), parking (3), busy (3), noisy (3), tidy (3)",526
Ealing,Ealing Broadway,Shopping Mall,51.512981,-0.303368,4.3,0.6018366535504659,0.0,0.4666666666666667,0.5333333333333333,"Noise, Maintenance, General","good (18), music (9), upgraded (9), dark (3), dead (3), walking (3), neat (3), near (3), new (3), cars (3), parking (3)",15238
Ealing,MetFilm School London,University,51.5090117,-0.3069886000000001,3.5,0.6040458679199219,0.0,0.4666666666666667,0.5333333333333333,"Accessibility, Noise, Atmosphere, Maintenance, Aesthetics, General","tidy (42), poor (39), safe (27), good (21), noisy (18), awful (18), far (9), accessible (9), disappointing (9), great (9), worst (9), messy (6), soundproof (3), lovely (1)",34
