Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Hackney,Victoria Park,Park,51.53679759999999,-0.03863539999999999,4.7,0.6864513278007507,0.0,0.4,0.6,"Accessibility, Noise, Atmosphere, Traffic, Aesthetics, General","beautiful (27), parking (26), good (18), safe (12), fantastic (12), lovely (9), walking (9), charming (9), easy (9), relaxing (9), perfect (9), pretty (9), busy (9), amazing (9), wonderful (6), quiet (6), lively (3), ugly (3)",15989
Hackney,Haggerston Park,Park,51.5327588,-0.0669747,4.5,0.672137971719106,0.0,0.3333333333333333,0.6666666666666666,"Accessibility, Cleanliness, Atmosphere, Aesthetics, General","far (15), safe (15), parking (12), lovely (9), good (9), great (9), beautiful (9), gorgeous (9), clean (9), perfect (7), relaxing (3), near (3)",2617
Hackney,Hackney Downs Park,Park,51.5539679,-0.06234670000000001,4.4,0.6493772248427073,0.0,0.4,0.6,"Accessibility, Noise, Cleanliness, Atmosphere, Aesthetics, Traffic, General","lovely (33), parking (22), busy (18), safe (15), great (9), tidy (9), fantastic (9), quiet (9), beautiful (3), near (3), good (3), walking (3)",2233
Hackney,St Barnabas Church,Church,51.5488418,-0.042587,4.3,0.5953295767307282,0.06666666666666667,0.5333333333333333,0.4,"Accessibility, Comfort, Atmosphere, Maintenance, Traffic, Aesthetics, General","lovely (18), old (18), good (15), safe (12), welcoming (9), busy (9), difficult (9), remote (9), messy (9), uncomfortable (9), tidy (3)",35
Hackney,Clapton Square garden,Park,51.55102240000001,-0.0539623,4.1,0.5877963145573933,0.3333333333333333,0.26666666666666666,0.4,"Accessibility, Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","pleasant (21), parking (15), safe (9), scenic (9), beautiful (9), walking (9), appealing (9), maintained (9), good (9), lovely (6), flow (6), amazing (6), quiet (3), near (3)",267
Hackney,St. John at Hackney Churchyard Gardens,Park,51.5494006,-0.0534872,4.5,0.6663245697816212,0.0,0.2,0.8,"Comfort, Cleanliness, Maintenance, Aesthetics, General","amazing (24), great (18), beautiful (18), old (12), good (9), clean (6), welcoming (6), wonderful (3), safe (3), roomy (3), busy (3), lovely (3)",435
Hackney,Stonebridge Gardens,Park,51.5392282,-0.07479129999999999,4.3,0.5705295840899149,0.0,0.5333333333333333,0.4666666666666667,"Atmosphere, Maintenance, Traffic, Aesthetics, General","lovely (36), parking (24), safe (12), great (9), old (9), busy (9), tidy (3), relaxing (3)",316
Hackney,Old English Garden at Victoria Park,Park,51.5398142,-0.0354299,4.5,0.763220473130544,0.0,0.0,1.0,"Noise, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","beautiful (39), old (27), safe (21), parking (18), broken (9), quiet (9), attractive (9), perfect (9), calm (9), peaceful (9), clean (9), stunning (9), good (6), flow (6), relaxing (3), messy (3), active (3), walking (3), lovely (1)",78
Hackney,Haggerston Park BMX Track,Park,51.5326019,-0.0660789,4.6,0.5439041753609976,0.06666666666666667,0.7333333333333333,0.2,"Cleanliness, Atmosphere, Maintenance, Aesthetics, General","good (24), maintained (9), pretty (9), crowded (9), great (6), parking (3)",99
Hackney,Victoria Park Raemers Skatepark,Park,51.5381364,-0.03488339999999999,4.6,0.6278805991013845,0.0,0.4,0.6,"Noise, Traffic, Atmosphere, General","great (30), busy (27), good (21), quiet (18), parking (15), safe (9), empty (9), tidy (6), lovely (3)",219
