Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Hammersmith and Fulham,Brook Green,Park,51.496182,-0.2198333,4.4,0.5816459496815999,0.0,0.5333333333333333,0.4666666666666667,"Accessibility, Safety, Noise, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","lovely (24), pretty (18), relaxing (18), quiet (18), busy (18), safe (18), good (12), perfect (10), modern (9), new (9), easy (9), clean (9), amazing (6), parking (6), tidy (3), near (3), lively (3)",386
Hammersmith and Fulham,WWT London Wetland Centre,Tourist Attraction,51.476141,-0.234665,4.6,0.7301328698794047,0.0,0.06666666666666667,0.9333333333333333,"Noise, Maintenance, Traffic, Aesthetics, General","great (45), good (30), shouting (18), lovely (18), walking (12), dark (9), dead (9), parking (9), excellent (9), beautiful (9), pretty (9), new (9), tidy (6), modern (3), messy (3)",3405
Hammersmith and Fulham,Ravenscourt Park,Park,51.49668680000001,-0.2389906,4.5,0.5896097540855407,0.0,0.4666666666666667,0.5333333333333333,"Noise, Comfort, Atmosphere, Aesthetics, Traffic, General","good (15), parking (13), busy (9), spacious (9), amazing (9), lovely (9), peaceful (9), great (9), crowded (9), hectic (9), walking (3), relaxing (3), dark (3), dead (3)",3891
Hammersmith and Fulham,Upper Mall Open Space,Park,51.49020840000001,-0.2407623,4.6,0.5803489863872529,0.0,0.5333333333333333,0.4666666666666667,"Accessibility, Noise, Atmosphere, Maintenance, Aesthetics, General","good (21), beautiful (18), peaceful (9), wonderful (9), crowded (9), excellent (9), old (9), great (9), walking (3), parking (3), lighting (3), near (3)",57
Hammersmith and Fulham,Furnivall Gardens,Park,51.4906345,-0.2325792,4.5,0.5664581596851349,0.13333333333333333,0.5333333333333333,0.3333333333333333,"Accessibility, Cleanliness, Maintenance, Aesthetics, General","lovely (24), good (21), great (18), maintained (9), accessible (9), parking (6), near (3), amazing (3), safe (3)",1011
Hammersmith and Fulham,KRGARDENDESIGN,Park,51.4993299,-0.2412937,3.8,0.9195322791735331,0.0,0.0,1.0,"Maintenance, Cleanliness, Aesthetics, General","beautiful (18), spotless (9), lovely (9), great (9), new (9), amazing (9), perfect (7), jammed (3)",4
Hammersmith and Fulham,Godolphin Community Gardens,Park,51.5037564,-0.2322576,4.2,0.4707811733086904,0.2,0.8,0.0,"Safety, Atmosphere, Maintenance, Aesthetics, Traffic, General","safe (21), new (18), good (15), relaxing (9), lovely (9), police (9), flow (3), tidy (3), updated (3), noisy (3), messy (3)",57
Hammersmith and Fulham,The London Tree Company Ltd,Park,51.49046209999999,-0.2539245999999999,4.3,0.6541126668453217,0.0,0.4,0.6,"Safety, Cleanliness, Atmosphere, Maintenance, General","good (18), safe (15), security (9), active (9), new (9), messy (3), risky (3), cozy (3), clean (3), noisy (3)",6
Hammersmith and Fulham,Peacock Tower,Park,51.4786493,-0.229184,4.5,0.7314899881680806,0.0,0.3333333333333333,0.6666666666666666,"Maintenance, Cleanliness, Aesthetics, General","great (27), beautiful (12), clean (9), excellent (9), good (9), wonderful (9), modern (9), safe (6), lovely (3), tidy (3)",35
Hammersmith and Fulham,Suffolk Road Recreation Ground,Park,51.4794085,-0.2465316,4.5,0.6717510501543681,0.0,0.2,0.8,"Maintenance, Traffic, General","great (27), safe (9), wonderful (9), parking (9), good (9), old (3), noisy (3), walking (3)",86
Hammersmith and Fulham,Chiswick Eyot,Park,51.4873237,-0.2461663,4.3,0.5142886569102605,0.2,0.6,0.2,"Accessibility, Safety, Noise, Cleanliness, Atmosphere, Maintenance, General","muddy (18), old (18), walking (12), tidy (12), wonderful (9), amazing (9), bad (9), peaceful (9), relaxing (9), good (9), dangerous (9), safe (3), noisy (3), maintained (3), near (3)",55
