Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Harrow,Lowlands Recreation Ground,Park,51.5783917,-0.3369302,4.2,0.5157910962899526,0.4,0.2,0.4,"Cleanliness, Atmosphere, Maintenance, Aesthetics, General","maintained (9), relaxing (9), beautiful (9), old (9), safe (6), parking (6), clean (6), wonderful (6), walking (3), fantastic (3), lovely (1)",120
Harrow,Safarihub,Park,51.579925,-0.3347309999999999,5.0,0.696958476305008,0.0,0.26666666666666666,0.7333333333333333,"Maintenance, Aesthetics, Accessibility, General","amazing (27), good (12), beautiful (9), difficult (9), fantastic (9), wonderful (9), great (9), noisy (6), tidy (3), safe (3)",16
Harrow,Harrow Recreation Park,Park,51.5860926,-0.3462219,4.6,0.7138930559158325,0.0,0.26666666666666666,0.7333333333333333,"Cleanliness, Maintenance, Traffic, Aesthetics, General","good (45), great (27), walking (18), beautiful (18), lovely (12), parking (9), amazing (9), scenic (9), maintained (9), perfect (7), safe (3)",521
Harrow,Harrow Recreation Ground,Park,51.5834337,-0.3439108,4.5,0.6649315218130748,0.0,0.4,0.6,"Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Traffic, General","fantastic (18), parking (18), clean (18), walking (12), modern (9), safe (9), peaceful (9), wonderful (9), maintained (9), serene (9), perfect (9), enjoyable (9), great (9), cyclists (9), amazing (6), noisy (3)",1055
Harrow,Churchfields Open Space,Park,51.5746571,-0.3410043,4.7,0.5980891505877177,0.0,0.6,0.4,"Noise, Atmosphere, Aesthetics, General","great (18), lovely (12), good (9), quiet (9), scenic (9), stunning (6), noisy (3), safe (3), parking (2), dark (1), dead (1)",149
Harrow,Harrow Fireworks Display,Park,51.5940917,-0.3273757999999999,3.7,0.683140387137731,0.2,0.2,0.6,"Noise, Cleanliness, Accessibility, General","good (27), terrible (27), great (18), music (9), near (9), tidy (9), amazing (9), safe (9), muddy (9), central (9), noisy (6), parking (3)",178
Harrow,Kenton Recreation Ground,Park,51.5874224,-0.3190676,4.4,0.6214486082394918,0.0,0.6,0.4,"Aesthetics, Cleanliness, Traffic, General","good (18), parking (12), bikes (9), clean (9), walking (8), lovely (6), neat (3), near (3), new (3), cars (3), relaxing (3), amazing (3), upgraded (2)",868
Harrow,Byron Recreation Ground,Park,51.59401629999999,-0.3292974,3.9,0.5828771352767944,0.0,0.6666666666666666,0.3333333333333333,"Safety, Comfort, Cleanliness, Atmosphere, Maintenance, Aesthetics, General","lovely (26), parking (21), old (18), great (18), safe (12), beautiful (9), damaged (9), poor (9), uncomfortable (9), enjoyable (9), dirty (9), rubbish (9), empty (9), amazing (6), tidy (3)",119
Harrow,Byron Park,Park,51.5942955,-0.3261192000000001,4.2,0.6917496681213379,0.0,0.06666666666666667,0.9333333333333333,"Accessibility, Noise, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","parking (54), good (21), lovely (21), rubbish (18), safe (18), maintained (18), far (9), beautiful (9), loud (9), muddy (9), great (9), empty (9), cars (6), quiet (6), improved (3), clean (3), noisy (3), walking (3), crowded (3), messy (2)",145
Harrow,Harrow Pump Track,Park,51.58674850000001,-0.3226594,4.7,0.4568172454833984,0.2,0.8,0.0,"Traffic, General","bikes (9), great (9), walking (3), safe (3)",227
Harrow,Whitefriars Open Space,Park,51.59834730000001,-0.3417408,4.3,0.5851906875769297,0.0,0.6666666666666666,0.3333333333333333,"Cleanliness, General","good (27), wonderful (9), clean (6), noisy (3)",15
Harrow,Blue Nest Montessori School,Park,51.5890341,-0.3524061000000001,4.9,0.9069088021914165,0.0,0.0,1.0,"Safety, Comfort, Cleanliness, Maintenance, General","amazing (45), welcoming (18), updated (18), safe (15), wonderful (12), lovely (9), inviting (9), perfect (9), clean (9), tidy (6), fantastic (6), cars (3), parking (3), messy (3)",22
