Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Havering,Romford Smallholders Society,Park,51.5774736,0.1654239,4.9,0.6176453034083048,0.13333333333333333,0.4666666666666667,0.4,"Traffic, Aesthetics, General","beautiful (9), great (9), lovely (9), good (9), amazing (9), flow (3)",10
Havering,Raphael Park,Park,51.5864087,0.1920891,4.7,0.6327212313810985,0.0,0.6,0.4,"Accessibility, Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","parking (41), lovely (27), maintained (18), beautiful (18), perfect (16), great (15), near (15), relaxing (13), walking (12), quiet (9), accessible (9), wonderful (9), clean (9), inviting (9), pretty (9), fantastic (6), good (3), safe (3), tidy (3), cars (3)",3186
Havering,Lodge Farm Park,Park,51.58157610000001,0.1918168,4.5,0.6290766994158427,0.0,0.4,0.6,"Noise, Comfort, Cleanliness, Atmosphere, Traffic, Aesthetics, General","parking (36), safe (15), walking (12), loud (12), clean (9), quiet (9), good (9), relaxing (9), lovely (9), noisy (9), cars (3), pleasant (3)",632
Havering,Cottons Park,Park,51.5761227,0.1730468,4.3,0.5540755768616994,0.06666666666666667,0.7333333333333333,0.2,"Accessibility, Atmosphere, Traffic, Aesthetics, General","parking (26), lovely (15), perfect (12), pretty (9), safe (9), near (9), bad (9), great (9), relaxing (9), messy (6), cars (6), neat (3), new (3), busy (3), lighting (3), walking (3)",488
Havering,Jubilee Park,Park,51.5713932,0.1776853,4.5,0.6790178219477335,0.0,0.4,0.6,"Safety, Noise, Cleanliness, Atmosphere, Maintenance, Aesthetics, General","parking (18), pretty (18), great (18), old (12), beautiful (9), quiet (9), clean (9), dangerous (9), worst (9), modern (9), lovely (9), walking (3), noisy (3), poor (3), messy (3), good (3)",37
Havering,Wildflower Meadow at Jubilee Park,Zoo,51.5711161,0.1772685,5.0,0.6542426943778992,0.0,0.0,1.0,"Traffic, Atmosphere","busy (9), crowded (9), parking (3), relaxing (3)",1
Havering,King George's Playing Fields - Romford,Park,51.5843741,0.1664971,4.3,0.6582016944885254,0.0,0.2,0.8,"Aesthetics, Cleanliness, Traffic, General","parking (33), walking (21), great (9), good (9), clean (9), beautiful (6), lovely (3), safe (3), cars (3)",45
Havering,ESCOBARBER,Park,51.58066840000001,0.1650037,5.0,0.7970589333110385,0.0,0.2222222222222222,0.7777777777777778,Aesthetics,lovely (3),4
Havering,Oldchurch Park,Park,51.567623,0.177896,3.9,0.6202527383963267,0.0,0.6,0.4,"Accessibility, Cleanliness, Atmosphere, Maintenance, Traffic, General","safe (24), walking (21), wonderful (15), parking (15), dirty (9), great (9), good (9), crowded (9), clean (9), near (9), maintained (6), tidy (3), fantastic (3)",55
Havering,Hylands Park,Park,51.5710388,0.2005955,4.5,0.5871577898661295,0.0,0.5333333333333333,0.4666666666666667,"Safety, Cleanliness, Atmosphere, Maintenance, Traffic, Aesthetics, General","walking (30), safe (27), good (21), parking (18), great (18), lovely (15), beautiful (15), maintained (9), busy (9), perfect (9), neat (9), clean (9), relaxing (9), attractive (9), updated (3)",545
