Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Hounslow,Cultivate London @The Salopian Garden,Park,51.4721669,-0.3482291,4.9,0.5901837368806203,0.0,0.8,0.2,"Accessibility, Noise, Atmosphere, Aesthetics, General","accessible (18), empty (18), peaceful (9), safe (9), calm (9), great (9), beautiful (9), central (3), good (3)",20
Hounslow,Inwood Park,Park,51.4675085,-0.3551723,4.2,0.6271051545937856,0.0,0.4,0.6,"Cleanliness, Atmosphere, Maintenance, Traffic, Aesthetics, General","parking (36), good (18), lovely (9), beautiful (9), crowded (9), safe (9), maintained (9), great (9), walking (6), flow (3), relaxing (3)",864
Hounslow,Lampton Park,Park,51.4743491,-0.3725932,4.4,0.6708683669567108,0.0,0.2,0.8,"Accessibility, Noise, Comfort, Cleanliness, Atmosphere, Aesthetics, Traffic, General","good (30), walking (30), parking (27), excellent (18), safe (15), fantastic (15), pleasant (9), lovely (9), relaxing (9), busy (9), congested (9), near (9), quiet (9), beautiful (9), clean (9), noisy (3)",1298
Hounslow,Park,Park,51.4734868,-0.3686534,4.2,0.5432438751061758,0.0,0.8,0.2,"Accessibility, Noise, Cleanliness, Atmosphere, Aesthetics, Traffic, General","crowded (18), lovely (18), parking (12), walking (9), quiet (9), good (9), clean (9), safe (6), busy (6), bad (3), near (3)",77
Hounslow,Wellington Park,Park,51.4736468,-0.3773348,3.0,0.39448031783103943,1.0,0.0,0.0,"Maintenance, Accessibility","broken (9), parking (3), lively (3), near (3)",1
Hounslow,Sutton Square Park,Park,51.479015,-0.3762787,5.0,0.6234186490376791,0.0,0.0,1.0,"Comfort, Traffic","pleasant (18), walking (7), noisy (3)",1
Hounslow,Sutton Playing Field,Park,51.4799178,-0.376726,4.2,0.613657546043396,0.0,0.6,0.4,"Accessibility, Safety, Cleanliness, Atmosphere, Traffic, Aesthetics, General","good (27), parking (18), empty (9), near (9), dangerous (9), scenic (9), safe (6), noisy (3), tidy (3)",56
Hounslow,Kingsley Avenue Park,Park,51.4739868,-0.3557182,4.5,0.492983877658844,0.0,1.0,0.0,"Noise, Atmosphere","peaceful (9), safe (3)",2
Hounslow,Heston Park,Park,51.486769,-0.3779082,4.3,0.559074072043101,0.0,0.8666666666666667,0.13333333333333333,"Accessibility, Cleanliness, Atmosphere, Traffic, Aesthetics, General","parking (27), great (18), clean (15), walking (12), safe (9), calm (9), serene (9), beautiful (9), relaxing (3), near (3)",896
Hounslow,Beaversfield Park,Park,51.47153340000001,-0.3888462,4.2,0.6522684593995413,0.0,0.4,0.6,"Comfort, Aesthetics, Safety, General","beautiful (18), safe (15), good (12), perfect (9), walking (9), scenic (9), unsafe (9), spacious (6), parking (3), lovely (3)",338
