Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Kensington and Chelsea,Kensington Gardens,Park,51.506987,-0.179165,4.7,0.6864095131556193,0.0,0.2,0.8,"Safety, Noise, Cleanliness, Atmosphere, Aesthetics, Traffic, General","safe (30), perfect (27), relaxing (24), walking (21), peaceful (18), calm (18), busy (18), quiet (18), beautiful (18), parking (15), crowded (9), clean (9), fantastic (9), great (9), lovely (6), bikes (6), tidy (3), flow (3)",28981
Kensington and Chelsea,Hyde Park,Park,51.5073638,-0.1641135,4.7,0.6682525078455607,0.0,0.4,0.6,"Noise, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","parking (32), beautiful (27), walking (25), safe (24), busy (18), quiet (18), perfect (18), great (18), lovely (13), flow (12), calm (12), relaxing (12), amazing (9), peaceful (9), wonderful (9), maintained (9), crowded (9), bikes (6), tidy (6), vehicle (5), messy (3)",135087
Kensington and Chelsea,Holland Park,Park,51.50322519999999,-0.2036668,4.7,0.6219105422496796,0.0,0.6,0.4,"Noise, Cleanliness, Atmosphere, Aesthetics, Traffic, General","beautiful (36), parking (30), great (27), busy (18), lovely (18), relaxing (15), safe (12), perfect (9), serene (9), vibrant (9), charming (9), crowded (9), quiet (9), pretty (9), neat (9), clean (9), walking (4), easy (3)",15101
Kensington and Chelsea,Kyoto Garden,Tourist Attraction,51.50299219999999,-0.2046902,4.7,0.6084401428699493,0.06666666666666667,0.5333333333333333,0.4,"Accessibility, Noise, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","beautiful (39), tidy (18), busy (18), serene (18), maintained (18), great (18), parking (15), peaceful (12), near (9), loud (9), amazing (9), vibrant (9), quiet (9), perfect (9), charming (9), calm (9), scenic (9), safe (6), good (3), clean (3), shouting (3), messy (3), lighting (3)",12227
Kensington and Chelsea,"Diana, Princess of Wales Memorial Fountain",Tourist Attraction,51.50495369999999,-0.1717011,4.5,0.6729570070902506,0.06666666666666667,0.13333333333333333,0.8,"Noise, Atmosphere, Aesthetics, Traffic, General","tidy (12), good (9), safe (9), flow (9), lovely (9), peaceful (9), great (9), parking (6), wonderful (6), fantastic (3)",10253
Kensington and Chelsea,Prince's Gardens,Park,51.49944170000001,-0.1728657,4.4,0.5371326645215352,0.06666666666666667,0.7333333333333333,0.2,"Noise, Comfort, Cleanliness, Atmosphere, Aesthetics, General","good (27), great (18), quiet (12), empty (9), clean (9), uncomfortable (9), beautiful (9), lovely (9), parking (6), tidy (3), walking (3), safe (3)",118
Kensington and Chelsea,Nature Discovery Garden,Tourist Attraction,51.4960952,-0.1784845,4.7,0.5462216436862946,0.2,0.4,0.4,"Aesthetics, Maintenance, Atmosphere, General","beautiful (18), good (12), great (9), crowded (9), lovely (9), new (3), relaxing (3), messy (3), parking (1)",157
Kensington and Chelsea,Lexham Gardens,Park,51.49610740000001,-0.1903148,4.5,0.5712685128053029,0.06666666666666667,0.3333333333333333,0.6,"Accessibility, Comfort, Maintenance, Traffic, Aesthetics","parking (18), beautiful (9), near (9), old (9), comfortable (9), charming (9), noisy (6), lovely (6), repaired (3), walking (3), tidy (3), lively (3)",61
Kensington and Chelsea,Italian Gardens,Tourist Attraction,51.51072710000001,-0.1755901,4.7,0.623522404829661,0.0,0.5333333333333333,0.4666666666666667,"Accessibility, Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","quiet (45), peaceful (39), beautiful (30), perfect (18), near (15), parking (12), safe (12), elegant (9), central (9), calm (9), charming (9), maintained (9), crowded (9), lovely (9), easy (9), cozy (9), music (9), flow (6), walking (6), neat (3), relaxing (3), tidy (3), lively (3)",3250
Kensington and Chelsea,Thurloe Square Gardens,Park,51.4945658,-0.1716936,3.6,0.5550469120343526,0.4,0.2,0.4,"Maintenance, Aesthetics, General","tidy (27), beautiful (18), parking (15), safe (12), poor (9), modern (9), good (9), walking (3)",52
