Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Kingston upon Thames,Kingston Road Recreation Ground,Park,51.4039241,-0.2782662,4.1,0.6000571211179098,0.0,0.6666666666666666,0.3333333333333333,"Safety, Noise, Cleanliness, Maintenance, Aesthetics, Traffic, General","lovely (27), new (21), safe (15), parking (12), walking (9), maintained (9), music (9), amazing (9), neglected (9), great (9), noisy (9), good (9)",121
Kingston upon Thames,Hogsmill Community Garden,Park,51.4055904,-0.2966389,4.7,0.6804640789826711,0.0,0.2,0.8,"Accessibility, Noise, Comfort, Atmosphere, Aesthetics, Traffic","lovely (27), peaceful (18), beautiful (18), welcoming (18), flow (3), noisy (3), near (3)",26
Kingston upon Thames,Green Lane Recreation Ground,Park,51.3988177,-0.2749329,4.3,0.4995718578497569,0.0,1.0,0.0,"Maintenance, Aesthetics, Accessibility, General","accessible (9), great (9), good (9), new (9), near (6), parking (6), walking (3), safe (3), lovely (3), noisy (3)",313
Kingston upon Thames,Latchmere Recreation Ground,Park,51.42369799999999,-0.295025,4.4,0.793821370601654,0.0,0.0,1.0,"Accessibility, Noise, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","good (45), lovely (18), maintained (18), busy (18), parking (12), convenient (9), old (9), perfect (9), traffic (9), great (9), relaxing (6), safe (3), dark (3), dead (3), tidy (3), muddy (3)",351
Kingston upon Thames,Daffodil Green,Park,51.4101739,-0.277012,4.4,0.5582393248875935,0.0,0.6,0.4,"Comfort, Atmosphere, Maintenance, Aesthetics, Traffic","busy (15), pleasant (9), new (9), lovely (9), beautiful (9), noisy (3), appealing (3), safe (3), flow (3)",20
Kingston upon Thames,Athelstan Recreation Ground,Park,51.40361410000001,-0.2935474000000001,3.9,0.583423826429579,0.0,0.4444444444444444,0.5555555555555556,General,"good (9), great (9), parking (6), amazing (6)",11
Kingston upon Thames,Your Veg Patch,Park,51.41522819999999,-0.2885695,5.0,0.6671538650989532,0.3333333333333333,0.0,0.6666666666666666,"Accessibility, General","easy (18), good (12), safe (9), amazing (9), messy (9)",3
Kingston upon Thames,Dickerage Recreation Ground,Park,51.4073929,-0.2748955000000001,5.0,0.5753929615020752,0.0,0.5,0.5,"Aesthetics, General","lovely (18), great (9), safe (3), walking (3)",2
Kingston upon Thames,Fairfield Recreation Ground,Park,51.40849889999999,-0.297883,4.4,0.5748983224232992,0.0,0.4,0.6,"Accessibility, Cleanliness, Maintenance, Traffic, Aesthetics, General","parking (24), good (18), safe (12), new (9), easy (9), clean (9), lovely (6), walking (6), near (3), flow (3)",389
Kingston upon Thames,Kingston Road Recreation Ground Nature Area,Park,51.402967,-0.2761987,5.0,0.4335018992424011,0.3333333333333333,0.6666666666666666,0.0,"Traffic, Aesthetics",lovely (9),2
Kingston upon Thames,Rose Walk Nature Reserve,Park,51.3982481,-0.2771986,4.6,0.5529244780540467,0.2,0.4666666666666667,0.3333333333333333,"Accessibility, Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Aesthetics, General","near (18), peaceful (15), walking (12), pleasant (9), accessible (9), lovely (9), good (9), safe (9), scenic (9), enjoyable (9), muddy (9), noisy (6), tidy (6), parking (3)",36
Kingston upon Thames,"Kingston Gate, Richmond Park",Park,51.42026,-0.2863868,4.7,0.565455957253774,0.0,0.6,0.4,"Accessibility, Cleanliness, Traffic, Aesthetics, General","walking (27), beautiful (18), parking (18), great (18), easy (9), convenient (9), perfect (9), clean (9), tidy (3), busy (3), cars (3)",260
