Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Lambeth,Brockwell Park,Park,51.45082000000001,-0.1076672,4.6,0.8007865667343139,0.0,0.0,1.0,"Accessibility, Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","music (36), beautiful (27), parking (24), maintained (18), walking (16), lovely (12), safe (12), spacious (9), tight (9), clean (9), perfect (9), great (9), peaceful (9), good (9), lively (8), amazing (6), roomy (3), far (3), tidy (3), relaxing (3)",8321
Lambeth,Stockwell Skate Park,Park,51.4660545,-0.1163401,4.5,0.6895065128803253,0.0,0.4,0.6,"Accessibility, Safety, Atmosphere, Maintenance, Traffic, General","good (30), safe (24), busy (18), new (9), near (9), lighting (9), perfect (9), parking (6), lovely (3), tidy (3), bikes (3)",308
Lambeth,Holmewood Gardens,Park,51.44646239999999,-0.1215253,4.2,0.6401572505633036,0.0,0.6,0.4,"Accessibility, Noise, Cleanliness, Atmosphere, Aesthetics, Traffic, General","busy (27), safe (24), lovely (18), good (18), muddy (9), quiet (9), parking (6), noisy (6), near (3), updated (3)",153
Lambeth,Slade Gardens Community Play Association,Park,51.471293,-0.116403,4.4,0.5481864591439565,0.3333333333333333,0.4666666666666667,0.2,"Comfort, Cleanliness, Maintenance, Aesthetics, General","great (18), good (18), welcoming (18), maintained (9), parking (9), beautiful (9), lovely (4), safe (3), noisy (3)",334
Lambeth,PatchWorks Gardens LTD.,Park,51.44887420000001,-0.1003718,5.0,0.6625122725963593,0.06666666666666667,0.3333333333333333,0.6,"Cleanliness, Aesthetics, Accessibility, General","great (63), easy (36), good (12), tidy (12), perfect (9), neglected (9), beautiful (9), difficult (9), pretty (9), fantastic (9), lovely (3)",9
Lambeth,Larkhall Park,Park,51.4733469,-0.1309632,4.2,0.5673167288303376,0.13333333333333333,0.4666666666666667,0.4,"Accessibility, Safety, Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Traffic, General","great (24), parking (21), safe (18), near (15), walking (12), tidy (12), easy (9), cyclists (9), peaceful (9), pleasant (9), busy (9), empty (9), good (9), new (9), far (9), poor (3)",958
Lambeth,Joy Garden,Park,51.45502459999999,-0.122485,5.0,0.0,0.0,0.0,0.0,,,1
Lambeth,Windmill Gardens,Park,51.45357019999999,-0.1237387,4.4,0.6672982295354207,0.0,0.4,0.6,"Noise, Comfort, Atmosphere, Maintenance, Aesthetics, General","lovely (18), great (18), quiet (15), modern (9), enjoyable (9), pretty (9), safe (3), parking (3), walking (3)",173
Lambeth,Brixton Orchard,Park,51.45913669999999,-0.1166224,4.6,0.7204554756482442,0.0,0.4,0.6,"Noise, Cleanliness, Atmosphere, Maintenance, Aesthetics, General","fantastic (18), safe (12), maintained (9), quiet (9), gorgeous (9), excellent (9), lovely (6), messy (6)",14
Lambeth,Kepler Park,Park,51.46150100000001,-0.1261975,5.0,0.0,0.0,0.0,0.0,,,1
