Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Lewisham,Riverview Walk & River Pool Linear Park,Park,51.4414977,-0.027035,4.5,0.6879309177398681,0.06666666666666667,0.13333333333333333,0.8,"Accessibility, Safety, Noise, Comfort, Atmosphere, Maintenance, Traffic, Aesthetics, General","walking (21), safe (18), cyclists (16), dark (12), lovely (12), uncomfortable (9), far (9), cars (9), traffic (9), pretty (9), peaceful (9), beautiful (9), relaxing (9), serene (9), wonderful (6), parking (6), old (3), messy (3), dead (3), good (3), near (3), noisy (3), flow (3), fantastic (3)",399
Lewisham,Hazelbank Road Allotments,Park,51.4373583,0.0034205,4.5,0.44422878623008727,0.2,0.8,0.0,"Aesthetics, General","good (18), wonderful (9), lovely (6)",21
Lewisham,Wild Cat Wilderness,Park,51.43676170000001,-0.0277696,4.8,0.7168400426705678,0.0,0.4,0.6,"Aesthetics, Safety, General","beautiful (18), lovely (15), messy (11), wonderful (9), fantastic (9), great (9), dangerous (9), excellent (9), amazing (6), damaged (3), protected (3), safe (3), tidy (3), good (3)",46
Lewisham,Peter Pan Park,Park,51.4267443,-0.0103984,3.5,0.5429777761300405,0.2,0.6,0.2,"Noise, Cleanliness, Atmosphere, Aesthetics, Traffic","dirty (9), rubbish (9), peaceful (9), pretty (9), ugly (9), busy (9), walking (7), lovely (6), parking (6), safe (3)",25
Lewisham,Mountsfield Park,Park,51.44741759999999,-0.009556499999999999,4.5,0.6502695679664612,0.0,0.26666666666666666,0.7333333333333333,"Noise, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","lovely (36), parking (29), amazing (18), safe (12), music (9), poor (9), maintained (9), great (9), walking (6), lively (5), quiet (3), tidy (3), relaxing (3)",1754
Lewisham,Blythe Hill Fields,Park,51.44710680000001,-0.0355627,4.6,0.655001684029897,0.0,0.06666666666666667,0.9333333333333333,"Noise, Atmosphere, Maintenance, Aesthetics, General","music (18), good (18), amazing (15), peaceful (9), stunning (9), great (9), lovely (9), new (9), beautiful (9), parking (6), safe (3), crowded (3), lively (3)",959
Lewisham,Lewisham Park,Park,51.4530209,-0.013251,4.3,0.6737603863080343,0.0,0.4,0.6,"Noise, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","lovely (42), beautiful (27), tidy (18), parking (15), safe (12), flow (9), quiet (9), gorgeous (9), good (9), excellent (9), great (9), wonderful (9), peaceful (3)",421
Lewisham,Culverley Green,Park,51.4414969,-0.0125806,5.0,0.6060128211975098,0.0,0.0,1.0,Maintenance,"new (9), improved (6)",2
Lewisham,Glendale Managed Services Ltd,Park,51.44691520000001,-0.006169200000000001,2.0,0.7945930113395056,0.0,0.16666666666666666,0.8333333333333334,"Maintenance, General","awful (9), terrible (9), new (9), amazing (6), noisy (3), damaged (3), messy (3)",4
Lewisham,Prendergast Playing Fields,Park,51.4343658,-0.0067927,4.2,0.5581002593040466,0.2,0.4,0.4,"Cleanliness, General","good (9), tidy (9), amazing (6), active (1)",13
Lewisham,Pool Ravensbourne confluence,Park,51.43968580000001,-0.0262197,5.0,0.49058111508687335,0.3333333333333333,0.5,0.16666666666666666,General,"good (9), great (9), parking (3)",2
Lewisham,Any Rubbish,Park,51.4502721,-0.00499,5.0,0.7736022591590881,0.0,0.2,0.8,"Cleanliness, Accessibility, General","tidy (18), great (9), rubbish (9), easy (9), excellent (9), messy (3)",142
Lewisham,Forster Memorial Park,Park,51.4321472,-0.006764800000000001,4.5,0.5845538934071859,0.0,0.6,0.4,"Noise, Atmosphere, Maintenance, Aesthetics, Traffic, General","parking (30), quiet (27), great (18), perfect (18), lovely (15), safe (12), busy (9), new (9), beautiful (9), tidy (6), good (3), bikes (3), walking (3), flow (3)",447
Lewisham,Verdant Lane Community Garden,Park,51.4401895,0.005394899999999998,4.0,0.6012020607789358,0.0,0.16666666666666666,0.8333333333333334,"Accessibility, General","far (9), great (9), good (3)",2
Lewisham,Springbank Road Community Garden,Park,51.4501759,0.00016,5.0,0.5938345988591512,0.0,0.5,0.5,"Cleanliness, Aesthetics, General","wonderful (9), great (9), rubbish (9), lovely (9), safe (6), amazing (6), tidy (3)",2
Lewisham,Ladywell Fields,Park,51.4486753,-0.027069,4.5,0.6390484849611918,0.0,0.4,0.6,"Atmosphere, Traffic, Aesthetics, General","walking (26), great (18), parking (12), good (12), bad (12), gorgeous (9), calm (9), busy (9), tidy (3), lighting (3), safe (3), relaxing (3)",1646
Lewisham,Lyall Apartment Hotel,General Contractor,51.4477925,-0.0010179,4.2,0.5749447266260783,0.13333333333333333,0.4666666666666667,0.4,"Accessibility, Comfort, Cleanliness, Maintenance, Traffic, General","clean (27), good (21), walking (21), maintained (18), great (18), flow (9), perfect (9), modern (9), cramped (9), central (9), far (9), comfortable (9), tidy (3), updated (3), safe (3), parking (3), roomy (3), near (3)",111
Lewisham,William Hill,Point Of Interest,51.4521713,-0.007130900000000002,2.3,0.6572032153606415,0.2,0.2,0.6,"Maintenance, General","good (21), noisy (15), great (9), worst (9), bad (9), messy (6), safe (6), old (3), wonderful (3), tidy (3)",16
Lewisham,Kaleidoscope,Health,51.4495951,-0.0175064,3.3,0.6428690294424693,0.06666666666666667,0.3333333333333333,0.6,"Comfort, Atmosphere, Accessibility, General","safe (15), good (12), terrible (9), great (9), wonderful (9), comfortable (9), calm (9), easy (9), fantastic (6), tidy (3), messy (3), neat (3), near (3), new (3)",28
Lewisham,Elim Pentecostal Church and Community Centre,Church,51.4314554,-0.0171421,4.1,0.6663701454798381,0.0,0.3333333333333333,0.6666666666666666,"Maintenance, Aesthetics, General","old (9), good (9), great (9), lovely (6)",19
