Borough,Total Places,Average Sentiment,Total Reviews,Positive Places Percentage,Most Common Issues
City of London,431,0.6064800180965367,2333756,85.1508120649652,"General, Aesthetics, Maintenance, Accessibility, Atmosphere"
Camden,431,0.6254594873728194,2033817,89.32714617169374,"General, Aesthetics, Maintenance, Accessibility, Atmosphere"
Islington,487,0.6154550064243789,1850549,86.85831622176592,"General, Aesthetics, Maintenance, Accessibility, Atmosphere"
Hackney,492,0.5927793785579698,1707327,84.7560975609756,"General, Aesthetics, Maintenance, Accessibility, Atmosphere"
Tower Hamlets,510,0.5895067042453223,1574747,83.72549019607844,"General, Aesthetics, Maintenance, Accessibility, Atmosphere"
Westminster,419,0.618831742352388,2198965,88.78281622911695,"General, Aesthetics, Maintenance, Accessibility, Atmosphere"
Kensington and Chelsea,457,0.6162213966696045,1783779,87.527352297593,"General, Aesthetics, Maintenance, Accessibility, Atmosphere"
Enfield,588,0.5793277294113834,167261,80.27210884353741,"General, Aesthetics, Maintenance, Accessibility, Atmosphere"
Barnet,672,0.5875394026613328,319207,82.14285714285714,"General, Aesthetics, Maintenance, Accessibility, Atmosphere"
Haringey,446,0.582797925990199,551680,81.16591928251121,"General, Aesthetics, Maintenance, Atmosphere, Accessibility"
Southwark,481,0.6032611366854468,2416928,85.65488565488566,"General, Aesthetics, Maintenance, Accessibility, Atmosphere"
Lambeth,494,0.6149016466098989,1670665,86.03238866396761,"General, Aesthetics, Maintenance, Accessibility, Atmosphere"
Lewisham,415,0.587961186240596,292452,82.89156626506025,"General, Aesthetics, Maintenance, Atmosphere, Accessibility"
Greenwich,415,0.5768836303047309,403127,81.44578313253012,"General, Maintenance, Aesthetics, Accessibility, Atmosphere"
Wandsworth,480,0.5926345000540216,1731938,83.75,"General, Aesthetics, Maintenance, Accessibility, Atmosphere"
Bromley,676,0.5771420007980601,266833,78.84615384615384,"General, Aesthetics, Maintenance, Atmosphere, Accessibility"
Croydon,633,0.5794601719085588,188724,79.30489731437599,"General, Aesthetics, Maintenance, Atmosphere, Traffic"
Merton,352,0.5999958736445717,148607,82.95454545454545,"General, Aesthetics, Maintenance, Traffic, Atmosphere"
Sutton,333,0.5731915384879066,96267,80.78078078078079,"General, Maintenance, Aesthetics, Traffic, Accessibility"
Waltham Forest,377,0.5874273395699945,272110,83.28912466843501,"General, Maintenance, Aesthetics, Accessibility, Atmosphere"
Redbridge,403,0.5639541034301452,320897,77.1712158808933,"General, Maintenance, Accessibility, Aesthetics, Atmosphere"
Havering,499,0.5781738237895288,123960,80.56112224448898,"General, Aesthetics, Maintenance, Traffic, Accessibility"
Barking and Dagenham,345,0.5656043159932911,174872,76.52173913043478,"General, Aesthetics, Maintenance, Traffic, Atmosphere"
Newham,449,0.5768656258025815,772484,79.06458797327394,"General, Maintenance, Accessibility, Aesthetics, Atmosphere"
Bexley,292,0.5820976326329977,56463,82.1917808219178,"General, Aesthetics, Maintenance, Accessibility, Atmosphere"
Hammersmith and Fulham,486,0.6011860094269524,1410976,85.59670781893004,"General, Aesthetics, Maintenance, Accessibility, Atmosphere"
Brent,419,0.589465717204138,355879,84.48687350835323,"General, Accessibility, Aesthetics, Maintenance, Atmosphere"
Ealing,418,0.591068167930419,359916,84.21052631578947,"General, Aesthetics, Maintenance, Accessibility, Atmosphere"
Hounslow,366,0.5914336158567728,155455,83.87978142076503,"General, Aesthetics, Maintenance, Accessibility, Atmosphere"
Richmond upon Thames,376,0.5992848299305017,195306,86.43617021276596,"General, Aesthetics, Maintenance, Accessibility, Atmosphere"
Kingston upon Thames,352,0.5828021110628137,159222,83.23863636363636,"General, Aesthetics, Maintenance, Accessibility, Atmosphere"
Harrow,375,0.5791555801660926,218395,80.53333333333333,"General, Aesthetics, Maintenance, Accessibility, Atmosphere"
Hillingdon,499,0.5631248318075309,101078,78.3567134268537,"General, Aesthetics, Maintenance, Traffic, Accessibility"
