Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
City of London,Postman's Park,Park,51.516767,-0.09771500000000002,4.6,0.6320586264133453,0.0,0.4666666666666667,0.5333333333333333,"Accessibility, Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","parking (18), lovely (18), quiet (18), safe (15), amazing (15), spacious (9), pleasant (9), central (9), maintained (9), great (9), tidy (9), scenic (9), beautiful (9), good (3), walking (3), flow (3)",1221
City of London,St Dunstan in the East Church Garden,Tourist Attraction,51.509715,-0.0824601,4.7,0.5906545241673787,0.0,0.6,0.4,"Accessibility, Noise, Atmosphere, Maintenance, Aesthetics, Traffic, General","peaceful (36), great (36), quiet (18), empty (18), beautiful (15), safe (15), calm (12), crowded (9), good (9), damaged (9), parking (9), old (9), serene (9), perfect (9), lovely (9), pretty (9), walking (9), relaxing (3), near (3), flow (3)",7342
City of London,Potters Fields Park,Tourist Attraction,51.5041452,-0.0783269,4.6,0.5734252750873565,0.0,0.6666666666666666,0.3333333333333333,"Accessibility, Noise, Atmosphere, Traffic, Aesthetics, General","parking (21), beautiful (18), near (12), good (12), safe (9), quiet (9), lively (9), poor (9), great (9), crowded (9), walking (6), noisy (3), pedestrian (3), relaxing (3)",2608
City of London,St Ethelburga's Centre for Reconciliation and Peace Venue,Tourist Attraction,51.5155664,-0.0820783,4.8,0.8722798228263855,0.0,0.0,1.0,"Accessibility, Noise, Comfort, Cleanliness, Atmosphere, Aesthetics, General","great (54), beautiful (36), amazing (18), perfect (16), tidy (12), wonderful (9), fantastic (9), gorgeous (9), music (9), central (9), cozy (9), clean (9), lovely (6), good (3), noisy (3), safe (3), lively (3)",296
City of London,Spitalfields City Farm,Park,51.5221634,-0.06743489999999999,4.6,0.7146185100078583,0.0,0.2,0.8,"Accessibility, Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Aesthetics, General","lovely (27), safe (18), good (18), far (15), bustling (9), great (9), maintained (9), new (9), excellent (9), amazing (9), peaceful (9), relaxing (9), parking (6), welcoming (6), walking (3), tidy (3)",951
City of London,Whittington Garden,Park,51.510914,-0.092166,4.3,0.4420501331488291,0.4,0.4,0.2,"Noise, Atmosphere, Maintenance, Traffic, Aesthetics","noisy (18), pretty (9), safe (9), lovely (9), old (9), busy (9), relaxing (5), parking (3)",96
City of London,HAC Grounds,Park,51.5223334,-0.08877579999999999,4.8,0.7075534363587698,0.0,0.13333333333333333,0.8666666666666667,"General, Aesthetics, Accessibility, Safety","great (45), lovely (27), good (9), pretty (9), central (9), security (9), messy (3), secure (3), noisy (3), near (3)",74
City of London,Girdlers’ Hall Garden,Park,51.5170926,-0.0908962,5.0,0.5007270872592926,0.0,1.0,0.0,General,"good (9), safe (3)",2
City of London,Cleary Garden,Park,51.5118167,-0.09537699999999999,4.5,0.5924197157224019,0.2,0.4,0.4,"Noise, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic","lovely (21), rubbish (9), quiet (9), broken (6), flow (3), calm (3), walking (3), parking (3), relaxing (3)",103
City of London,"St Luke's Garden, Islington",Park,51.52564800000001,-0.09415160000000003,4.3,0.60016850233078,0.0,0.5333333333333333,0.4666666666666667,"Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","walking (19), peaceful (18), lovely (18), clean (18), old (18), comfortable (9), good (9), traffic (9), quiet (9), safe (6), tidy (6)",200
