LSOA,Avg_Sentiment_Score,Place_Count,Sentiment_Std,Most_Common_Category,Avg_Rating,Total_Reviews
E01000001,0.427,7,0.312,Positive,4.057,1505
E01000002,0.524,14,0.188,Neutral,4.221,5819
E01000003,0.317,1,,Very Negative,5.0,3
E01000005,0.675,6,0.1,Positive,4.167,1067
E01000007,0.485,6,0.283,Neutral,3.9,3438
E01000009,0.639,1,,Positive,3.9,933
E01000010,0.589,6,0.139,Positive,4.067,4740
E01000011,0.0,1,,Very Negative,4.7,3
E01000013,0.661,5,0.205,Negative,4.26,232
E01000014,0.599,1,,Neutral,2.5,2
E01000015,0.609,2,0.018,Neutral,4.5,387
E01000017,0.457,2,0.009,Negative,4.2,13
E01000019,0.599,1,,Neutral,4.6,19
E01000021,0.0,1,,Very Negative,5.0,1
E01000027,0.509,5,0.287,Positive,4.38,32
E01000028,0.71,1,,Very Positive,5.0,4
E01000030,0.827,1,,Very Positive,4.0,8
E01000031,0.586,2,0.219,Negative,4.95,18
E01000032,0.64,1,,Positive,4.3,835
E01000034,0.718,1,,Very Positive,3.8,319
E01000035,0.503,5,0.296,Positive,4.84,44
E01000036,0.661,6,0.175,Neutral,3.767,849
E01000037,0.645,3,0.014,Positive,3.867,275
E01000039,0.478,15,0.256,Neutral,4.507,1550
E01000040,0.623,1,,Positive,2.1,68
E01000042,0.602,2,0.035,Neutral,4.55,30
E01000043,0.619,3,0.023,Positive,4.633,385
E01000044,0.545,1,,Neutral,4.5,2
E01000045,0.281,3,0.247,Very Negative,2.767,7
E01000046,0.459,1,,Negative,4.5,10
E01000049,0.622,2,0.091,Neutral,4.6,884
E01000050,0.615,1,,Positive,2.3,38
E01000051,0.769,2,0.039,Very Positive,4.6,60
E01000053,0.338,2,0.478,Positive,4.85,129
E01000054,0.625,1,,Positive,4.6,23
E01000056,0.582,2,0.033,Neutral,3.75,798
E01000057,0.347,3,0.349,Very Negative,4.033,31
E01000058,0.233,5,0.323,Very Negative,4.28,33
E01000059,0.626,1,,Positive,4.2,539
E01000060,0.526,2,0.032,Neutral,5.0,5
E01000061,0.457,7,0.317,Neutral,4.286,877
E01000063,0.0,1,,Very Negative,5.0,2
E01000065,0.845,1,,Very Positive,4.7,66
E01000066,0.65,1,,Positive,4.4,25
E01000068,0.528,1,,Neutral,4.6,15
E01000071,0.558,3,0.161,Negative,3.933,434
E01000072,0.609,5,0.139,Positive,3.9,2509
E01000074,0.677,3,0.119,Neutral,2.733,322
E01000075,0.469,6,0.232,Neutral,4.217,118
E01000077,0.579,1,,Neutral,4.7,11
E01000078,0.821,1,,Very Positive,1.9,8
E01000079,0.722,3,0.1,Very Positive,4.5,1465
E01000080,0.339,1,,Very Negative,1.0,1
E01000084,0.57,2,0.161,Negative,2.55,61
E01000085,0.347,2,0.491,Positive,4.0,3
E01000086,0.548,1,,Neutral,5.0,3
E01000087,0.635,1,,Positive,4.4,33
E01000090,0.54,2,0.166,Negative,4.25,19
E01000092,0.294,4,0.346,Very Negative,3.675,37
E01000093,0.307,3,0.279,Very Negative,4.233,9
E01000094,0.66,1,,Positive,4.7,47
E01000095,0.45,8,0.319,Very Negative,4.438,3633
E01000096,0.599,4,0.132,Negative,4.375,202
E01000099,0.0,1,,Very Negative,5.0,1
E01000100,0.68,2,0.0,Positive,4.05,951
E01000101,0.799,1,,Very Positive,3.1,185
E01000102,0.628,4,0.161,Positive,4.15,465
E01000103,0.552,4,0.097,Negative,3.95,929
