Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Merton,National Trust - Morden Hall Park,Park,51.4027293,-0.1859361,4.6,0.6870510697364807,0.0,0.4,0.6,"Accessibility, Noise, Atmosphere, Traffic, Aesthetics, General","good (48), lovely (39), parking (33), perfect (25), peaceful (21), beautiful (18), great (18), amazing (18), walking (15), charming (15), tidy (9), far (9), wonderful (9), fantastic (9), excellent (9), quiet (9), relaxing (6), flow (6), cars (3), safe (3)",5847
Merton,Abbey Recreation Ground,Park,51.41209920000001,-0.1935892,4.3,0.6422636946042378,0.0,0.4,0.6,"Accessibility, Cleanliness, Maintenance, Traffic, General","good (24), parking (18), walking (16), safe (9), maintained (9), great (9), easy (9), relaxing (3), noisy (3)",223
Merton,Mostyn Gardens,Park,51.4033321,-0.2032283,4.4,0.6326518774032592,0.0,0.4,0.6,"Noise, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","parking (15), walking (12), beautiful (9), clean (9), peaceful (9), maintained (9), great (9), lovely (9), good (9), safe (3), bikes (3)",375
Merton,Joseph Hood Recreation Ground,Park,51.4038962,-0.2175636,4.4,0.7764176209767659,0.0,0.0,1.0,"Accessibility, Cleanliness, Maintenance, Aesthetics, General","great (36), new (27), parking (15), lovely (12), perfect (9), beautiful (9), improved (9), far (9), near (9), stunning (9), clean (9), cars (6), walking (3), dark (3), dead (3), old (2)",351
Merton,Dundonald Recreation Ground,Park,51.4152002,-0.2104137,4.6,0.6704988956451416,0.0,0.06666666666666667,0.9333333333333333,"Noise, Cleanliness, Atmosphere, Maintenance, Traffic, Aesthetics, General","lovely (24), quiet (18), great (15), parking (15), good (9), perfect (9), walking (9), old (9), beautiful (9), maintained (9)",513
Merton,Gogo Deco LTD,Painter,51.4017402,-0.1917067,4.0,0.7895244028833177,0.0,0.3333333333333333,0.6666666666666666,Cleanliness,"tidy (18), clean (15), noisy (3)",4
Merton,Morden Leisure Centre,Gym,51.394884,-0.2049515,4.2,0.6083936870098114,0.2,0.4,0.4,"Accessibility, Safety, Comfort, Cleanliness, Atmosphere, Maintenance, Traffic, General","parking (57), clean (33), new (27), safe (21), tidy (18), cars (18), good (18), far (18), roomy (15), noisy (15), bad (15), old (9), modern (9), spacious (9), fantastic (9), crowded (9), difficult (9), police (9), lovely (3), walking (3), messy (3), poor (3)",1067
Merton,The Stable Yard (National Trust),Park,51.4024377,-0.1886082,4.6,0.6652067383130391,0.0,0.06666666666666667,0.9333333333333333,"Noise, Comfort, Cleanliness, Atmosphere, Aesthetics, Traffic, General","lovely (45), walking (27), great (12), busy (12), muddy (9), peaceful (9), beautiful (9), good (9), clean (9), comfortable (9), safe (6), quiet (6), parking (3), lively (3)",488
Merton,Cottenham Park,Park,51.414115,-0.2362757,4.5,0.7034189522266387,0.0,0.2,0.8,"Traffic, Aesthetics, General","great (18), parking (11), lovely (9), walking (9), good (9), pretty (9), beautiful (3), flow (3)",243
Merton,South Park Gardens,Park,51.4222798,-0.1982665,4.6,0.7146100441614787,0.0,0.2,0.8,"Noise, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","parking (20), lovely (15), great (9), beautiful (9), quiet (9), maintained (9), good (9), noisy (3), peaceful (3), excellent (3), flow (3), bikes (3), walking (3), safe (3)",1053
Merton,Cannon Hill Common,Tourist Attraction,51.4012313,-0.2188124,4.6,0.6053994258244833,0.2,0.2,0.6,"Accessibility, Noise, Comfort, Atmosphere, General","great (18), near (9), pleasant (9), parking (7), quiet (6), walking (6), safe (6), good (3), cars (3), busy (3), tidy (3)",560
Merton,Dundonald Playground,Park,51.4159197,-0.2085816,4.4,0.6170975585778554,0.0,0.4,0.6,"Accessibility, Safety, Noise, Cleanliness, Atmosphere, Aesthetics, Traffic, General","good (18), lovely (18), safe (12), great (9), convenient (9), clean (9), busy (9), quiet (9), parking (6)",279
Merton,John Innes Recreation Ground,Park,51.4082865,-0.2100169,4.4,0.6081530193487803,0.2,0.26666666666666666,0.5333333333333333,"Aesthetics, Accessibility, General","great (24), parking (18), beautiful (18), accessible (9), perfect (9), good (6), lovely (3)",27
Merton,John Innes Park,Park,51.4092883,-0.2069545,4.8,0.6513566255569458,0.0,0.6,0.4,"Aesthetics, Noise, Atmosphere, General","quiet (9), wonderful (9), beautiful (9), great (9), peaceful (9), walking (6), relaxing (5), parking (3)",13
Merton,Church Lane Playing Fields,Park,51.4111296,-0.202551,3.8,0.5872588932514191,0.13333333333333333,0.6666666666666666,0.2,"Accessibility, Noise, Atmosphere, Maintenance, Traffic, Aesthetics, General","noisy (12), peaceful (9), safe (9), busy (9), lovely (9), perfect (7), calm (6), parking (6), tidy (3), near (3), messy (3)",34
Merton,Wimbledon Guild Community Garden,Park,51.416505,-0.2064493,5.0,0.5483870456616083,0.5,0.0,0.5,General,"excellent (9), good (9)",3
Merton,Bushey Road Nature Reserve,Park,51.40714740000001,-0.2230337,3.0,0.4543181425995297,0.5555555555555556,0.2222222222222222,0.2222222222222222,"Accessibility, Noise, Atmosphere, Maintenance, Traffic","noisy (12), easy (9), busy (9), new (9), cars (3), parking (3), near (3), flow (3)",3
Merton,Morden Road,Transit Station,51.4088386,-0.1929738,3.9,0.5663293977578481,0.2,0.2,0.6,"Accessibility, General","convenient (9), good (9), safe (9), walking (6), poor (6), busy (3)",21
Merton,Hallmark Kew House Luxury Care Home,Health,51.4183143,-0.2112618,4.7,0.7458268682161967,0.0,0.0,1.0,"Accessibility, Safety, Noise, Comfort, Atmosphere, Maintenance, Aesthetics, General","safe (27), difficult (18), excellent (18), beautiful (18), fantastic (12), wonderful (9), welcoming (9), secure (9), lovely (9), stunning (9), far (9), pleasant (9), good (9), peaceful (9), amazing (3), lively (3), messy (3), old (3), roomy (3), tidy (3)",40
Merton,Lloyds Bank,Bank,51.4212303,-0.204507,3.6,0.6660262962182363,0.2,0.06666666666666667,0.7333333333333333,"Maintenance, General","awful (15), good (9), tidy (3), messy (3)",64
Merton,NHS South West London,Health,51.41937699999999,-0.2001604,3.3,0.5613407095273336,0.0,1.0,0.0,,,4
Merton,Merton Boiler Repair & Heating Services,General Contractor,51.4151779,-0.1903751,5.0,0.5604382356007894,0.0,0.6666666666666666,0.3333333333333333,General,amazing (3),2
Merton,TWM Solicitors,Accounting,51.42073180000001,-0.2042219,4.7,0.7625085890293122,0.2,0.0,0.8,"Atmosphere, Accessibility, Safety","easy (9), far (6), messy (5), noisy (3)",25
