Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Redbridge,Loxford Lane Allotments,Park,51.55013779999999,0.0863284,4.1,0.7067046463489532,0.06666666666666667,0.2,0.7333333333333333,"Maintenance, Noise, Atmosphere, General","quiet (12), good (9), fantastic (6), terrible (6), safe (3), dark (3), dead (3), tidy (3), awful (3)",30
Redbridge,Vicarage Lane Allotments South,Park,51.5647644,0.0895007,4.3,0.6401764551798502,0.0,0.3333333333333333,0.6666666666666666,"Traffic, Aesthetics, General","great (27), good (18), beautiful (9), walking (9), lovely (9)",16
Redbridge,Vicarage Lane Allotments North,Park,51.56632749999999,0.08757419999999999,3.9,0.6072945932547251,0.13333333333333333,0.26666666666666666,0.6,"Noise, Cleanliness, Atmosphere, General","great (18), dirty (9), peaceful (9), good (9), amazing (9), wonderful (6), neat (3), near (3), new (3), clean (3)",36
Redbridge,Loxford Park,Park,51.5482348,0.08133929999999999,4.2,0.5796589215596517,0.0,0.8,0.2,"Accessibility, Safety, Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Traffic, General","parking (72), walking (33), good (30), maintained (18), fantastic (18), accessible (18), great (12), safe (12), broken (9), empty (9), rubbish (9), flow (9), busy (9), excellent (9), amazing (9), connected (9), relaxing (9), welcoming (9), music (9), pleasant (9), spacious (9), tidy (6), muddy (3), upgraded (3), noisy (3), cyclists (3), pedestrian (3)",381
Redbridge,Wards Road Allotments North,Park,51.5710936,0.08942900000000001,4.4,0.7031493782997131,0.0,0.0,1.0,"Noise, Atmosphere, General","great (9), quiet (3)",9
Redbridge,Valentines Park,Park,51.5700518,0.07108679999999999,4.6,0.6754649599393209,0.0,0.4,0.6,"Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","parking (33), beautiful (27), walking (21), relaxing (19), maintained (18), perfect (18), great (18), peaceful (18), busy (18), lovely (18), stunning (9), safe (9), clean (9), spacious (9), wonderful (9), cars (9), good (9), new (9), tidy (3)",7394
Redbridge,South Park,Park,51.55737500000001,0.09097160000000001,4.3,0.6096158643563588,0.0,0.4666666666666667,0.5333333333333333,"Safety, Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Traffic, Aesthetics, General","beautiful (24), parking (21), lovely (21), safe (21), pleasant (9), updated (9), renovated (9), driving (9), fantastic (9), clean (9), peaceful (9), great (9), walking (6), relaxing (3), old (3), good (3)",1455
Redbridge,Little Ilford Park,Park,51.5494933,0.066476,4.2,0.5720994075139364,0.0,0.7333333333333333,0.26666666666666666,"Safety, Noise, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","safe (30), parking (30), new (24), good (18), maintained (18), walking (18), beautiful (9), charming (9), vibrant (9), peaceful (9), perfect (9), serene (9), great (9), traffic (9), clean (6), quiet (6), relaxing (3), lively (3)",936
Redbridge,Wilderness Street,Park,51.5586647,0.0746258,5.0,0.5772346754868826,0.0,0.5,0.5,"Cleanliness, Atmosphere, Aesthetics, Traffic, General","great (18), clean (9), tidy (9), busy (9), beautiful (3)",2
Redbridge,Vision Redbridge Culture and Leisure,Library,51.5582374,0.0752079,2.1,0.6032163083553315,0.2,0.2,0.6,"Comfort, Cleanliness, Maintenance, Aesthetics, General","noisy (18), amazing (9), welcoming (9), clean (9), pleasant (9), safe (9), new (9), good (9), messy (6), tidy (6), ugly (6), lovely (3), parking (3)",18
Redbridge,Uphall Recreation Ground,Park,51.5531742,0.0692171,4.1,0.5860630750656128,0.2,0.2,0.6,"Safety, Noise, Atmosphere, Aesthetics, Traffic, General","safe (15), beautiful (9), peaceful (9), secure (9), walking (9), perfect (9), great (9), quiet (9), security (9), parking (7), tidy (3), risky (3), messy (3)",33
