Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Richmond upon Thames,Moormead and Bandy Recreation Ground,Park,51.45402249999999,-0.3263084,4.4,0.6355775376160939,0.0,0.4666666666666667,0.5333333333333333,"Maintenance, Aesthetics, General","great (18), perfect (9), pretty (9), safe (9), old (9), parking (3), renovated (3)",381
Richmond upon Thames,Radnor Gardens,Park,51.44047279999999,-0.3320277,4.6,0.7034228245417277,0.0,0.4,0.6,"Accessibility, Comfort, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","good (18), busy (18), relaxing (10), lovely (9), near (9), beautiful (9), maintained (9), clean (9), safe (6), pleasant (3)",617
Richmond upon Thames,Holly Road Garden of Rest,Park,51.44680870000001,-0.3296435,4.3,0.6033079167207082,0.0,0.4,0.6,"Noise, Maintenance, Traffic, General","great (15), good (9), walking (9), screaming (9), broken (9), parking (6), tidy (3), bad (3), poor (3), lovely (3)",68
Richmond upon Thames,Orleans Gardens,Park,51.44686369999999,-0.3170111,4.6,0.6432565848032633,0.0,0.4,0.6,"Accessibility, Cleanliness, Maintenance, Aesthetics, Traffic, General","parking (24), stunning (18), clean (18), walking (18), beautiful (18), great (15), bad (9), maintained (9), new (9), lovely (9), safe (6), bikes (3), relaxing (3), messy (3), cars (3), near (3)",111
Richmond upon Thames,Chase Green,Park,51.4504674,-0.3501406,3.8,0.6259331186612447,0.0,0.4,0.6,"Safety, Noise, Cleanliness, Aesthetics, Traffic, General","great (27), safe (18), lovely (9), parking (9), good (9), traffic (9), neglected (7)",49
Richmond upon Thames,Marble Hill,Tourist Attraction,51.449458,-0.3133507,4.6,0.5791921416918436,0.0,0.8666666666666667,0.13333333333333333,"Aesthetics, Traffic, Accessibility, General","great (36), lovely (24), parking (24), wonderful (18), walking (15), safe (9), accessible (9), cars (6), amazing (6)",477
Richmond upon Thames,Josh Ward Garden Design,Park,51.4507766,-0.3227522,5.0,0.8250850902663337,0.0,0.0,1.0,General,"great (18), amazing (9), fantastic (6)",4
Richmond upon Thames,Marble Hill Park,Park,51.45001490000001,-0.3128928,4.6,0.6033559322357178,0.0,0.4666666666666667,0.5333333333333333,"Accessibility, Comfort, Atmosphere, Maintenance, Aesthetics, Traffic, General","parking (45), lovely (30), great (27), attractive (18), safe (12), good (12), spacious (9), elegant (9), central (9), walking (6), messy (3), roomy (3)",1551
Richmond upon Thames,York House Gardens,Park,51.4473724,-0.3233059,4.7,0.7626860857009887,0.0,0.06666666666666667,0.9333333333333333,"Comfort, Aesthetics, Accessibility, General","beautiful (18), wonderful (10), pleasant (9), lovely (9), walking (6), near (6), peaceful (3), good (3), safe (3)",1045
Richmond upon Thames,Petersham Lodge Woods,Park,51.4478135,-0.3060809,4.5,0.5511264125506083,0.06666666666666667,0.4666666666666667,0.4666666666666667,"Safety, Noise, Comfort, Atmosphere, Maintenance, Aesthetics, Traffic, General","great (18), walking (18), safe (12), beautiful (12), quiet (9), busy (9), cyclists (9), protected (9), pleasant (9), relaxing (7), good (3), lighting (3), charming (3), plain (3), noisy (3), crowded (3)",140
