Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Southwark,Postman's Park,Park,51.516767,-0.09771500000000002,4.6,0.6105121612548828,0.0,0.5333333333333333,0.4666666666666667,"Accessibility, Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","parking (18), lovely (18), quiet (18), safe (15), amazing (12), spacious (9), pleasant (9), central (9), maintained (9), great (9), tidy (9), scenic (9), beautiful (9), good (3), walking (3), flow (3)",1221
Southwark,Potters Fields Park,Tourist Attraction,51.5041452,-0.0783269,4.6,0.5690233270327251,0.0,0.6,0.4,"Accessibility, Noise, Atmosphere, Traffic, Aesthetics, General","parking (20), beautiful (18), good (12), near (9), safe (9), quiet (9), lively (9), poor (9), crowded (9), walking (6), great (6), noisy (3), pedestrian (3), relaxing (3)",2608
Southwark,Bermondsey Spa Gardens,Park,51.49485439999999,-0.07447419999999998,4.4,0.7181629776954651,0.0,0.13333333333333333,0.8666666666666667,"Accessibility, Cleanliness, Atmosphere, Traffic, Aesthetics, General","lovely (24), parking (12), beautiful (12), busy (9), clean (9), neat (9), stunning (9), amazing (9), perfect (9), near (6), flow (4), noisy (3), safe (3), tidy (3)",807
Southwark,St Dunstan in the East Church Garden,Tourist Attraction,51.509715,-0.0824601,4.7,0.5919808069864909,0.0,0.6,0.4,"Accessibility, Noise, Atmosphere, Maintenance, Aesthetics, Traffic, General","great (36), peaceful (33), quiet (18), empty (18), beautiful (15), safe (15), calm (12), crowded (9), good (9), damaged (9), parking (9), old (9), serene (9), perfect (9), lovely (9), pretty (9), walking (9), relaxing (3), near (3), flow (3)",7342
Southwark,St Ethelburga's Centre for Reconciliation and Peace Venue,Tourist Attraction,51.5155664,-0.0820783,4.8,0.8653445680936177,0.0,0.0,1.0,"Accessibility, Noise, Comfort, Cleanliness, Atmosphere, Aesthetics, General","great (54), beautiful (36), perfect (18), amazing (18), tidy (12), wonderful (9), lovely (9), fantastic (9), central (9), cozy (9), clean (9), gorgeous (6), music (6), good (3), noisy (3), safe (3), lively (3)",296
Southwark,St John's Churchyard,Park,51.5037403,-0.0618725,4.4,0.5650677919387818,0.0,0.6666666666666666,0.3333333333333333,"Noise, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic","maintained (9), walking (9), lovely (9), old (9), peaceful (9), beautiful (6), safe (3), parking (3), pretty (3), appealing (1)",39
Southwark,Trinity Church Square Garden,Park,51.4988763,-0.0936108,4.3,0.5821211695671081,0.0,0.4666666666666667,0.5333333333333333,"Accessibility, Safety, Noise, Comfort, Atmosphere, Traffic, Aesthetics, General","lovely (9), perfect (9), walking (9), pleasant (9), quiet (9), police (9), safe (6), music (3), central (3), tidy (3)",65
Southwark,Whittington Garden,Park,51.510914,-0.092166,4.3,0.43387552797794343,0.4,0.4,0.2,"Noise, Atmosphere, Maintenance, Traffic, Aesthetics","noisy (18), pretty (9), safe (9), lovely (9), old (9), busy (9), relaxing (5), parking (3)",96
Southwark,Nelson Square,Park,51.50295750000001,-0.103404,4.4,0.6403924902280171,0.0,0.6,0.4,"Accessibility, Safety, Noise, Cleanliness, Atmosphere, Maintenance, Traffic, General","safe (27), clean (27), parking (23), good (18), great (18), near (18), quiet (15), new (9), empty (9), old (9), secure (9), walking (9), dirty (9)",164
Southwark,Guy Street Park,Park,51.50171839999999,-0.0866055,4.0,0.5184671779473623,0.2,0.4,0.4,"Traffic, Accessibility, General","good (21), parking (17), near (12), safe (6), walking (6), bikes (6), cars (3), relaxing (3), flow (3), tidy (3)",117
Southwark,Cleary Garden,Park,51.5118167,-0.09537699999999999,4.5,0.5871028820673625,0.2,0.4,0.4,"Noise, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic","lovely (21), rubbish (9), broken (9), quiet (9), calm (5), flow (3), walking (3), parking (3), relaxing (3)",103
Southwark,Beautiful Balin,Park,51.5012519,-0.09015859999999999,4.7,0.6263479938109716,0.08333333333333333,0.25,0.6666666666666666,"Aesthetics, Atmosphere, General","beautiful (18), lively (9), fantastic (6), walking (3), good (3)",7
Southwark,St George's Churchyard Gardens,Park,51.5014919,-0.0916889,4.2,0.5128318071365356,0.0,1.0,0.0,"Noise, Atmosphere","quiet (18), parking (6), safe (6), good (6), peaceful (3), noisy (3), messy (3), tidy (3)",5
Southwark,Hankey Place Gardens,Park,51.499864,-0.08916670000000002,4.2,0.6009519954522451,0.0,0.4,0.6,"Accessibility, Noise, Atmosphere, Aesthetics, Traffic, General","beautiful (18), quiet (9), busy (9), great (9), near (6), parking (3)",16
Southwark,Bankside Open Spaces Trust,Park,51.5029826,-0.0945184,4.8,0.5951908305287361,0.08333333333333333,0.4166666666666667,0.5,"Aesthetics, Accessibility, General","lovely (9), great (9), beautiful (9), pretty (9), near (6), safe (3), parking (3)",8
Southwark,Mint Street Park,Park,51.5024683,-0.0964841,4.3,0.5504213134447734,0.0,0.8666666666666667,0.13333333333333333,"Accessibility, Safety, Noise, Cleanliness, Atmosphere, Aesthetics, Traffic, General","lovely (24), parking (15), beautiful (9), secure (9), clean (9), quiet (9), central (9), great (9), busy (9), safe (6)",561
Southwark,All Hallows' Churchyard,Park,51.5031407,-0.09785370000000002,4.4,0.536910080909729,0.0,0.7333333333333333,0.26666666666666666,"Noise, Cleanliness, Atmosphere, Maintenance, Aesthetics","quiet (15), clean (9), lovely (9), peaceful (9), damaged (9), safe (6), relaxing (6), lively (3)",14
Southwark,Carter Lane Gardens,Park,51.5131492,-0.09844769999999999,4.4,0.6682873646418254,0.0,0.13333333333333333,0.8666666666666667,"Accessibility, Comfort, Cleanliness, Maintenance, Aesthetics, Traffic","pleasant (18), maintained (15), beautiful (15), lovely (9), near (9), walking (9), safe (9), damaged (9), stunning (9), relaxing (3)",103
Southwark,Great Dover Street Apartments - King's College London,Point Of Interest,51.4979935,-0.0899193,3.8,0.6385263085365296,0.0,0.3333333333333333,0.6666666666666666,"Accessibility, Safety, Comfort, Cleanliness, Maintenance, Aesthetics, General","good (36), safe (27), clean (27), modern (18), tidy (15), roomy (12), walking (9), convenient (9), ugly (9), pleasant (9), new (9), renovated (9), sketchy (9), dark (9), near (6), messy (6), lighting (3)",176
Southwark,The Old Operating Theatre Museum and Herb Garret,Museum,51.5050283,-0.0885991,4.6,0.7360778212547302,0.0,0.2,0.8,"Maintenance, Aesthetics, General","lovely (18), fantastic (9), old (9), great (9), noisy (3), safe (3), tidy (3)",1289
Southwark,London Bridge,Tourist Attraction,51.5078788,-0.08773210000000001,4.6,0.6201781729857127,0.0,0.7333333333333333,0.26666666666666666,"Accessibility, Noise, Atmosphere, Maintenance, Traffic, Aesthetics, General","safe (60), great (45), modern (36), walking (18), peaceful (18), new (18), near (15), buzzing (9), fantastic (9), old (9), stunning (9), beautiful (9), lovely (9), calm (9), far (9), music (9), elegant (9), easy (9), busy (9), noisy (3), parking (3), tidy (3)",58267
Southwark,Liverpool Street,Transit Station,51.51875159999999,-0.08143740000000001,4.3,0.7169545729955037,0.0,0.2,0.8,"Accessibility, Comfort, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","safe (21), great (18), spacious (18), excellent (18), beautiful (9), enjoyable (9), pretty (9), modern (9), central (9), easy (9), busy (9), near (9), convenient (9), crowded (3), tidy (3)",3193
Southwark,Waterloo,Transit Station,51.5032466,-0.112293,4.3,0.6346219261487325,0.0,0.6,0.4,"Accessibility, Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","beautiful (18), convenient (18), easy (18), clean (18), connected (18), modern (18), safe (12), spacious (9), lively (9), updated (9), bustling (9), central (9), crowded (9), dirty (9), busy (9), excellent (9), near (6), tidy (3), charming (3)",3756
Southwark,Fenchurch Street,Train Station,51.5117122,-0.07906189999999999,4.1,0.6168854355812072,0.0,0.6,0.4,"Maintenance, Comfort, Cleanliness, Aesthetics","new (18), lovely (12), clean (9), broken (9), unpleasant (9), pretty (9), noisy (6), safe (6), old (5), tidy (3), cars (3), parking (3)",218
Southwark,Cannon Street,Subway Station,51.5110809,-0.09035030000000001,4.2,0.6547191778818766,0.0,0.26666666666666666,0.7333333333333333,"Accessibility, Noise, Cleanliness, Atmosphere, Aesthetics, Traffic, General","pretty (45), easy (27), clean (27), safe (18), central (9), good (9), rubbish (9), crowded (9), spotless (9), great (9), lovely (9), traffic (9), walking (9), wonderful (9), noisy (6), near (3), tidy (3)",99
