Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Sutton,Perretts Field,Park,51.36304440000001,-0.2135696,4.2,0.5558784047762553,0.2,0.6,0.2,"Accessibility, Atmosphere, Aesthetics, Traffic, General","great (18), lovely (12), busy (9), walking (9), good (9), bikes (9), near (6), parking (6), safe (3)",26
Sutton,Cheam Park,Park,51.359064,-0.2205996,4.7,0.5913697322209676,0.0,0.4666666666666667,0.5333333333333333,"Noise, Cleanliness, Atmosphere, Maintenance, Traffic, Aesthetics, General","parking (48), great (27), lovely (27), walking (21), beautiful (18), serene (18), pretty (9), peaceful (9), busy (9), safe (9), perfect (9), maintained (9), relaxing (9), excellent (9), attractive (9), flow (3)",769
Sutton,Manor Park,Park,51.362763,-0.1900936,4.4,0.5501438279946645,0.0,0.7333333333333333,0.26666666666666666,"Accessibility, Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","parking (27), maintained (24), peaceful (18), good (18), pleasant (18), great (18), beautiful (18), safe (12), lovely (9), perfect (9), relaxing (9), quiet (9), wonderful (9), lively (9), charming (6), walking (6), flow (3), near (3)",1207
Sutton,Dr George Rice Community Garden,Park,51.36219310000001,-0.1960734,5.0,0.0,0.0,0.0,0.0,,,1
Sutton,Lenham Road Community Garden,Park,51.3650147,-0.1914867,5.0,0.0,0.0,0.0,0.0,,,1
Sutton,Overton Park,Park,51.3510989,-0.2001873,4.3,0.6302585522333781,0.0,0.6,0.4,"Accessibility, Noise, Atmosphere, Aesthetics, Traffic, General","parking (45), good (31), safe (27), great (18), lovely (18), walking (12), noisy (12), bad (9), pretty (9), gorgeous (9), beautiful (9), amazing (9), peaceful (9), convenient (9), lively (3), flow (3), vehicle (3), cars (3)",682
Sutton,High St by Sutton Green,Park,51.36868639999999,-0.1949419,5.0,0.5004854798316956,0.0,1.0,0.0,"Maintenance, General","good (9), relaxing (3), walking (3)",2
Sutton,Devonshire Avenue Nature Area,Park,51.3542816,-0.1881261,4.1,0.5324023306369782,0.0,0.7333333333333333,0.26666666666666666,"Noise, Atmosphere, Maintenance, Aesthetics, General","peaceful (15), lovely (10), quiet (9), good (9), updated (6), parking (3), relaxing (3)",23
Sutton,Collingwood Road Recreation Ground,Park,51.36846999999999,-0.2039058,4.1,0.6310244490702946,0.2,0.2,0.6,"Maintenance, Traffic, Safety","cyclists (9), police (9), old (9), parking (5), dark (3), dead (3), pedestrian (3), noisy (3), busy (3)",48
Sutton,Sutton Green,Park,51.37113739999999,-0.1951995,4.3,0.5499765892823537,0.2,0.4,0.4,"Accessibility, Cleanliness, Aesthetics, Traffic, General","walking (9), near (9), pretty (9), tidy (9), easy (9), great (9), safe (6), lovely (6), relaxing (3), wonderful (3), parking (3), busy (2)",327
Sutton,Benhill Recreation Ground,Park,51.36752329999999,-0.1815666,4.2,0.6366418321927388,0.0,0.3333333333333333,0.6666666666666666,"Cleanliness, Traffic, General","good (27), parking (12), walking (12), great (9), muddy (9), lovely (1)",161
Sutton,Chaucer Gardens,Park,51.3719099,-0.1999017,4.0,0.5395001371701559,0.0,1.0,0.0,Maintenance,,1
Sutton,Seears Park,Park,51.3614069,-0.2128247,4.3,0.6727708180745443,0.0,0.6,0.4,"Comfort, Aesthetics, General","lovely (27), parking (13), wonderful (9), great (9), beautiful (9), cozy (9), walking (6), safe (3), good (3), roomy (3)",234
Sutton,Springclose Lane Open Space,Park,51.361363,-0.2143477,3.5,0.6329459746678671,0.0,0.0,1.0,General,"good (9), safe (6), parking (3)",2
Sutton,Xhelo construction,Park,51.3754026,-0.2033162,4.9,0.8630397071441015,0.0,0.0,1.0,"Maintenance, General","excellent (9), good (9), new (9), noisy (9), perfect (5), tidy (3)",31
Sutton,Royston Park,Park,51.3728878,-0.1782355,4.1,0.5149290959040324,0.0,0.8,0.2,"Noise, Atmosphere, Maintenance, Aesthetics, General","lovely (27), good (18), quiet (12), old (9), parking (9)",41
Sutton,Personnel Today Awards,Point Of Interest,51.3622178,-0.1930424,5.0,0.0,0.0,0.0,0.0,,,2
Sutton,Omniplex Cinema Sutton,Movie Theater,51.3645925,-0.1951364,4.4,0.6210722625255585,0.2,0.3333333333333333,0.4666666666666667,"Accessibility, Comfort, Cleanliness, Maintenance, Traffic, General","good (57), great (36), comfortable (18), clean (18), amazing (15), pleasant (12), modern (9), maintained (9), convenient (9), parking (9), welcoming (9), tidy (6), safe (3)",2315
Sutton,William Hill,Point Of Interest,51.3575172,-0.2169469,4.0,0.5224689543247223,0.0,1.0,0.0,Accessibility,"easy (6), good (3)",4
Sutton,Sutton,Transit Station,51.3597332,-0.1908287,3.9,0.6214188774426778,0.0,0.26666666666666666,0.7333333333333333,"Accessibility, Cleanliness, Maintenance, Aesthetics, General","good (33), lovely (27), clean (27), pretty (27), tidy (15), neat (9), maintained (9), new (9), central (9), easy (9), safe (6), busy (6), dark (3), dead (3)",139
Sutton,Road Transport Media,Point Of Interest,51.3622021,-0.1941805,4.0,0.0,0.0,0.0,0.0,,,1
Sutton,Bright Horizons Sutton Day Nursery and Preschool,School,51.3617183,-0.198777,4.6,0.7523134152094523,0.0,0.2,0.8,"Traffic, Aesthetics, Accessibility, General","lovely (18), wonderful (18), tidy (12), good (10), great (9), far (9), pretty (9), fantastic (9), safe (6), noisy (3), amazing (3), messy (3), roomy (3), flow (3)",14
Sutton,Sutton Police Station (Stop L),Bus Station,51.36148379999999,-0.1911174,4.5,0.48828480144341785,0.0,1.0,0.0,"Accessibility, Safety","police (18), easy (9), busy (9), loud (3), noisy (3), lively (3)",2
Sutton,Times Square (Stop J),Bus Station,51.3637014,-0.1918267,4.5,0.3774127827750312,0.6666666666666666,0.3333333333333333,0.0,General,"good (9), busy (7)",4
Sutton,St. Nicholas Centre (Stop W),Bus Station,51.3652471,-0.1952755,5.0,0.5892230570316315,0.0,0.5,0.5,"Traffic, Accessibility, General","convenient (9), near (9), walking (9), good (9), parking (9), busy (3)",3
Sutton,Crown Road (Stop Y),Bus Station,51.3682738,-0.1956714,4.0,0.43594691819614834,0.3333333333333333,0.6666666666666666,0.0,"Traffic, Atmosphere",busy (10),4
Sutton,Sutton Green (Stop B),Bus Station,51.36979299999999,-0.194909,4.3,0.347355885638131,0.5555555555555556,0.4444444444444444,0.0,,busy (3),3
Sutton,Times Square Shopping Centre,Shopping Mall,51.3637531,-0.1920222,3.8,0.6219281276067098,0.0,0.4666666666666667,0.5333333333333333,"Aesthetics, Maintenance, Atmosphere, General","great (45), good (15), new (9), attractive (9), excellent (9), maintained (3), messy (2)",2141
Sutton,Sutton Town Centre,Shopping Mall,51.3647005,-0.1938194,4.6,0.5364542583624522,0.0,0.7333333333333333,0.26666666666666666,"Traffic, General","walking (9), great (9), good (9), parking (3), busy (3)",14
Sutton,PROW15 Community Mural,Tourist Attraction,51.36272929999999,-0.1963994,5.0,0.81699271996816,0.0,0.0,1.0,"Aesthetics, Atmosphere","stunning (9), vibrant (9), walking (3)",3
Sutton,Carshalton Water Tower & Historic Garden Trust,Tourist Attraction,51.3650652,-0.1668406,4.5,0.5031718850135803,0.0,1.0,0.0,"Traffic, Aesthetics, Accessibility, General","great (18), lovely (9), tidy (9), noisy (3), near (3)",41
Sutton,Sutton Cemetery,Cemetery,51.3784596,-0.2047316,4.1,0.6253102978070577,0.0,0.6,0.4,"Noise, Atmosphere, Aesthetics, General","beautiful (27), fantastic (9), lovely (4), good (3), quiet (3), safe (3)",12
Sutton,Crown Road Baptist Church,Church,51.3668984,-0.1987096,4.5,0.8220463395118713,0.0,0.0,1.0,"Comfort, General","safe (9), amazing (9), welcoming (9)",6
Sutton,Faith Church Ministries - Tamil Church,Church,51.3629159,-0.1917561,5.0,0.7806072036425272,0.0,0.2,0.8,General,"amazing (15), great (9), messy (3), safe (3), lovely (1)",50
Sutton,Potters House Sutton,Church,51.3666813,-0.1909154,3.2,0.7559035652213626,0.1111111111111111,0.0,0.8888888888888888,"Maintenance, General","new (9), safe (6), great (3), lovely (3)",11
Sutton,Sutton Spiritualist Church,Church,51.36417329999999,-0.1826415,4.3,0.5283787329991658,0.0,1.0,0.0,"Maintenance, Comfort, Aesthetics, General","welcoming (27), great (18), good (18), lovely (9), awful (9), beautiful (9), safe (6), messy (3)",23
Sutton,River Church Sutton,Church,51.3629451,-0.1725447,4.9,0.6755573391914368,0.0,0.4,0.6,"Accessibility, Noise, Comfort, Cleanliness, Maintenance, Traffic, Aesthetics, General","clean (18), fantastic (18), great (15), spacious (15), cars (12), parking (12), amazing (12), lovely (12), new (9), music (9), welcoming (9), safe (6), near (3), lighting (3), tidy (3)",26
Sutton,Sutton Vineyard Church,Church,51.3730196,-0.2013376,4.2,0.6919615268707275,0.0,0.0,1.0,"Aesthetics, General","lovely (12), poor (6)",13
Sutton,Cheam Methodist Church,Church,51.3672725,-0.2171198999999999,3.5,0.5625333786010742,0.13333333333333333,0.4666666666666667,0.4,"Traffic, Accessibility, General","parking (18), good (9), safe (3), difficult (3)",8
Sutton,Christ Embassy Sutton,Church,51.37770070000001,-0.1933765,5.0,0.6616962750752767,0.0,0.0,1.0,"Comfort, Aesthetics","lovely (3), welcoming (3)",1
Sutton,"St Nicholas’ Church, Sutton",Church,51.3626071,-0.1948464,4.5,0.5830439865589142,0.2,0.4666666666666667,0.3333333333333333,"Maintenance, Comfort, Aesthetics, General","good (27), great (18), plain (9), inviting (9), wonderful (9), tidy (6), welcoming (6), old (3)",19
Sutton,The Salvation Army - Sutton,Church,51.36697729999999,-0.1924886,4.6,0.8110225717226665,0.0,0.0,1.0,"Comfort, Aesthetics","beautiful (9), welcoming (9), lovely (3), tidy (3)",38
Sutton,"Trinity Church, Sutton",Church,51.3615593,-0.1936149,4.5,0.5458617866039276,0.06666666666666667,0.5333333333333333,0.4,"Accessibility, Comfort, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic","tidy (12), ugly (9), active (9), clean (9), easy (9), old (9), dirty (9), spacious (9), maintained (9), parking (9), inviting (9), safe (6), pretty (3), roomy (3), lighting (3), walking (3), tight (3), beautiful (3)",86
Sutton,St Andrew's United Reformed Church,Church,51.3467462,-0.2100598,4.4,0.5301143944263458,0.06666666666666667,0.6666666666666666,0.26666666666666666,"Comfort, Traffic, Aesthetics, General","good (18), welcoming (9), safe (9), great (9), lovely (9), parking (9), spacious (9), tidy (3)",64
Sutton,St Christopher's Church,Church,51.3579492,-0.2136777,4.6,0.5430940190951029,0.26666666666666666,0.3333333333333333,0.4,"Accessibility, Comfort, Maintenance, Aesthetics, Traffic, General","parking (18), safe (9), wonderful (9), connected (9), excellent (9), welcoming (9), lovely (6)",33
Sutton,"St Barnabas Church, Sutton",Church,51.3648257,-0.1832248,2.8,0.6931851963202159,0.0,0.4,0.6,"Cleanliness, Maintenance, Aesthetics, Traffic, General","safe (15), parking (12), great (9), clean (9), good (9), tidy (9), noisy (6), cars (3), ugly (3)",25
Sutton,Cheam Baptist Church,Church,51.3596319,-0.2168403,4.5,0.7424728552500407,0.0,0.2,0.8,"Comfort, Aesthetics, Safety, General","lovely (24), welcoming (18), great (18), good (9), excellent (9), beautiful (9), wonderful (9), safe (9), tidy (3), ugly (3)",36
Sutton,London Shepherd Church,Church,51.3603371,-0.1915667,3.8,0.7635054389635721,0.2,0.0,0.8,"Atmosphere, General","amazing (15), lovely (9), active (9), wonderful (9), roomy (3), safe (3)",26
Sutton,"Christ Church, Sutton",Church,51.3550249,-0.1885877,4.7,0.6378545681635539,0.0,0.5333333333333333,0.4666666666666667,"Comfort, Aesthetics","lovely (54), beautiful (18), welcoming (9), inviting (9), safe (6), updated (3), tidy (3)",43
Sutton,Sutton Baptist Church,Church,51.3610793,-0.1943949,4.2,0.5107556462287903,0.2,0.6,0.2,"Noise, Comfort, Maintenance, Traffic, Aesthetics, General","lovely (27), welcoming (18), great (12), parking (9), beautiful (9), old (9), safe (3), music (3), lively (2)",23
Sutton,Christ Church London Sutton,Church,51.3607665,-0.198235,4.5,0.5726156910260518,0.2,0.4666666666666667,0.3333333333333333,"Accessibility, Noise, Comfort, Traffic, Aesthetics, General","great (18), easy (9), walking (9), lovely (9), music (9), welcoming (6), updated (3), safe (3)",8
Sutton,Gibson Road Multi-storey Car Park,Parking,51.3623521,-0.1970418,3.6,0.6643982927004496,0.0,0.6,0.4,"Comfort, Traffic, Accessibility, General","cars (51), parking (42), terrible (9), poor (9), spacious (6), safe (3), noisy (3), central (3)",87
Sutton,Sutton Hand Car Wash,Car Wash,51.3651046,-0.1864839,3.4,0.8272855281829834,0.0,0.2,0.8,"Maintenance, Cleanliness, General","cars (63), new (36), dirty (30), great (27), tidy (18), clean (17), spotless (12), fantastic (9), amazing (9), poor (3), noisy (3), muddy (3), safe (3)",224
Sutton,Morrisons Car Park,Parking,51.36076169999999,-0.1935452,4.0,0.4931195457776388,0.26666666666666666,0.5333333333333333,0.2,"Traffic, Accessibility, General","parking (42), good (18), far (9), tidy (9), cars (9), bad (9), near (9), safe (6)",91
Sutton,Motorcycle Parking Bay,Parking,51.3626385,-0.1931694,5.0,0.4185305138429006,0.3333333333333333,0.6666666666666666,0.0,"Traffic, Accessibility","parking (12), safe (9), difficult (9), cars (3), bikes (3)",1
Sutton,JustPark St Nicholas Centre,Parking,51.3643423,-0.1950083,3.6,0.5665408929189046,0.0,0.8,0.2,"Accessibility, Comfort, Maintenance, Traffic, Aesthetics, General","parking (60), good (27), cars (24), tight (18), tidy (12), repaired (9), modern (9), central (9), pretty (9), noisy (6), damaged (3), safe (3), wonderful (3), walking (3), great (3), near (3)",75
Sutton,Times Square Car Parking,Parking,51.36426839999999,-0.1917233,3.5,0.5525642096996307,0.0,0.6,0.4,"Accessibility, Comfort, Atmosphere, Traffic, General","parking (75), cars (24), tight (9), good (9), easy (9), dead (9), safe (6), tidy (6), noisy (3), wonderful (1)",20
Sutton,Car Park Sutton Station | APCOA,Parking,51.3597051,-0.1897990000000001,3.1,0.5548588573932648,0.13333333333333333,0.4666666666666667,0.4,General,"good (9), cars (3), parking (3), safe (3)",23
Sutton,JustPark,Parking,51.3664739,-0.1957175,2.7,0.4461412578821182,0.5,0.5,0.0,"Traffic, Accessibility","parking (42), easy (9), noisy (3), cars (3), safe (3), tidy (3)",3
Sutton,Cheam Library Car Park,Parking,51.3601473,-0.2165828,3.6,0.5933134078979492,0.06666666666666667,0.5333333333333333,0.4,"Maintenance, Accessibility, General","good (21), old (9), bad (9), easy (9), parking (6), walking (3), safe (3), cars (3), tidy (3)",18
Sutton,Car Park Cheam Station | APCOA,Parking,51.3552788,-0.2154702,5.0,0.0,0.0,0.0,0.0,,,1
Sutton,Kingsway Road Car Park,Parking,51.35687699999999,-0.2173982,3.5,0.5535906334718068,0.2,0.4,0.4,Safety,"parking (15), cars (12), secure (9), safe (3)",8
Sutton,Cheam Park Car Park,Parking,51.36106039999999,-0.22089,4.6,0.6238067984580994,0.0,0.4,0.6,"Atmosphere, Traffic, Accessibility, General","parking (57), good (27), busy (27), cars (20), easy (18), near (15), great (9), safe (9), risky (3)",25
Sutton,Cheam Library,Library,51.35948209999999,-0.2167520999999999,3.7,0.7145642717679341,0.0,0.3333333333333333,0.6666666666666666,"Maintenance, Noise, General","messy (21), good (9), fantastic (9), new (9), great (9), safe (3), loud (3)",27
Sutton,Sutton Life Centre,Library,51.37913380000001,-0.2013976,4.3,0.5771667619546255,0.13333333333333333,0.26666666666666666,0.6,"Accessibility, Noise, Cleanliness, Atmosphere, Aesthetics, Traffic, General","good (36), clean (18), tidy (18), great (18), pretty (9), music (9), quiet (9), parking (9), safe (9), accessible (9), relaxing (3)",48
