Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Tower Hamlets,Tower Hamlets Cemetery Park,Park,51.5231445,-0.0272155,4.7,0.6469525257746379,0.0,0.3333333333333333,0.6666666666666666,"Noise, Atmosphere, Traffic, Aesthetics, General","peaceful (39), lovely (18), quiet (18), safe (15), parking (15), gorgeous (9), perfect (9), serene (9), walking (9), noisy (9), busy (9), great (9), tidy (6), damaged (3), good (3), dirty (3), poor (3)",188
Tower Hamlets,Langdon Park,Park,51.5163301,-0.0133953,4.3,0.6262230436007182,0.0,0.3333333333333333,0.6666666666666666,"Comfort, Aesthetics, General","parking (18), great (9), pleasant (9), good (9), beautiful (3), safe (3), updated (3), lovely (1)",382
Tower Hamlets,Millennium Green,Park,51.5147481,-0.005657199999999999,4.5,0.9873246153195699,0.0,0.0,1.0,"Cleanliness, Aesthetics","lovely (9), dirty (9), safe (6)",2
Tower Hamlets,Crossrail Place Roof Garden,Tourist Attraction,51.506121,-0.0174685,4.6,0.5923069636027019,0.0,0.6,0.4,"Accessibility, Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Traffic, Aesthetics, General","safe (45), great (36), peaceful (27), quiet (27), bustling (18), serene (18), perfect (18), accessible (18), calm (18), crowded (18), inviting (9), busy (9), stunning (9), maintained (9), modern (9), lovely (9), beautiful (9), relaxing (6), lighting (3), flow (3), walking (3), near (3), charming (3), tidy (3), wonderful (3)",4338
Tower Hamlets,Mile End Canal Side,Park,51.5176331,-0.0339037,4.4,0.5697577834129334,0.06666666666666667,0.4,0.5333333333333333,"Accessibility, Atmosphere, Maintenance, Traffic, General","great (24), parking (12), walking (12), safe (9), calm (9), far (9), old (9)",184
Tower Hamlets,Nilufer Danis Studio,Park,51.5097047,-0.0018002,5.0,0.7483036518096924,0.0,0.0,1.0,,,1
Tower Hamlets,Grove Hall Park,Park,51.5296275,-0.017791,4.3,0.6339963098367055,0.0,0.4666666666666667,0.5333333333333333,"Accessibility, Safety, Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","parking (27), good (27), peaceful (21), beautiful (21), safe (21), traffic (18), pretty (18), broken (18), lovely (9), perfect (9), busy (9), maintained (9), great (9), quiet (9), silent (9), clean (9), crowded (9), pleasant (9), enjoyable (9), isolated (7), noisy (6), calm (6), walking (6), near (5), flow (3), relaxing (3), risky (3), improved (3), amazing (3)",150
Tower Hamlets,The Conservation Volunteers - Lavender Pond Nature Reserve,Park,51.5059191,-0.0373414,4.4,0.6705563366413116,0.0,0.2,0.8,"Noise, Cleanliness, Atmosphere, Maintenance, Aesthetics, General","lovely (21), beautiful (18), new (9), renovated (9), peaceful (9), great (6), neat (3)",127
Tower Hamlets,Pearson's Park,Park,51.5037684,-0.0344131,4.4,0.6139739652474722,0.0,0.5333333333333333,0.4666666666666667,"Safety, Comfort, Cleanliness, Maintenance, General","parking (15), safe (12), old (9), spacious (9), dirty (9), clean (9), fantastic (6), walking (3), bikes (3)",126
Tower Hamlets,Tom Thumb's Arch,Park,51.529914,-0.0246783,3.8,0.5415478706359863,0.2,0.5333333333333333,0.26666666666666666,"Maintenance, Traffic, Accessibility, General","tidy (12), far (9), easy (9), old (9), walking (9), new (9), great (6), safe (6), lighting (3), noisy (3), dark (3), dead (3)",20
