Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Waltham Forest,Lloyd Park,Park,51.5943815,-0.020408,4.6,0.5822662154833476,0.0,0.8,0.2,"Accessibility, Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Traffic, Aesthetics","parking (24), near (12), old (9), quiet (9), maintained (9), new (9), spacious (9), beautiful (9), lovely (6), safe (3), peaceful (3), walking (3), flow (3), noisy (3)",3525
Waltham Forest,Walthamstow Town Square Gardens,Park,51.5835392,-0.0215015,4.2,0.5354954044024149,0.2,0.5333333333333333,0.26666666666666666,"Maintenance, Comfort, Traffic, General","good (18), walking (13), pleasant (9), new (9), parking (3)",711
Waltham Forest,Higham Hill Park,Park,51.5975137,-0.0371469,4.4,0.5499270975589752,0.0,0.9333333333333333,0.06666666666666667,"Safety, Noise, Cleanliness, Maintenance, Traffic, General","cars (24), parking (20), great (18), walking (12), clean (12), maintained (9), secure (9), traffic (9), safe (3), roomy (3), amazing (3)",349
Waltham Forest,Queen Elizabeth II Memorial Garden,Park,51.5914992,-0.0132534,5.0,0.7827910582224528,0.0,0.0,1.0,"Maintenance, Cleanliness, Aesthetics","beautiful (9), maintained (6), new (3)",1
Waltham Forest,Chestnuts Field Wetlands,Park,51.5920928,-0.0135293,5.0,0.541622112194697,0.0,0.6666666666666666,0.3333333333333333,"Maintenance, Aesthetics","beautiful (18), stunning (9), new (9)",1
Waltham Forest,Chestnuts Field,Park,51.5923483,-0.0116605,4.1,0.5683665672938029,0.2,0.4666666666666667,0.3333333333333333,"Accessibility, Noise, Comfort, Atmosphere, Maintenance, Traffic, General","walking (21), safe (15), near (9), good (9), quiet (9), relaxing (6), messy (3), easy (3), pleasant (3)",203
Waltham Forest,The Rocks on the Hill,Park,51.5919166,-0.0201343,5.0,0.0,0.0,0.0,0.0,,,1
Waltham Forest,Welcome Garden,Park,51.5845893,-0.0126312,5.0,0.45748665928840637,0.0,1.0,0.0,,,2
Waltham Forest,Brokky's Crofte,Park,51.5963982,-0.008919000000000002,5.0,0.27077436447143555,1.0,0.0,0.0,Accessibility,"safe (12), central (9), updated (6), lovely (3), noisy (3), parking (3), tidy (3)",1
Waltham Forest,The Hobson Wood,Park,51.5960998,-0.0201491,4.5,0.6113284945487976,0.0,0.6666666666666666,0.3333333333333333,General,"good (9), safe (6), noisy (3), tidy (3), bikes (3), lovely (3), parking (3)",22
Waltham Forest,Kitchener Park,Park,51.59924479999999,-0.0111305,4.2,0.6642340977986654,0.0,0.4,0.6,"Noise, Maintenance, Accessibility, General","good (39), parking (18), tidy (12), accessible (9), loud (9), great (9), old (9), lovely (6), safe (3), noisy (3), walking (3)",42
Waltham Forest,Bisterne Avenue Park Play Area,Park,51.589817,0.0006767,4.3,0.7016169607639313,0.0,0.2,0.8,"Atmosphere, Maintenance, Traffic, Aesthetics, General","great (18), lovely (9), busy (9), good (9), improved (9), parking (6), safe (6), tidy (3), perfect (3), walking (3)",176
Waltham Forest,Waltham Forest College,University,51.59118960000001,-0.0102099,4.5,0.8171852707862854,0.0,0.0,1.0,"Maintenance, Safety, Accessibility, General","good (30), messy (14), great (9), far (9), new (9), security (9), lovely (6), protected (3), safe (3), tidy (3)",497
Waltham Forest,Spruce Hill Baptist Church,Church,51.59655689999999,-0.0090719,4.2,0.5037804312176175,0.2222222222222222,0.5555555555555556,0.2222222222222222,"Aesthetics, Comfort, Atmosphere","lovely (10), lively (9), inviting (9), walking (3), safe (3)",5
Waltham Forest,William Hill,Point Of Interest,51.5976257,-0.0155678,3.6,0.5121031502882639,0.2,0.6,0.2,General,"good (18), messy (6), noisy (3)",16
Waltham Forest,William Hill,Point Of Interest,51.5800247,-0.003526,4.1,0.5384226772520277,0.3333333333333333,0.3333333333333333,0.3333333333333333,General,"poor (9), broken (3)",10
Waltham Forest,Whipps Cross University Hospital,Hospital,51.57781960000001,0.003254500000000001,2.7,0.8658816854159037,0.0,0.06666666666666667,0.9333333333333333,"Accessibility, Safety, Atmosphere, Maintenance, Traffic, General","messy (36), safe (24), worst (18), easy (12), poor (9), connected (9), busy (9), calm (6), tidy (3), good (3), roomy (3), near (3), noisy (3), active (3), dark (3), dead (3)",1269
Waltham Forest,Grace Church Walthamstow,Church,51.5856653,-0.0164979,4.5,0.6649419466654459,0.0,0.3333333333333333,0.6666666666666666,"Aesthetics, General","great (9), lovely (9)",6
Waltham Forest,Leyton Green Health Centre,Health,51.575015,-0.008335499999999997,2.3,0.8497464954853058,0.0,0.0,1.0,General,"worst (9), bad (9), tidy (3)",3
Waltham Forest,Waltham Forest Council,Point Of Interest,51.5911329,-0.0134397,1.5,0.67869224747022,0.0,0.3333333333333333,0.6666666666666666,"Accessibility, Safety, Cleanliness, Atmosphere, Maintenance, Aesthetics, General","poor (18), broken (18), safe (15), awful (9), difficult (9), noisy (9), new (9), rubbish (9), messy (6), good (3), lively (3), tidy (3)",531
Waltham Forest,HRP,Point Of Interest,51.60097880000001,-0.021165,4.7,0.8032575408617656,0.0,0.2,0.8,General,"excellent (9), great (9), good (3)",10
Waltham Forest,Walthamstow Central,Transit Station,51.5828251,-0.01981819999999999,4.2,0.4596095740795135,0.2,0.8,0.0,"Accessibility, Safety, Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","central (198), excellent (54), vibrant (45), safe (33), security (27), busy (24), convenient (21), lively (21), maintained (18), comfortable (18), beautiful (18), good (18), welcoming (18), fantastic (18), parking (15), messy (12), clean (9), easy (9), modern (9), difficult (9), walking (9), peaceful (9), bustling (9), secure (9), improved (9), far (9), near (6), bikes (3), cars (3), repaired (3), relaxing (3)",279
Waltham Forest,Walthamstow Queen's Road,Train Station,51.58142170000001,-0.0238481,4.2,0.6314278841018677,0.0,0.6,0.4,"Accessibility, Safety, Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Aesthetics, General","safe (45), easy (36), central (27), clean (27), charming (18), vibrant (18), convenient (18), maintained (18), good (18), quiet (12), walking (9), tidy (9), connected (9), modern (9), amazing (9), pleasant (9), comfortable (9), noisy (3)",45
Waltham Forest,Waltham Forest Town Hall,Transit Station,51.58998070000001,-0.013015,3.4,0.539922500650088,0.0,0.8333333333333334,0.16666666666666666,"Maintenance, Aesthetics, Safety, General","lovely (18), safe (9), great (9), security (9), bad (9), wonderful (6), lighting (3), roomy (3), noisy (3), fantastic (3)",5
Waltham Forest,Wood Street Station,Transit Station,51.5866498,-0.002499,1.0,0.46733386516571046,0.3333333333333333,0.4666666666666667,0.2,,noisy (9),7
Waltham Forest,Walthamstow Bus Station (Stop C),Bus Station,51.5837842,-0.0203664,5.0,0.0,0.0,0.0,0.0,,,1
Waltham Forest,Wood Street Station (Stop J),Bus Station,51.58670009999999,-0.0017905,5.0,0.5433746576309204,0.0,1.0,0.0,Accessibility,"easy (9), convenient (9), central (9)",2
Waltham Forest,Walthamstow Bus Station,Bus Station,51.58368470000001,-0.0202679,3.8,0.5936216374238332,0.2,0.4,0.4,"Accessibility, Safety, Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Traffic, Aesthetics, General","safe (63), busy (27), tidy (24), traffic (18), trash (18), central (18), bustling (9), vibrant (9), convenient (9), connected (9), outdated (9), comfortable (9), grimy (9), cramped (9), far (9), worst (9), modern (9), pretty (9), unsafe (9), new (9), messy (6), crowded (6), good (6), lighting (3), charming (3)",72
