Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count
Westminster,Flanders Fields Memorial Garden,Tourist Attraction,51.5005394,-0.1357828,4.7,0.7324248711268108,0.0,0.3333333333333333,0.6666666666666666,"Aesthetics, General","beautiful (9), excellent (9), amazing (9), walking (3), safe (3)",21
Westminster,The Green Park,Park,51.5039416,-0.1434016,4.6,0.6815558393796285,0.0,0.2,0.8,"Accessibility, Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","beautiful (27), serene (27), great (27), parking (26), relaxing (21), safe (18), maintained (18), perfect (18), quiet (18), walking (12), accessible (9), peaceful (9), clean (9), spacious (9), excellent (9), easy (9), active (9), central (9), lovely (3), tidy (3), good (3)",26295
Westminster,Jubilee Gardens,Tourist Attraction,51.5040437,-0.1181412,4.5,0.6349470615386963,0.0,0.6,0.4,"Noise, Atmosphere, Maintenance, Aesthetics, Traffic, General","lovely (18), peaceful (18), great (15), beautiful (12), walking (12), parking (11), flow (11), pretty (9), amazing (9), scenic (9), bustling (9), safe (9), vibrant (9), modern (9), lively (9), perfect (9), old (9), crowded (9), bad (9), relaxing (6), charming (6), stunning (6)",1526
Westminster,St James's Park,Park,51.502967,-0.1339534,4.7,0.7214672485987346,0.0,0.2,0.8,"Accessibility, Noise, Atmosphere, Aesthetics, Traffic, General","peaceful (36), beautiful (27), parking (24), crowded (18), walking (18), wonderful (18), pretty (18), relaxing (12), good (12), calm (9), lovely (9), lively (9), perfect (9), great (9), quiet (9), near (9), safe (6), flow (6), maintained (3)",59529
Westminster,Buckingham Palace Garden,Tourist Attraction,51.50112020000001,-0.1460413,4.6,0.6579874952634176,0.0,0.3333333333333333,0.6666666666666666,"Accessibility, Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","peaceful (36), beautiful (27), maintained (27), walking (15), safe (12), pleasant (9), stunning (9), flow (9), serene (9), perfect (9), relaxing (9), bustling (9), accessible (9), disappointing (9), lovely (6), quiet (3)",2928
Westminster,Hanning Recruitment,Park,51.5092118,-0.1438322,4.3,0.611897740761439,0.0,0.5333333333333333,0.4666666666666667,"Accessibility, Noise, Atmosphere, Aesthetics, Traffic, General","peaceful (18), great (9), central (9), noisy (9), good (9), busy (9), lovely (6), crowded (6), quiet (6), safe (3), parking (3), walking (3)",503
Westminster,Victoria Tower Gardens South,Park,51.4970105,-0.1248746,4.6,0.5428812841574351,0.2,0.4,0.4,"Cleanliness, Atmosphere, Traffic, Aesthetics, General","parking (18), beautiful (18), relaxing (12), good (9), lovely (9), safe (6), messy (5), walking (4), flow (3), clean (3)",3701
Westminster,Bonnington Square Pleasure Garden,Park,51.4842993,-0.120288,4.7,0.5531261473894119,0.13333333333333333,0.4666666666666667,0.4,"Accessibility, Noise, Atmosphere, Aesthetics, Traffic, General","great (15), chaotic (9), good (9), central (9), beautiful (9), quiet (9), busy (9), amazing (6), near (6), lovely (3), parking (3)",121
Westminster,Vauxhall Pleasure Gardens,Park,51.4874385,-0.1209093,4.3,0.5862325668334961,0.0,0.6,0.4,"Accessibility, Noise, Cleanliness, Atmosphere, Aesthetics, Traffic, General","parking (15), safe (12), neat (12), tidy (9), crowded (9), relaxing (9), far (9), great (9), good (9), quiet (9), beautiful (9), peaceful (9), walking (9), dark (3), dead (3), near (3), new (3)",1486
Westminster,Golden Square,Park,51.51165830000001,-0.1371694,4.3,0.6169526914755503,0.0,0.4666666666666667,0.5333333333333333,"Accessibility, Noise, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","peaceful (18), quiet (18), pretty (18), relaxing (12), flow (12), near (12), parking (9), beautiful (9), amazing (9), gorgeous (9), safe (9), pristine (9), lovely (9), busy (9), walking (3), messy (3), charming (3), appealing (3)",1308
