Station,latitude,longitude,address
Abbey Road DLR,51.5325414,0.0036092,"Abbey Road, Abbey Road DLR station, Mill Meads, West Ham, London Borough of Newham, Greater London, England, E15 3NB, United Kingdom"
Abbey Wood,51.4906957,0.1112776,"Abbey Wood, Royal Borough of Greenwich, Greater London, England, SE2 9EN, United Kingdom"
Acton Central,51.5087164,-0.2628073,"Acton Central, Churchfield Road, London Borough of Ealing, Greater London, England, W3 6AY, United Kingdom"
Acton Main Line,51.5169789,-0.2679825,"Acton Main Line, Horn Lane, Park Royal, London Borough of Ealing, Greater London, England, W3 6PL, United Kingdom"
Acton Town,51.5027051,-0.2799643,"Acton Town, Bollo Lane, London Borough of Ealing, Greater London, England, W3 8QU, United Kingdom"
Aldgate,51.5142477,-0.0757186,"Aldgate, Aldgate High Street, Broadgate, Aldgate, City of London, Greater London, England, EC3N 1AH, United Kingdom"
Aldgate East,51.5156185,-0.070839,"Aldgate East, Whitechapel High Street, Spitalfields, Whitechapel, London Borough of Tower Hamlets, Greater London, England, E1 7RA, United Kingdom"
All Saints,51.5108398,-0.0130551,"All Saints, East India Dock Road, Poplar, London Borough of Tower Hamlets, Greater London, England, E14 0EF, United Kingdom"
Alperton,51.5408036,-0.3000963,"Alperton, Ealing Road, Alperton, London Borough of Brent, Greater London, England, HA0 4LL, United Kingdom"
Amersham,51.6110643,-0.0760656,"Amersham Avenue, Bull Lane, London Borough of Enfield, Greater London, England, N18 1DR, United Kingdom"
Anerley,51.4088267,-0.0611263,"Anerley, London Borough of Bromley, Greater London, England, SE20 8ER, United Kingdom"
Angel,51.5324874,-0.1060356,"Angel, Islington High Street, Angel, Islington, London Borough of Islington, Greater London, England, N1 9LQ, United Kingdom"
Archway,51.5653116,-0.1348189,"Archway, Junction Road, Archway, London Borough of Islington, Greater London, England, N19 5QT, United Kingdom"
Arnos Grove,51.6164256,-0.1330981,"Arnos Grove, Station Forecourt, New Southgate, London Borough of Enfield, Greater London, England, N11 1AN, United Kingdom"
